,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,गुरुवार 1 अप्रैल,1 अप्रैल,1617235200000.0,00.00,"गुरुवार 1 अप्रैल 2021, 00.00 — 06.00",13,Clear.,24,22,1002,5,320,24,4,2021
1,uk,uk,uk,1617256800000.0,06.00,"गुरुवार 1 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,34,27,1004,6,320,13,4,2021
2,uk,uk,uk,1617278400000.0,12.00,"गुरुवार 1 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,37,36,1001,2,0,10,4,2021
3,uk,uk,uk,1617300000000.0,18.00,"गुरुवार 1 अप्रैल 2021, 18.00 — 00.00",13,Clear.,26,21,1003,0,0,40,4,2021
4,True,शुक्रवार 2 अप्रैल,2 अप्रैल,1617321600000.0,00.00,"शुक्रवार 2 अप्रैल 2021, 00.00 — 06.00",13,Clear.,17,17,1005,0,0,54,4,2021
5,uk,uk,uk,1617343200000.0,06.00,"शुक्रवार 2 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,33,21,1007,0,0,27,4,2021
6,uk,uk,uk,1617364800000.0,12.00,"शुक्रवार 2 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,36,35,1003,2,270,10,4,2021
7,uk,uk,uk,1617386400000.0,18.00,"शुक्रवार 2 अप्रैल 2021, 18.00 — 00.00",13,Clear.,25,21,1006,0,0,36,4,2021
8,True,शनिवार 3 अप्रैल,3 अप्रैल,1617408000000.0,00.00,"शनिवार 3 अप्रैल 2021, 00.00 — 06.00",13,Clear.,19,17,1007,0,0,46,4,2021
9,uk,uk,uk,1617429600000.0,06.00,"शनिवार 3 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,33,24,1010,3,50,16,4,2021
10,uk,uk,uk,1617451200000.0,12.00,"शनिवार 3 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,36,35,1006,0,0,12,4,2021
11,uk,uk,uk,1617472800000.0,18.00,"शनिवार 3 अप्रैल 2021, 18.00 — 00.00",13,Clear.,25,21,1008,0,0,40,4,2021
12,True,रविवार 4 अप्रैल,4 अप्रैल,1617494400000.0,00.00,"रविवार 4 अप्रैल 2021, 00.00 — 06.00",13,Clear.,18,17,1009,0,0,48,4,2021
13,uk,uk,uk,1617516000000.0,06.00,"रविवार 4 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,34,23,1010,0,0,23,4,2021
14,uk,uk,uk,1617537600000.0,12.00,"रविवार 4 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,38,37,1006,4,320,12,4,2021
15,uk,uk,uk,1617559200000.0,18.00,"रविवार 4 अप्रैल 2021, 18.00 — 00.00",14,Passing clouds.,26,22,1008,0,0,46,4,2021
16,True,सोमवार 5 अप्रैल,5 अप्रैल,1617580800000.0,00.00,"सोमवार 5 अप्रैल 2021, 00.00 — 06.00",14,Haze.,20,19,1008,0,0,50,4,2021
17,uk,uk,uk,1617602400000.0,06.00,"सोमवार 5 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,37,24,1010,2,140,26,4,2021
18,uk,uk,uk,1617624000000.0,12.00,"सोमवार 5 अप्रैल 2021, 12.00 — 18.00",2,Scattered clouds.,40,38,1004,5,320,16,4,2021
19,uk,uk,uk,1617645600000.0,18.00,"सोमवार 5 अप्रैल 2021, 18.00 — 00.00",14,Haze.,29,26,1006,0,0,44,4,2021
20,True,मंगलवार 6 अप्रैल,6 अप्रैल,1617667200000.0,00.00,"मंगलवार 6 अप्रैल 2021, 00.00 — 06.00",14,Haze.,25,25,1006,0,0,33,4,2021
21,uk,uk,uk,1617688800000.0,06.00,"मंगलवार 6 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,39,30,1007,3,270,24,4,2021
22,uk,uk,uk,1617710400000.0,12.00,"मंगलवार 6 अप्रैल 2021, 12.00 — 18.00",3,Haze.,39,39,1003,9,40,10,4,2021
23,uk,uk,uk,1617732000000.0,18.00,"मंगलवार 6 अप्रैल 2021, 18.00 — 00.00",13,Clear.,31,27,1005,0,0,42,4,2021
24,True,बुधवार 7 अप्रैल,7 अप्रैल,1617753600000.0,00.00,"बुधवार 7 अप्रैल 2021, 00.00 — 06.00",14,Haze.,31,26,1006,5,270,32,4,2021
25,uk,uk,uk,1617775200000.0,06.00,"बुधवार 7 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,35,28,1010,4,320,30,4,2021
26,uk,uk,uk,1617796800000.0,12.00,"बुधवार 7 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,38,37,1005,5,320,18,4,2021
27,uk,uk,uk,1617818400000.0,18.00,"बुधवार 7 अप्रैल 2021, 18.00 — 00.00",13,Clear.,27,25,1007,0,0,52,4,2021
28,True,गुरुवार 8 अप्रैल,8 अप्रैल,1617840000000.0,00.00,"गुरुवार 8 अप्रैल 2021, 00.00 — 06.00",13,Clear.,24,23,1008,0,0,44,4,2021
29,uk,uk,uk,1617861600000.0,06.00,"गुरुवार 8 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,35,27,1009,2,0,23,4,2021
30,uk,uk,uk,1617883200000.0,12.00,"गुरुवार 8 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,38,37,1005,1,90,18,4,2021
31,uk,uk,uk,1617904800000.0,18.00,"गुरुवार 8 अप्रैल 2021, 18.00 — 00.00",13,Clear.,28,26,1007,0,0,34,4,2021
32,True,शुक्रवार 9 अप्रैल,9 अप्रैल,1617926400000.0,00.00,"शुक्रवार 9 अप्रैल 2021, 00.00 — 06.00",13,Clear.,24,20,1008,0,0,40,4,2021
33,uk,uk,uk,1617948000000.0,06.00,"शुक्रवार 9 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,34,26,1011,5,0,19,4,2021
34,uk,uk,uk,1617969600000.0,12.00,"शुक्रवार 9 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,37,35,1006,0,0,24,4,2021
35,uk,uk,uk,1617991200000.0,18.00,"शुक्रवार 9 अप्रैल 2021, 18.00 — 00.00",13,Clear.,27,23,1008,0,0,38,4,2021
36,True,शनिवार 10 अप्रैल,10 अप्रैल,1618012800000.0,00.00,"शनिवार 10 अप्रैल 2021, 00.00 — 06.00",13,Clear.,22,19,1009,0,0,44,4,2021
37,uk,uk,uk,1618034400000.0,06.00,"शनिवार 10 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,36,28,1012,0,0,18,4,2021
38,uk,uk,uk,1618056000000.0,12.00,"शनिवार 10 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,38,37,1008,2,270,10,4,2021
39,uk,uk,uk,1618077600000.0,18.00,"शनिवार 10 अप्रैल 2021, 18.00 — 00.00",13,Clear.,27,23,1010,0,0,39,4,2021
40,True,रविवार 11 अप्रैल,11 अप्रैल,1618099200000.0,00.00,"रविवार 11 अप्रैल 2021, 00.00 — 06.00",13,Clear.,21,19,1011,0,0,48,4,2021
41,uk,uk,uk,1618120800000.0,06.00,"रविवार 11 अप्रैल 2021, 06.00 — 12.00",6,Partly sunny.,37,25,1012,0,0,28,4,2021
42,uk,uk,uk,1618142400000.0,12.00,"रविवार 11 अप्रैल 2021, 12.00 — 18.00",3,Haze.,38,37,1008,2,320,12,4,2021
43,uk,uk,uk,1618164000000.0,18.00,"रविवार 11 अप्रैल 2021, 18.00 — 00.00",13,Clear.,27,26,1010,0,0,32,4,2021
44,True,सोमवार 12 अप्रैल,12 अप्रैल,1618185600000.0,00.00,"सोमवार 12 अप्रैल 2021, 00.00 — 06.00",13,Clear.,23,23,1011,0,0,46,4,2021
45,uk,uk,uk,1618207200000.0,06.00,"सोमवार 12 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,38,28,1012,4,230,23,4,2021
46,uk,uk,uk,1618228800000.0,12.00,"सोमवार 12 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,40,38,1008,5,320,14,4,2021
47,uk,uk,uk,1618250400000.0,18.00,"सोमवार 12 अप्रैल 2021, 18.00 — 00.00",13,Clear.,28,24,1010,0,0,44,4,2021
48,True,मंगलवार 13 अप्रैल,13 अप्रैल,1618272000000.0,00.00,"मंगलवार 13 अप्रैल 2021, 00.00 — 06.00",13,Clear.,23,22,1010,0,0,45,4,2021
49,uk,uk,uk,1618293600000.0,06.00,"मंगलवार 13 अप्रैल 2021, 06.00 — 12.00",1,Sunny.,39,27,1011,4,230,24,4,2021
50,uk,uk,uk,1618315200000.0,12.00,"मंगलवार 13 अप्रैल 2021, 12.00 — 18.00",1,Sunny.,41,39,1006,3,230,9,4,2021
51,uk,uk,uk,1618336800000.0,18.00,"मंगलवार 13 अप्रैल 2021, 18.00 — 00.00",13,Clear.,29,25,1008,0,0,41,4,2021
52,True,बुधवार 14 अप्रैल,14 अप्रैल,1618358400000.0,00.00,"बुधवार 14 अप्रैल 2021, 00.00 — 06.00",13,Clear.,23,22,1008,0,0,47,4,2021
