,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,मंगलवार 1 फरवरी,1 फरवरी,1643673600000.0,00.00,"मंगलवार 1 फरवरी 2022, 00.00 — 06.00",13,Clear.,12,10,1012,0,0,92,2,2022
1,uk,uk,uk,1643695200000.0,06.00,"मंगलवार 1 फरवरी 2022, 06.00 — 12.00",1,Sunny.,24,12,1012,2,0,68,2,2022
2,uk,uk,uk,1643716800000.0,12.00,"मंगलवार 1 फरवरी 2022, 12.00 — 18.00",1,Sunny.,27,24,1008,2,320,44,2,2022
3,uk,uk,uk,1643738400000.0,18.00,"मंगलवार 1 फरवरी 2022, 18.00 — 00.00",13,Clear.,17,15,1011,0,0,82,2,2022
4,True,बुधवार 2 फरवरी,2 फरवरी,1643760000000.0,00.00,"बुधवार 2 फरवरी 2022, 00.00 — 06.00",14,Fog.,13,11,1011,0,0,87,2,2022
5,uk,uk,uk,1643781600000.0,06.00,"बुधवार 2 फरवरी 2022, 06.00 — 12.00",9,Fog.,21,12,1013,0,0,66,2,2022
6,uk,uk,uk,1643803200000.0,12.00,"बुधवार 2 फरवरी 2022, 12.00 — 18.00",1,Sunny.,26,22,1009,0,0,36,2,2022
7,uk,uk,uk,1643824800000.0,18.00,"बुधवार 2 फरवरी 2022, 18.00 — 00.00",13,Clear.,17,14,1011,3,50,79,2,2022
8,True,गुरुवार 3 फरवरी,3 फरवरी,1643846400000.0,00.00,"गुरुवार 3 फरवरी 2022, 00.00 — 06.00",14,Passing clouds.,14,13,1009,4,50,88,2,2022
9,uk,uk,uk,1643868000000.0,06.00,"गुरुवार 3 फरवरी 2022, 06.00 — 12.00",1,Sunny.,20,14,1007,6,140,70,2,2022
10,uk,uk,uk,1643889600000.0,12.00,"गुरुवार 3 फरवरी 2022, 12.00 — 18.00",6,Partly sunny.,26,23,1003,4,270,39,2,2022
11,uk,uk,uk,1643911200000.0,18.00,"गुरुवार 3 फरवरी 2022, 18.00 — 00.00",13,Clear.,18,14,1008,0,0,72,2,2022
12,True,शुक्रवार 4 फरवरी,4 फरवरी,1643932800000.0,00.00,"शुक्रवार 4 फरवरी 2022, 00.00 — 06.00",14,Fog.,13,11,1008,0,0,92,2,2022
13,uk,uk,uk,1643954400000.0,06.00,"शुक्रवार 4 फरवरी 2022, 06.00 — 12.00",1,Sunny.,18,18,1012,6,340,49,2,2022
14,uk,uk,uk,1643976000000.0,12.00,"शुक्रवार 4 फरवरी 2022, 12.00 — 18.00",1,Sunny.,21,20,1009,3,320,44,2,2022
15,uk,uk,uk,1643997600000.0,18.00,"शुक्रवार 4 फरवरी 2022, 18.00 — 00.00",13,Clear.,14,13,1012,0,0,78,2,2022
16,True,शनिवार 5 फरवरी,5 फरवरी,1644019200000.0,00.00,"शनिवार 5 फरवरी 2022, 00.00 — 06.00",13,Clear.,12,10,1012,0,0,86,2,2022
17,uk,uk,uk,1644040800000.0,06.00,"शनिवार 5 फरवरी 2022, 06.00 — 12.00",1,Sunny.,19,12,1015,0,0,64,2,2022
18,uk,uk,uk,1644062400000.0,12.00,"शनिवार 5 फरवरी 2022, 12.00 — 18.00",1,Sunny.,22,19,1013,3,0,36,2,2022
19,uk,uk,uk,1644084000000.0,18.00,"शनिवार 5 फरवरी 2022, 18.00 — 00.00",13,Clear.,13,11,1016,0,0,79,2,2022
20,True,रविवार 6 फरवरी,6 फरवरी,1644105600000.0,00.00,"रविवार 6 फरवरी 2022, 00.00 — 06.00",13,Clear.,10,9,1016,0,0,88,2,2022
21,uk,uk,uk,1644127200000.0,06.00,"रविवार 6 फरवरी 2022, 06.00 — 12.00",9,Fog.,20,11,1017,2,140,67,2,2022
22,uk,uk,uk,1644148800000.0,12.00,"रविवार 6 फरवरी 2022, 12.00 — 18.00",1,Sunny.,24,21,1014,2,320,42,2,2022
23,uk,uk,uk,1644170400000.0,18.00,"रविवार 6 फरवरी 2022, 18.00 — 00.00",13,Clear.,15,12,1016,0,0,80,2,2022
24,True,सोमवार 7 फरवरी,7 फरवरी,1644192000000.0,00.00,"सोमवार 7 फरवरी 2022, 00.00 — 06.00",14,Fog.,10,10,1016,0,0,88,2,2022
25,uk,uk,uk,1644213600000.0,06.00,"सोमवार 7 फरवरी 2022, 06.00 — 12.00",1,Sunny.,22,11,1017,0,0,67,2,2022
26,uk,uk,uk,1644235200000.0,12.00,"सोमवार 7 फरवरी 2022, 12.00 — 18.00",1,Sunny.,27,24,1012,0,0,42,2,2022
27,uk,uk,uk,1644256800000.0,18.00,"सोमवार 7 फरवरी 2022, 18.00 — 00.00",13,Clear.,18,15,1015,0,0,80,2,2022
28,True,मंगलवार 8 फरवरी,8 फरवरी,1644278400000.0,00.00,"मंगलवार 8 फरवरी 2022, 00.00 — 06.00",13,Clear.,13,12,1013,0,0,86,2,2022
29,uk,uk,uk,1644300000000.0,06.00,"मंगलवार 8 फरवरी 2022, 06.00 — 12.00",1,Sunny.,25,14,1014,0,0,64,2,2022
30,uk,uk,uk,1644321600000.0,12.00,"मंगलवार 8 फरवरी 2022, 12.00 — 18.00",1,Sunny.,27,24,1010,2,50,42,2,2022
31,uk,uk,uk,1644343200000.0,18.00,"मंगलवार 8 फरवरी 2022, 18.00 — 00.00",13,Clear.,18,16,1013,0,0,77,2,2022
32,True,बुधवार 9 फरवरी,9 फरवरी,1644364800000.0,00.00,"बुधवार 9 फरवरी 2022, 00.00 — 06.00",13,Clear.,14,13,1012,0,0,89,2,2022
33,uk,uk,uk,1644386400000.0,06.00,"बुधवार 9 फरवरी 2022, 06.00 — 12.00",1,Sunny.,19,14,1014,3,50,74,2,2022
34,uk,uk,uk,1644408000000.0,12.00,"बुधवार 9 फरवरी 2022, 12.00 — 18.00",7,Overcast.,21,19,1013,4,50,66,2,2022
35,uk,uk,uk,1644429600000.0,18.00,"बुधवार 9 फरवरी 2022, 18.00 — 00.00",14,Fog.,16,14,1017,0,0,87,2,2022
36,True,गुरुवार 10 फरवरी,10 फरवरी,1644451200000.0,00.00,"गुरुवार 10 फरवरी 2022, 00.00 — 06.00",14,Fog.,13,12,1017,0,0,94,2,2022
37,uk,uk,uk,1644472800000.0,06.00,"गुरुवार 10 फरवरी 2022, 06.00 — 12.00",9,Fog.,19,13,1019,2,0,78,2,2022
38,uk,uk,uk,1644494400000.0,12.00,"गुरुवार 10 फरवरी 2022, 12.00 — 18.00",1,Sunny.,22,20,1016,2,320,46,2,2022
