,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,सोमवार 1 अप्रैल,1 अप्रैल,1554076800000.0,00.00,"सोमवार 1 अप्रैल 2019, 00.00 — 06.00",13,Clear.,25.0,20.0,1008,0,0,42,4,2019
1,uk,uk,uk,1554098400000.0,06.00,"सोमवार 1 अप्रैल 2019, 06.00 — 12.00",1,Sunny.,33.0,24.0,1010,2,320,30,4,2019
2,uk,uk,uk,1554120000000.0,12.00,"सोमवार 1 अप्रैल 2019, 12.00 — 18.00",2,Scattered clouds.,36.0,35.0,1007,7,320,16,4,2019
3,uk,uk,uk,1554141600000.0,18.00,"सोमवार 1 अप्रैल 2019, 18.00 — 00.00",13,Clear.,26.0,23.0,1009,0,0,42,4,2019
4,True,मंगलवार 2 अप्रैल,2 अप्रैल,1554163200000.0,00.00,"मंगलवार 2 अप्रैल 2019, 00.00 — 06.00",13,Clear.,19.0,19.0,1010,0,0,61,4,2019
5,uk,uk,uk,1554184800000.0,06.00,"मंगलवार 2 अप्रैल 2019, 06.00 — 12.00",1,Sunny.,35.0,24.0,1011,2,230,32,4,2019
6,uk,uk,uk,1554206400000.0,12.00,"मंगलवार 2 अप्रैल 2019, 12.00 — 18.00",1,Sunny.,38.0,36.0,1007,4,50,16,4,2019
7,uk,uk,uk,1554228000000.0,18.00,"मंगलवार 2 अप्रैल 2019, 18.00 — 00.00",13,Clear.,28.0,23.0,1009,0,0,46,4,2019
8,True,बुधवार 3 अप्रैल,3 अप्रैल,1554249600000.0,00.00,"बुधवार 3 अप्रैल 2019, 00.00 — 06.00",13,Clear.,23.0,20.0,1008,0,0,52,4,2019
9,uk,uk,uk,1554271200000.0,06.00,"बुधवार 3 अप्रैल 2019, 06.00 — 12.00",1,Sunny.,36.0,25.0,1009,4,230,32,4,2019
10,uk,uk,uk,1554292800000.0,12.00,"बुधवार 3 अप्रैल 2019, 12.00 — 18.00",1,Sunny.,40.0,38.0,1005,3,140,16,4,2019
11,uk,uk,uk,1554314400000.0,18.00,"बुधवार 3 अप्रैल 2019, 18.00 — 00.00",13,Clear.,29.0,25.0,1008,0,0,42,4,2019
12,True,गुरुवार 4 अप्रैल,4 अप्रैल,1554336000000.0,00.00,"गुरुवार 4 अप्रैल 2019, 00.00 — 06.00",13,Clear.,23.0,21.0,1009,0,0,58,4,2019
13,uk,uk,uk,1554357600000.0,06.00,"गुरुवार 4 अप्रैल 2019, 06.00 — 12.00",1,Sunny.,38.0,27.0,1010,1,90,30,4,2019
14,uk,uk,uk,1554379200000.0,12.00,"गुरुवार 4 अप्रैल 2019, 12.00 — 18.00",1,Sunny.,40.0,39.0,1006,3,0,17,4,2019
15,uk,uk,uk,1554400800000.0,18.00,"गुरुवार 4 अप्रैल 2019, 18.00 — 00.00",13,Clear.,29.0,25.0,1007,0,0,45,4,2019
16,True,शुक्रवार 5 अप्रैल,5 अप्रैल,1554422400000.0,00.00,"शुक्रवार 5 अप्रैल 2019, 00.00 — 06.00",13,Clear.,23.0,22.0,1007,0,0,56,4,2019
17,uk,uk,uk,1554444000000.0,06.00,"शुक्रवार 5 अप्रैल 2019, 06.00 — 12.00",1,Sunny.,38.0,27.0,1008,4,320,31,4,2019
18,uk,uk,uk,1554465600000.0,12.00,"शुक्रवार 5 अप्रैल 2019, 12.00 — 18.00",3,Haze.,41.0,41.0,1003,0,0,19,4,2019
19,uk,uk,uk,1554487200000.0,18.00,"शुक्रवार 5 अप्रैल 2019, 18.00 — 00.00",17,Overcast.,32.0,31.0,1009,8,0,30,4,2019
20,True,शनिवार 6 अप्रैल,6 अप्रैल,1554508800000.0,00.00,"शनिवार 6 अप्रैल 2019, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2019
21,uk,uk,uk,1554530400000.0,06.00,"शनिवार 6 अप्रैल 2019, 06.00 — 12.00",3,Haze.,38.0,28.0,1008,3,320,34,4,2019
22,uk,uk,uk,1554552000000.0,12.00,"शनिवार 6 अप्रैल 2019, 12.00 — 18.00",1,Sunny.,41.0,40.0,1004,6,320,18,4,2019
23,uk,uk,uk,1554573600000.0,18.00,"शनिवार 6 अप्रैल 2019, 18.00 — 00.00",14,Haze.,31.0,28.0,1004,0,0,42,4,2019
24,True,रविवार 7 अप्रैल,7 अप्रैल,1554595200000.0,00.00,"रविवार 7 अप्रैल 2019, 00.00 — 06.00",13,Clear.,27.0,25.0,1005,0,0,48,4,2019
25,uk,uk,uk,1554616800000.0,06.00,"रविवार 7 अप्रैल 2019, 06.00 — 12.00",2,Passing clouds.,36.0,29.0,1006,5,140,38,4,2019
26,uk,uk,uk,1554638400000.0,12.00,"रविवार 7 अप्रैल 2019, 12.00 — 18.00",3,Haze.,39.0,38.0,1002,4,50,26,4,2019
27,uk,uk,uk,1554660000000.0,18.00,"रविवार 7 अप्रैल 2019, 18.00 — 00.00",13,Clear.,33.0,30.0,1005,4,50,44,4,2019
