,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,रविवार 1 सितंबर,1 सितंबर,1567296000000.0,00.00,"रविवार 1 सितंबर 2019, 00.00 — 06.00",17,Overcast.,28.0,27.0,1000,0,0,90,9,2019
1,uk,uk,uk,1567317600000.0,06.00,"रविवार 1 सितंबर 2019, 06.00 — 12.00",6,Partly sunny.,33.0,29.0,1002,1,90,82,9,2019
2,uk,uk,uk,1567339200000.0,12.00,"रविवार 1 सितंबर 2019, 12.00 — 18.00",22,Thunderstorms. Overcast.,30.0,29.0,999,5,140,74,9,2019
3,uk,uk,uk,1567360800000.0,18.00,"रविवार 1 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,28.0,27.0,1002,0,0,89,9,2019
4,True,सोमवार 2 सितंबर,2 सितंबर,1567382400000.0,00.00,"सोमवार 2 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,27.0,26.0,1002,0,0,93,9,2019
5,uk,uk,uk,1567404000000.0,06.00,"सोमवार 2 सितंबर 2019, 06.00 — 12.00",7,Overcast.,33.0,28.0,1003,0,0,80,9,2019
6,uk,uk,uk,1567425600000.0,12.00,"सोमवार 2 सितंबर 2019, 12.00 — 18.00",7,Overcast.,34.0,33.0,999,0,0,71,9,2019
7,uk,uk,uk,1567447200000.0,18.00,"सोमवार 2 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,30.0,29.0,1002,0,0,86,9,2019
8,True,मंगलवार 3 सितंबर,3 सितंबर,1567468800000.0,00.00,"मंगलवार 3 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,29.0,28.0,1001,0,0,92,9,2019
9,uk,uk,uk,1567490400000.0,06.00,"मंगलवार 3 सितंबर 2019, 06.00 — 12.00",2,Scattered clouds.,34.0,30.0,1002,1,50,76,9,2019
10,uk,uk,uk,1567512000000.0,12.00,"मंगलवार 3 सितंबर 2019, 12.00 — 18.00",22,Thunderstorms. Overcast.,34.0,34.0,998,1,320,66,9,2019
11,uk,uk,uk,1567533600000.0,18.00,"मंगलवार 3 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,30.0,29.0,1000,2,270,82,9,2019
12,True,बुधवार 4 सितंबर,4 सितंबर,1567555200000.0,00.00,"बुधवार 4 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,28.0,28.0,1000,0,0,88,9,2019
13,uk,uk,uk,1567576800000.0,06.00,"बुधवार 4 सितंबर 2019, 06.00 — 12.00",2,Scattered clouds.,33.0,30.0,1001,1,50,78,9,2019
14,uk,uk,uk,1567598400000.0,12.00,"बुधवार 4 सितंबर 2019, 12.00 — 18.00",6,Partly sunny.,32.0,29.0,996,0,0,86,9,2019
15,uk,uk,uk,1567620000000.0,18.00,"बुधवार 4 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,28.0,28.0,1000,0,0,94,9,2019
16,True,गुरुवार 5 सितंबर,5 सितंबर,1567641600000.0,00.00,"गुरुवार 5 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,28.0,27.0,1000,0,0,95,9,2019
17,uk,uk,uk,1567663200000.0,06.00,"गुरुवार 5 सितंबर 2019, 06.00 — 12.00",7,Overcast.,33.0,29.0,1001,3,50,80,9,2019
18,uk,uk,uk,1567684800000.0,12.00,"गुरुवार 5 सितंबर 2019, 12.00 — 18.00",6,Partly sunny.,34.0,32.0,996,0,0,72,9,2019
19,uk,uk,uk,1567706400000.0,18.00,"गुरुवार 5 सितंबर 2019, 18.00 — 00.00",14,Haze.,30.0,29.0,998,0,0,87,9,2019
20,True,शुक्रवार 6 सितंबर,6 सितंबर,1567728000000.0,00.00,"शुक्रवार 6 सितंबर 2019, 00.00 — 06.00",6,Partly sunny.,28.0,28.0,999,0,0,90,9,2019
21,uk,uk,uk,1567749600000.0,06.00,"शुक्रवार 6 सितंबर 2019, 06.00 — 12.00",6,Partly sunny.,33.0,30.0,999,0,0,78,9,2019
22,uk,uk,uk,1567771200000.0,12.00,"शुक्रवार 6 सितंबर 2019, 12.00 — 18.00",6,Partly sunny.,33.0,33.0,1007,0,0,79,9,2019
23,uk,uk,uk,1567792800000.0,18.00,"शुक्रवार 6 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,29.0,29.0,998,0,0,92,9,2019
24,True,शनिवार 7 सितंबर,7 सितंबर,1567814400000.0,00.00,"शनिवार 7 सितंबर 2019, 00.00 — 06.00",6,Partly sunny.,29.0,29.0,998,0,0,90,9,2019
25,uk,uk,uk,1567836000000.0,06.00,"शनिवार 7 सितंबर 2019, 06.00 — 12.00",22,Thunderstorms. Overcast.,27.0,26.0,1000,2,140,97,9,2019
26,uk,uk,uk,1567857600000.0,12.00,"शनिवार 7 सितंबर 2019, 12.00 — 18.00",7,Overcast.,30.0,30.0,998,2,0,83,9,2019
27,uk,uk,uk,1567879200000.0,18.00,"शनिवार 7 सितंबर 2019, 18.00 — 00.00",17,Overcast.,28.0,27.0,1001,0,0,88,9,2019
28,True,रविवार 8 सितंबर,8 सितंबर,1567900800000.0,00.00,"रविवार 8 सितंबर 2019, 00.00 — 06.00",3,Haze.,27.0,27.0,1001,0,0,95,9,2019
29,uk,uk,uk,1567922400000.0,06.00,"रविवार 8 सितंबर 2019, 06.00 — 12.00",7,Overcast.,33.0,28.0,1002,3,90,82,9,2019
30,uk,uk,uk,1567944000000.0,12.00,"रविवार 8 सितंबर 2019, 12.00 — 18.00",22,Thundershowers. Overcast.,28.0,27.0,999,3,140,95,9,2019
31,uk,uk,uk,1567965600000.0,18.00,"रविवार 8 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,28.0,27.0,1000,0,0,96,9,2019
32,True,सोमवार 9 सितंबर,9 सितंबर,1567987200000.0,00.00,"सोमवार 9 सितंबर 2019, 00.00 — 06.00",22,Thunderstorms. Overcast.,27.0,27.0,1000,0,0,96,9,2019
33,uk,uk,uk,1568008800000.0,06.00,"सोमवार 9 सितंबर 2019, 06.00 — 12.00",6,Partly sunny.,32.0,28.0,1000,0,0,87,9,2019
34,uk,uk,uk,1568030400000.0,12.00,"सोमवार 9 सितंबर 2019, 12.00 — 18.00",7,Overcast.,31.0,30.0,998,2,120,84,9,2019
35,uk,uk,uk,1568052000000.0,18.00,"सोमवार 9 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,29.0,29.0,1000,0,0,92,9,2019
36,True,मंगलवार 10 सितंबर,10 सितंबर,1568073600000.0,00.00,"मंगलवार 10 सितंबर 2019, 00.00 — 06.00",2,Scattered clouds.,27.0,27.0,999,0,0,92,9,2019
37,uk,uk,uk,1568095200000.0,06.00,"मंगलवार 10 सितंबर 2019, 06.00 — 12.00",3,Haze.,34.0,29.0,1000,0,0,80,9,2019
38,uk,uk,uk,1568116800000.0,12.00,"मंगलवार 10 सितंबर 2019, 12.00 — 18.00",2,Scattered clouds.,35.0,33.0,996,0,0,71,9,2019
39,uk,uk,uk,1568138400000.0,18.00,"मंगलवार 10 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,31.0,29.0,1000,0,0,86,9,2019
40,True,बुधवार 11 सितंबर,11 सितंबर,1568160000000.0,00.00,"बुधवार 11 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,29.0,28.0,1000,0,0,93,9,2019
41,uk,uk,uk,1568181600000.0,06.00,"बुधवार 11 सितंबर 2019, 06.00 — 12.00",3,Haze.,35.0,31.0,1002,2,320,74,9,2019
42,uk,uk,uk,1568203200000.0,12.00,"बुधवार 11 सितंबर 2019, 12.00 — 18.00",7,Overcast.,36.0,30.0,999,1,320,70,9,2019
43,uk,uk,uk,1568224800000.0,18.00,"बुधवार 11 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,29.0,28.0,1002,0,0,87,9,2019
44,True,गुरुवार 12 सितंबर,12 सितंबर,1568246400000.0,00.00,"गुरुवार 12 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,28.0,28.0,1002,0,0,92,9,2019
45,uk,uk,uk,1568268000000.0,06.00,"गुरुवार 12 सितंबर 2019, 06.00 — 12.00",6,Partly sunny.,32.0,29.0,1003,3,140,82,9,2019
46,uk,uk,uk,1568289600000.0,12.00,"गुरुवार 12 सितंबर 2019, 12.00 — 18.00",22,Thundershowers. Overcast.,30.0,30.0,1001,6,90,83,9,2019
47,uk,uk,uk,1568311200000.0,18.00,"गुरुवार 12 सितंबर 2019, 18.00 — 00.00",14,Passing clouds.,28.0,27.0,1003,0,0,92,9,2019
48,True,शुक्रवार 13 सितंबर,13 सितंबर,1568332800000.0,00.00,"शुक्रवार 13 सितंबर 2019, 00.00 — 06.00",17,Overcast.,27.0,26.0,1002,0,0,93,9,2019
49,uk,uk,uk,1568354400000.0,06.00,"शुक्रवार 13 सितंबर 2019, 06.00 — 12.00",7,Overcast.,31.0,28.0,1004,2,50,86,9,2019
50,uk,uk,uk,1568376000000.0,12.00,"शुक्रवार 13 सितंबर 2019, 12.00 — 18.00",18,Light rain. Partly sunny.,28.0,28.0,1001,0,0,96,9,2019
51,uk,uk,uk,1568397600000.0,18.00,"शुक्रवार 13 सितंबर 2019, 18.00 — 00.00",36,No weather data available,,,0,0,0,0,9,2019
52,True,शनिवार 14 सितंबर,14 सितंबर,1568419200000.0,00.00,"शनिवार 14 सितंबर 2019, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,9,2019
53,uk,uk,uk,1568440800000.0,06.00,"शनिवार 14 सितंबर 2019, 06.00 — 12.00",7,Overcast.,30.0,27.0,1004,3,90,87,9,2019
54,uk,uk,uk,1568462400000.0,12.00,"शनिवार 14 सितंबर 2019, 12.00 — 18.00",6,Partly sunny.,29.0,28.0,1002,0,0,92,9,2019
55,uk,uk,uk,1568484000000.0,18.00,"शनिवार 14 सितंबर 2019, 18.00 — 00.00",34,Drizzle. Overcast.,27.0,26.0,1004,2,50,94,9,2019
56,True,रविवार 15 सितंबर,15 सितंबर,1568505600000.0,00.00,"रविवार 15 सितंबर 2019, 00.00 — 06.00",14,Passing clouds.,27.0,27.0,1004,0,0,96,9,2019
57,uk,uk,uk,1568527200000.0,06.00,"रविवार 15 सितंबर 2019, 06.00 — 12.00",7,Overcast.,29.0,27.0,1004,2,50,90,9,2019
