,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शनिवार 1 अक्टूबर,1 अक्टूबर,1664582400000.0,00.00,"शनिवार 1 अक्टूबर 2022, 00.00 — 06.00",13,Clear.,25.0,24.0,1005,0,0,90,10,2022
1,uk,uk,uk,1664604000000.0,06.00,"शनिवार 1 अक्टूबर 2022, 06.00 — 12.00",1,Sunny.,34.0,29.0,1006,0,0,64,10,2022
2,uk,uk,uk,1664625600000.0,12.00,"शनिवार 1 अक्टूबर 2022, 12.00 — 18.00",3,Haze.,35.0,32.0,1002,2,320,56,10,2022
3,uk,uk,uk,1664647200000.0,18.00,"शनिवार 1 अक्टूबर 2022, 18.00 — 00.00",14,Passing clouds.,27.0,26.0,1004,0,0,84,10,2022
4,True,रविवार 2 अक्टूबर,2 अक्टूबर,1664668800000.0,00.00,"रविवार 2 अक्टूबर 2022, 00.00 — 06.00",13,Clear.,25.0,24.0,1004,0,0,91,10,2022
5,uk,uk,uk,1664690400000.0,06.00,"रविवार 2 अक्टूबर 2022, 06.00 — 12.00",1,Sunny.,33.0,28.0,1006,0,0,62,10,2022
6,uk,uk,uk,1664712000000.0,12.00,"रविवार 2 अक्टूबर 2022, 12.00 — 18.00",3,Haze.,36.0,32.0,1003,0,0,51,10,2022
7,uk,uk,uk,1664733600000.0,18.00,"रविवार 2 अक्टूबर 2022, 18.00 — 00.00",13,Clear.,27.0,25.0,1005,0,0,80,10,2022
8,True,सोमवार 3 अक्टूबर,3 अक्टूबर,1664755200000.0,00.00,"सोमवार 3 अक्टूबर 2022, 00.00 — 06.00",14,Haze.,24.0,23.0,1006,0,0,89,10,2022
9,uk,uk,uk,1664776800000.0,06.00,"सोमवार 3 अक्टूबर 2022, 06.00 — 12.00",1,Sunny.,34.0,28.0,1008,2,230,57,10,2022
10,uk,uk,uk,1664798400000.0,12.00,"सोमवार 3 अक्टूबर 2022, 12.00 — 18.00",3,Haze.,35.0,31.0,1004,3,320,48,10,2022
11,uk,uk,uk,1664820000000.0,18.00,"सोमवार 3 अक्टूबर 2022, 18.00 — 00.00",13,Clear.,26.0,24.0,1007,0,0,74,10,2022
12,True,मंगलवार 4 अक्टूबर,4 अक्टूबर,1664841600000.0,00.00,"मंगलवार 4 अक्टूबर 2022, 00.00 — 06.00",13,Clear.,25.0,25.0,1006,0,0,72,10,2022
13,uk,uk,uk,1664863200000.0,06.00,"मंगलवार 4 अक्टूबर 2022, 06.00 — 12.00",7,Overcast.,30.0,26.0,1008,0,0,74,10,2022
14,uk,uk,uk,1664884800000.0,12.00,"मंगलवार 4 अक्टूबर 2022, 12.00 — 18.00",2,Scattered clouds.,34.0,27.0,1005,0,0,78,10,2022
15,uk,uk,uk,1664906400000.0,18.00,"मंगलवार 4 अक्टूबर 2022, 18.00 — 00.00",17,Overcast.,26.0,26.0,1008,0,0,97,10,2022
16,True,बुधवार 5 अक्टूबर,5 अक्टूबर,1664928000000.0,00.00,"बुधवार 5 अक्टूबर 2022, 00.00 — 06.00",17,Overcast.,26.0,26.0,1007,0,0,96,10,2022
17,uk,uk,uk,1664949600000.0,06.00,"बुधवार 5 अक्टूबर 2022, 06.00 — 12.00",7,Overcast.,30.0,26.0,1008,0,0,85,10,2022
18,uk,uk,uk,1664971200000.0,12.00,"बुधवार 5 अक्टूबर 2022, 12.00 — 18.00",6,Partly sunny.,31.0,27.0,1005,2,90,74,10,2022
19,uk,uk,uk,1664992800000.0,18.00,"बुधवार 5 अक्टूबर 2022, 18.00 — 00.00",14,Passing clouds.,25.0,25.0,1007,0,0,92,10,2022
20,True,गुरुवार 6 अक्टूबर,6 अक्टूबर,1665014400000.0,00.00,"गुरुवार 6 अक्टूबर 2022, 00.00 — 06.00",17,Overcast.,25.0,24.0,1006,0,0,91,10,2022
21,uk,uk,uk,1665036000000.0,06.00,"गुरुवार 6 अक्टूबर 2022, 06.00 — 12.00",7,Overcast.,26.0,25.0,1008,0,0,90,10,2022
22,uk,uk,uk,1665057600000.0,12.00,"गुरुवार 6 अक्टूबर 2022, 12.00 — 18.00",7,Overcast.,27.0,26.0,1006,0,0,85,10,2022
