,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 अप्रैल,1 अप्रैल,1585699200000.0,00.00,"बुधवार 1 अप्रैल 2020, 00.00 — 06.00",13,Clear.,22.0,20.0,1009,0,0,66,4,2020
1,uk,uk,uk,1585720800000.0,06.00,"बुधवार 1 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,24.0,24.0,1011,0,0,53,4,2020
2,uk,uk,uk,1585742400000.0,12.00,"बुधवार 1 अप्रैल 2020, 12.00 — 18.00",2,Scattered clouds.,36.0,35.0,1006,0,0,23,4,2020
3,uk,uk,uk,1585764000000.0,18.00,"बुधवार 1 अप्रैल 2020, 18.00 — 00.00",13,Clear.,31.0,27.0,1008,7,270,29,4,2020
4,True,गुरुवार 2 अप्रैल,2 अप्रैल,1585785600000.0,00.00,"गुरुवार 2 अप्रैल 2020, 00.00 — 06.00",13,Clear.,24.0,22.0,1008,3,320,60,4,2020
5,uk,uk,uk,1585807200000.0,06.00,"गुरुवार 2 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,24.0,24.0,1011,4,0,56,4,2020
6,uk,uk,uk,1585828800000.0,12.00,"गुरुवार 2 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,33.0,33.0,1008,6,320,22,4,2020
7,uk,uk,uk,1585850400000.0,18.00,"गुरुवार 2 अप्रैल 2020, 18.00 — 00.00",13,Clear.,25.0,22.0,1010,0,0,48,4,2020
8,True,शुक्रवार 3 अप्रैल,3 अप्रैल,1585872000000.0,00.00,"शुक्रवार 3 अप्रैल 2020, 00.00 — 06.00",13,Clear.,19.0,19.0,1011,0,0,62,4,2020
9,uk,uk,uk,1585893600000.0,06.00,"शुक्रवार 3 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,31.0,24.0,1012,1,320,30,4,2020
10,uk,uk,uk,1585915200000.0,12.00,"शुक्रवार 3 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,33.0,33.0,1009,6,270,14,4,2020
11,uk,uk,uk,1585936800000.0,18.00,"शुक्रवार 3 अप्रैल 2020, 18.00 — 00.00",13,Clear.,24.0,20.0,1011,0,0,48,4,2020
12,True,शनिवार 4 अप्रैल,4 अप्रैल,1585958400000.0,00.00,"शनिवार 4 अप्रैल 2020, 00.00 — 06.00",13,Clear.,18.0,17.0,1011,0,0,61,4,2020
13,uk,uk,uk,1585980000000.0,06.00,"शनिवार 4 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,31.0,24.0,1013,0,0,32,4,2020
14,uk,uk,uk,1586001600000.0,12.00,"शनिवार 4 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,34.0,34.0,1009,0,0,22,4,2020
15,uk,uk,uk,1586023200000.0,18.00,"शनिवार 4 अप्रैल 2020, 18.00 — 00.00",13,Clear.,25.0,25.0,1010,0,0,47,4,2020
16,True,रविवार 5 अप्रैल,5 अप्रैल,1586044800000.0,00.00,"रविवार 5 अप्रैल 2020, 00.00 — 06.00",13,Clear.,18.0,18.0,1011,0,0,71,4,2020
17,uk,uk,uk,1586066400000.0,06.00,"रविवार 5 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,33.0,25.0,1012,0,0,32,4,2020
18,uk,uk,uk,1586088000000.0,12.00,"रविवार 5 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,35.0,35.0,1009,0,0,20,4,2020
19,uk,uk,uk,1586109600000.0,18.00,"रविवार 5 अप्रैल 2020, 18.00 — 00.00",13,Clear.,23.0,23.0,1011,0,0,53,4,2020
20,True,सोमवार 6 अप्रैल,6 अप्रैल,1586131200000.0,00.00,"सोमवार 6 अप्रैल 2020, 00.00 — 06.00",13,Clear.,21.0,20.0,1010,0,0,61,4,2020
21,uk,uk,uk,1586152800000.0,06.00,"सोमवार 6 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,34.0,25.0,1012,0,0,38,4,2020
22,uk,uk,uk,1586174400000.0,12.00,"सोमवार 6 अप्रैल 2020, 12.00 — 18.00",3,Haze.,37.0,36.0,1007,4,270,17,4,2020
23,uk,uk,uk,1586196000000.0,18.00,"सोमवार 6 अप्रैल 2020, 18.00 — 00.00",13,Clear.,28.0,24.0,1008,0,0,48,4,2020
24,True,मंगलवार 7 अप्रैल,7 अप्रैल,1586217600000.0,00.00,"मंगलवार 7 अप्रैल 2020, 00.00 — 06.00",13,Clear.,21.0,20.0,1008,0,0,71,4,2020
25,uk,uk,uk,1586239200000.0,06.00,"मंगलवार 7 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,34.0,25.0,1009,0,0,38,4,2020
26,uk,uk,uk,1586260800000.0,12.00,"मंगलवार 7 अप्रैल 2020, 12.00 — 18.00",7,Overcast.,38.0,36.0,1004,2,230,19,4,2020
27,uk,uk,uk,1586282400000.0,18.00,"मंगलवार 7 अप्रैल 2020, 18.00 — 00.00",14,Haze.,30.0,27.0,1009,3,0,34,4,2020
28,True,बुधवार 8 अप्रैल,8 अप्रैल,1586304000000.0,00.00,"बुधवार 8 अप्रैल 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2020
29,uk,uk,uk,1586325600000.0,06.00,"बुधवार 8 अप्रैल 2020, 06.00 — 12.00",6,Partly sunny.,33.0,27.0,1009,1,140,36,4,2020
30,uk,uk,uk,1586347200000.0,12.00,"बुधवार 8 अप्रैल 2020, 12.00 — 18.00",2,Scattered clouds.,36.0,35.0,1006,3,90,22,4,2020
31,uk,uk,uk,1586368800000.0,18.00,"बुधवार 8 अप्रैल 2020, 18.00 — 00.00",14,Passing clouds.,29.0,25.0,1008,0,0,36,4,2020
32,True,गुरुवार 9 अप्रैल,9 अप्रैल,1586390400000.0,00.00,"गुरुवार 9 अप्रैल 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2020
33,uk,uk,uk,1586412000000.0,06.00,"गुरुवार 9 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,32.0,25.0,1011,1,320,34,4,2020
34,uk,uk,uk,1586433600000.0,12.00,"गुरुवार 9 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,36.0,35.0,1007,2,320,19,4,2020
35,uk,uk,uk,1586455200000.0,18.00,"गुरुवार 9 अप्रैल 2020, 18.00 — 00.00",14,Passing clouds.,27.0,23.0,1009,0,0,47,4,2020
36,True,शुक्रवार 10 अप्रैल,10 अप्रैल,1586476800000.0,00.00,"शुक्रवार 10 अप्रैल 2020, 00.00 — 06.00",1,Sunny.,18.0,18.0,1010,0,0,66,4,2020
37,uk,uk,uk,1586498400000.0,06.00,"शुक्रवार 10 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,34.0,25.0,1011,0,0,34,4,2020
38,uk,uk,uk,1586520000000.0,12.00,"शुक्रवार 10 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,36.0,36.0,1011,0,0,20,4,2020
39,uk,uk,uk,1586541600000.0,18.00,"शुक्रवार 10 अप्रैल 2020, 18.00 — 00.00",13,Clear.,28.0,24.0,1011,0,0,46,4,2020
40,True,शनिवार 11 अप्रैल,11 अप्रैल,1586563200000.0,00.00,"शनिवार 11 अप्रैल 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2020
41,uk,uk,uk,1586584800000.0,06.00,"शनिवार 11 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,36.0,27.0,1013,0,0,32,4,2020
42,uk,uk,uk,1586606400000.0,12.00,"शनिवार 11 अप्रैल 2020, 12.00 — 18.00",3,Haze.,39.0,37.0,1008,2,320,18,4,2020
43,uk,uk,uk,1586628000000.0,18.00,"शनिवार 11 अप्रैल 2020, 18.00 — 00.00",13,Clear.,29.0,29.0,1009,0,0,38,4,2020
44,True,रविवार 12 अप्रैल,12 अप्रैल,1586649600000.0,00.00,"रविवार 12 अप्रैल 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2020
45,uk,uk,uk,1586671200000.0,06.00,"रविवार 12 अप्रैल 2020, 06.00 — 12.00",2,Scattered clouds.,35.0,29.0,1011,3,270,30,4,2020
46,uk,uk,uk,1586692800000.0,12.00,"रविवार 12 अप्रैल 2020, 12.00 — 18.00",3,Haze.,38.0,37.0,1006,6,320,18,4,2020
47,uk,uk,uk,1586714400000.0,18.00,"रविवार 12 अप्रैल 2020, 18.00 — 00.00",13,Clear.,29.0,26.0,1008,0,0,48,4,2020
48,True,सोमवार 13 अप्रैल,13 अप्रैल,1586736000000.0,00.00,"सोमवार 13 अप्रैल 2020, 00.00 — 06.00",1,Sunny.,22.0,22.0,1008,0,0,65,4,2020
49,uk,uk,uk,1586757600000.0,06.00,"सोमवार 13 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,37.0,28.0,1008,1,320,34,4,2020
50,uk,uk,uk,1586779200000.0,12.00,"सोमवार 13 अप्रैल 2020, 12.00 — 18.00",2,Scattered clouds.,39.0,38.0,1004,2,320,22,4,2020
51,uk,uk,uk,1586800800000.0,18.00,"सोमवार 13 अप्रैल 2020, 18.00 — 00.00",22,Thunderstorms. Passing clouds.,30.0,30.0,1006,0,0,43,4,2020
52,True,मंगलवार 14 अप्रैल,14 अप्रैल,1586822400000.0,00.00,"मंगलवार 14 अप्रैल 2020, 00.00 — 06.00",14,Passing clouds.,27.0,27.0,1007,0,0,51,4,2020
53,uk,uk,uk,1586844000000.0,06.00,"मंगलवार 14 अप्रैल 2020, 06.00 — 12.00",6,Partly sunny.,38.0,29.0,1008,1,90,39,4,2020
54,uk,uk,uk,1586865600000.0,12.00,"मंगलवार 14 अप्रैल 2020, 12.00 — 18.00",2,Scattered clouds.,40.0,35.0,1005,7,230,22,4,2020
55,uk,uk,uk,1586887200000.0,18.00,"मंगलवार 14 अप्रैल 2020, 18.00 — 00.00",14,Passing clouds.,30.0,28.0,1008,0,0,44,4,2020
56,True,बुधवार 15 अप्रैल,15 अप्रैल,1586908800000.0,00.00,"बुधवार 15 अप्रैल 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,4,2020
57,uk,uk,uk,1586930400000.0,06.00,"बुधवार 15 अप्रैल 2020, 06.00 — 12.00",6,Partly sunny.,39.0,30.0,1008,0,0,31,4,2020
58,uk,uk,uk,1586952000000.0,12.00,"बुधवार 15 अप्रैल 2020, 12.00 — 18.00",6,Partly sunny.,40.0,37.0,1004,3,230,16,4,2020
59,uk,uk,uk,1586973600000.0,18.00,"बुधवार 15 अप्रैल 2020, 18.00 — 00.00",13,Clear.,32.0,27.0,1006,0,0,30,4,2020
60,True,गुरुवार 16 अप्रैल,16 अप्रैल,1586995200000.0,00.00,"गुरुवार 16 अप्रैल 2020, 00.00 — 06.00",1,Sunny.,25.0,25.0,1005,0,0,41,4,2020
61,uk,uk,uk,1587016800000.0,06.00,"गुरुवार 16 अप्रैल 2020, 06.00 — 12.00",1,Sunny.,38.0,32.0,1006,0,0,20,4,2020
62,uk,uk,uk,1587038400000.0,12.00,"गुरुवार 16 अप्रैल 2020, 12.00 — 18.00",1,Sunny.,40.0,39.0,1002,2,320,18,4,2020
63,uk,uk,uk,1587060000000.0,18.00,"गुरुवार 16 अप्रैल 2020, 18.00 — 00.00",13,Clear.,30.0,28.0,1004,0,0,42,4,2020
