,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,मंगलवार 1 सितंबर,1 सितंबर,1598918400000.0,00.00,"मंगलवार 1 सितंबर 2020, 00.00 — 06.00",14,Haze.,26.0,25.0,1005,0,0,90,9,2020
1,uk,uk,uk,1598940000000.0,06.00,"मंगलवार 1 सितंबर 2020, 06.00 — 12.00",2,Passing clouds.,28.0,28.0,503,7,230,40,9,2020
2,uk,uk,uk,1598961600000.0,12.00,"मंगलवार 1 सितंबर 2020, 12.00 — 18.00",6,Partly sunny.,33.0,33.0,1004,6,230,58,9,2020
3,uk,uk,uk,1598983200000.0,18.00,"मंगलवार 1 सितंबर 2020, 18.00 — 00.00",14,Passing clouds.,29.0,28.0,1006,0,0,78,9,2020
4,True,बुधवार 2 सितंबर,2 सितंबर,1599004800000.0,00.00,"बुधवार 2 सितंबर 2020, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,9,2020
5,uk,uk,uk,1599026400000.0,06.00,"बुधवार 2 सितंबर 2020, 06.00 — 12.00",7,Overcast.,31.0,28.0,1008,6,230,73,9,2020
6,uk,uk,uk,1599048000000.0,12.00,"बुधवार 2 सितंबर 2020, 12.00 — 18.00",7,Overcast.,31.0,31.0,1005,0,0,72,9,2020
7,uk,uk,uk,1599069600000.0,18.00,"बुधवार 2 सितंबर 2020, 18.00 — 00.00",17,Overcast.,29.0,28.0,1006,0,0,84,9,2020
8,True,गुरुवार 3 सितंबर,3 सितंबर,1599091200000.0,00.00,"गुरुवार 3 सितंबर 2020, 00.00 — 06.00",22,Thundershowers. Overcast.,25.0,25.0,1006,0,0,97,9,2020
9,uk,uk,uk,1599112800000.0,06.00,"गुरुवार 3 सितंबर 2020, 06.00 — 12.00",7,Overcast.,29.0,27.0,1006,0,0,91,9,2020
10,uk,uk,uk,1599134400000.0,12.00,"गुरुवार 3 सितंबर 2020, 12.00 — 18.00",6,Partly sunny.,31.0,30.0,1004,3,90,84,9,2020
