,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 अप्रैल,1 अप्रैल,1648771200000.0,00.00,"शुक्रवार 1 अप्रैल 2022, 00.00 — 06.00",13,Clear.,26.0,25.0,1005,2,320,36,4,2022
1,uk,uk,uk,1648792800000.0,06.00,"शुक्रवार 1 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,36.0,28.0,1007,2,320,33,4,2022
2,uk,uk,uk,1648814400000.0,12.00,"शुक्रवार 1 अप्रैल 2022, 12.00 — 18.00",1,Sunny.,39.0,37.0,1004,4,320,22,4,2022
3,uk,uk,uk,1648836000000.0,18.00,"शुक्रवार 1 अप्रैल 2022, 18.00 — 00.00",13,Clear.,28.0,23.0,1007,0,0,46,4,2022
4,True,शनिवार 2 अप्रैल,2 अप्रैल,1648857600000.0,00.00,"शनिवार 2 अप्रैल 2022, 00.00 — 06.00",13,Clear.,20.0,18.0,1007,0,0,62,4,2022
5,uk,uk,uk,1648879200000.0,06.00,"शनिवार 2 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,38.0,26.0,1009,0,0,30,4,2022
6,uk,uk,uk,1648900800000.0,12.00,"शनिवार 2 अप्रैल 2022, 12.00 — 18.00",1,Sunny.,40.0,38.0,1006,0,0,21,4,2022
7,uk,uk,uk,1648922400000.0,18.00,"शनिवार 2 अप्रैल 2022, 18.00 — 00.00",13,Clear.,26.0,21.0,1008,0,0,58,4,2022
8,True,रविवार 3 अप्रैल,3 अप्रैल,1648944000000.0,00.00,"रविवार 3 अप्रैल 2022, 00.00 — 06.00",13,Clear.,21.0,19.0,1008,0,0,52,4,2022
9,uk,uk,uk,1648965600000.0,06.00,"रविवार 3 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,40.0,29.0,1008,2,230,20,4,2022
10,uk,uk,uk,1648987200000.0,12.00,"रविवार 3 अप्रैल 2022, 12.00 — 18.00",1,Sunny.,41.0,39.0,1004,4,230,12,4,2022
11,uk,uk,uk,1649008800000.0,18.00,"रविवार 3 अप्रैल 2022, 18.00 — 00.00",13,Clear.,29.0,29.0,1006,0,0,25,4,2022
12,True,सोमवार 4 अप्रैल,4 अप्रैल,1649030400000.0,00.00,"सोमवार 4 अप्रैल 2022, 00.00 — 06.00",13,Clear.,21.0,20.0,1006,0,0,46,4,2022
13,uk,uk,uk,1649052000000.0,06.00,"सोमवार 4 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,39.0,30.0,1007,2,270,21,4,2022
14,uk,uk,uk,1649073600000.0,12.00,"सोमवार 4 अप्रैल 2022, 12.00 — 18.00",1,Sunny.,41.0,38.0,1005,4,270,13,4,2022
15,uk,uk,uk,1649095200000.0,18.00,"सोमवार 4 अप्रैल 2022, 18.00 — 00.00",13,Clear.,28.0,24.0,1008,0,0,42,4,2022
16,True,मंगलवार 5 अप्रैल,5 अप्रैल,1649116800000.0,00.00,"मंगलवार 5 अप्रैल 2022, 00.00 — 06.00",13,Clear.,22.0,22.0,1008,0,0,54,4,2022
17,uk,uk,uk,1649138400000.0,06.00,"मंगलवार 5 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,39.0,28.0,1011,0,0,28,4,2022
18,uk,uk,uk,1649160000000.0,12.00,"मंगलवार 5 अप्रैल 2022, 12.00 — 18.00",1,Sunny.,38.0,38.0,1007,4,320,26,4,2022
19,uk,uk,uk,1649181600000.0,18.00,"मंगलवार 5 अप्रैल 2022, 18.00 — 00.00",13,Clear.,28.0,24.0,1009,0,0,42,4,2022
20,True,बुधवार 6 अप्रैल,6 अप्रैल,1649203200000.0,00.00,"बुधवार 6 अप्रैल 2022, 00.00 — 06.00",13,Clear.,22.0,20.0,1010,0,0,54,4,2022
21,uk,uk,uk,1649224800000.0,06.00,"बुधवार 6 अप्रैल 2022, 06.00 — 12.00",1,Sunny.,39.0,28.0,1011,0,0,27,4,2022
22,uk,uk,uk,1649246400000.0,12.00,"बुधवार 6 अप्रैल 2022, 12.00 — 18.00",6,Partly sunny.,38.0,38.0,1006,0,0,24,4,2022
23,uk,uk,uk,1649268000000.0,18.00,"बुधवार 6 अप्रैल 2022, 18.00 — 00.00",13,Clear.,24.0,24.0,1010,0,0,47,4,2022
