,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,मंगलवार 1 नवंबर,1 नवंबर,1667260800000.0,00.00,"मंगलवार 1 नवंबर 2022, 00.00 — 06.00",13,Clear.,18,16,1014,0,0,90,11,2022
1,uk,uk,uk,1667282400000.0,06.00,"मंगलवार 1 नवंबर 2022, 06.00 — 12.00",9,Fog.,29,19,1015,0,0,72,11,2022
2,uk,uk,uk,1667304000000.0,12.00,"मंगलवार 1 नवंबर 2022, 12.00 — 18.00",1,Sunny.,32,26,1012,0,0,60,11,2022
3,uk,uk,uk,1667325600000.0,18.00,"मंगलवार 1 नवंबर 2022, 18.00 — 00.00",13,Clear.,22,19,1014,0,0,84,11,2022
4,True,बुधवार 2 नवंबर,2 नवंबर,1667347200000.0,00.00,"बुधवार 2 नवंबर 2022, 00.00 — 06.00",14,Fog.,18,17,1014,0,0,89,11,2022
5,uk,uk,uk,1667368800000.0,06.00,"बुधवार 2 नवंबर 2022, 06.00 — 12.00",1,Sunny.,31,20,1014,0,0,61,11,2022
6,uk,uk,uk,1667390400000.0,12.00,"बुधवार 2 नवंबर 2022, 12.00 — 18.00",1,Sunny.,33,27,1009,0,0,46,11,2022
7,uk,uk,uk,1667412000000.0,18.00,"बुधवार 2 नवंबर 2022, 18.00 — 00.00",13,Clear.,22,20,1012,0,0,76,11,2022
8,True,गुरुवार 3 नवंबर,3 नवंबर,1667433600000.0,00.00,"गुरुवार 3 नवंबर 2022, 00.00 — 06.00",14,Fog.,18,17,1011,0,0,86,11,2022
9,uk,uk,uk,1667455200000.0,06.00,"गुरुवार 3 नवंबर 2022, 06.00 — 12.00",1,Sunny.,30,20,1013,0,0,70,11,2022
10,uk,uk,uk,1667476800000.0,12.00,"गुरुवार 3 नवंबर 2022, 12.00 — 18.00",1,Sunny.,33,27,1009,0,0,55,11,2022
11,uk,uk,uk,1667498400000.0,18.00,"गुरुवार 3 नवंबर 2022, 18.00 — 00.00",13,Clear.,22,20,1012,0,0,82,11,2022
12,True,शुक्रवार 4 नवंबर,4 नवंबर,1667520000000.0,00.00,"शुक्रवार 4 नवंबर 2022, 00.00 — 06.00",9,Fog.,19,19,1012,0,0,91,11,2022
13,uk,uk,uk,1667541600000.0,06.00,"शुक्रवार 4 नवंबर 2022, 06.00 — 12.00",9,Fog.,31,21,1014,0,0,68,11,2022
14,uk,uk,uk,1667563200000.0,12.00,"शुक्रवार 4 नवंबर 2022, 12.00 — 18.00",1,Sunny.,34,29,1011,0,0,50,11,2022
