,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 फरवरी,1 फरवरी,1548979200000.0,00.00,"शुक्रवार 1 फरवरी 2019, 00.00 — 06.00",14,Haze.,11,10,1017,0,0,89,2,2019
1,uk,uk,uk,1549000800000.0,06.00,"शुक्रवार 1 फरवरी 2019, 06.00 — 12.00",1,Sunny.,19,12,1019,0,0,76,2,2019
2,uk,uk,uk,1549022400000.0,12.00,"शुक्रवार 1 फरवरी 2019, 12.00 — 18.00",1,Sunny.,23,21,1015,2,320,59,2,2019
3,uk,uk,uk,1549044000000.0,18.00,"शुक्रवार 1 फरवरी 2019, 18.00 — 00.00",13,Clear.,15,14,1018,0,0,86,2,2019
4,True,शनिवार 2 फरवरी,2 फरवरी,1549065600000.0,00.00,"शनिवार 2 फरवरी 2019, 00.00 — 06.00",14,Fog.,11,11,1018,0,0,95,2,2019
5,uk,uk,uk,1549087200000.0,06.00,"शनिवार 2 फरवरी 2019, 06.00 — 12.00",9,Fog.,13,11,1020,2,0,84,2,2019
6,uk,uk,uk,1549108800000.0,12.00,"शनिवार 2 फरवरी 2019, 12.00 — 18.00",1,Sunny.,18,16,1017,4,320,78,2,2019
7,uk,uk,uk,1549130400000.0,18.00,"शनिवार 2 फरवरी 2019, 18.00 — 00.00",14,Fog.,13,13,1018,0,0,88,2,2019
8,True,रविवार 3 फरवरी,3 फरवरी,1549152000000.0,00.00,"रविवार 3 फरवरी 2019, 00.00 — 06.00",14,Fog.,11,10,1019,2,320,94,2,2019
9,uk,uk,uk,1549173600000.0,06.00,"रविवार 3 फरवरी 2019, 06.00 — 12.00",9,Fog.,15,10,1021,2,320,88,2,2019
10,uk,uk,uk,1549195200000.0,12.00,"रविवार 3 फरवरी 2019, 12.00 — 18.00",1,Sunny.,22,20,1018,3,320,58,2,2019
11,uk,uk,uk,1549216800000.0,18.00,"रविवार 3 फरवरी 2019, 18.00 — 00.00",13,Clear.,14,12,1021,0,0,88,2,2019
12,True,सोमवार 4 फरवरी,4 फरवरी,1549238400000.0,00.00,"सोमवार 4 फरवरी 2019, 00.00 — 06.00",13,Clear.,10,10,1021,0,0,95,2,2019
13,uk,uk,uk,1549260000000.0,06.00,"सोमवार 4 फरवरी 2019, 06.00 — 12.00",9,Fog.,19,11,1022,0,0,76,2,2019
14,uk,uk,uk,1549281600000.0,12.00,"सोमवार 4 फरवरी 2019, 12.00 — 18.00",1,Sunny.,23,20,1018,2,50,60,2,2019
15,uk,uk,uk,1549303200000.0,18.00,"सोमवार 4 फरवरी 2019, 18.00 — 00.00",13,Clear.,15,13,1020,0,0,88,2,2019
16,True,मंगलवार 5 फरवरी,5 फरवरी,1549324800000.0,00.00,"मंगलवार 5 फरवरी 2019, 00.00 — 06.00",14,Passing clouds.,14,13,1018,0,0,91,2,2019
17,uk,uk,uk,1549346400000.0,06.00,"मंगलवार 5 फरवरी 2019, 06.00 — 12.00",7,Overcast.,19,19,1020,0,0,67,2,2019
18,uk,uk,uk,1549368000000.0,12.00,"मंगलवार 5 फरवरी 2019, 12.00 — 18.00",7,Overcast.,21,21,1015,0,0,57,2,2019
19,uk,uk,uk,1549389600000.0,18.00,"मंगलवार 5 फरवरी 2019, 18.00 — 00.00",14,Passing clouds.,16,14,1016,0,0,86,2,2019
20,True,बुधवार 6 फरवरी,6 फरवरी,1549411200000.0,00.00,"बुधवार 6 फरवरी 2019, 00.00 — 06.00",14,Passing clouds.,13,13,1013,0,0,93,2,2019
21,uk,uk,uk,1549432800000.0,06.00,"बुधवार 6 फरवरी 2019, 06.00 — 12.00",6,Partly sunny.,23,15,1016,0,0,78,2,2019
22,uk,uk,uk,1549454400000.0,12.00,"बुधवार 6 फरवरी 2019, 12.00 — 18.00",2,Scattered clouds.,27,24,1010,2,140,66,2,2019
23,uk,uk,uk,1549476000000.0,18.00,"बुधवार 6 फरवरी 2019, 18.00 — 00.00",22,Thundershowers. Overcast.,19,18,1012,3,320,96,2,2019
24,True,गुरुवार 7 फरवरी,7 फरवरी,1549497600000.0,00.00,"गुरुवार 7 फरवरी 2019, 00.00 — 06.00",22,Thunderstorms. Overcast.,17,16,1010,4,90,95,2,2019
25,uk,uk,uk,1549519200000.0,06.00,"गुरुवार 7 फरवरी 2019, 06.00 — 12.00",2,Scattered clouds.,20,16,1013,4,180,85,2,2019
26,uk,uk,uk,1549540800000.0,12.00,"गुरुवार 7 फरवरी 2019, 12.00 — 18.00",2,Scattered clouds.,24,22,1009,2,180,70,2,2019
27,uk,uk,uk,1549562400000.0,18.00,"गुरुवार 7 फरवरी 2019, 18.00 — 00.00",13,Clear.,18,14,1014,0,0,84,2,2019
28,True,शुक्रवार 8 फरवरी,8 फरवरी,1549584000000.0,00.00,"शुक्रवार 8 फरवरी 2019, 00.00 — 06.00",13,Clear.,12,12,1015,0,0,78,2,2019
29,uk,uk,uk,1549605600000.0,06.00,"शुक्रवार 8 फरवरी 2019, 06.00 — 12.00",1,Sunny.,20,12,1017,0,0,58,2,2019
30,uk,uk,uk,1549627200000.0,12.00,"शुक्रवार 8 फरवरी 2019, 12.00 — 18.00",1,Sunny.,23,20,1014,5,0,37,2,2019
31,uk,uk,uk,1549648800000.0,18.00,"शुक्रवार 8 फरवरी 2019, 18.00 — 00.00",13,Clear.,14,14,1017,0,0,66,2,2019
32,True,शनिवार 9 फरवरी,9 फरवरी,1549670400000.0,00.00,"शनिवार 9 फरवरी 2019, 00.00 — 06.00",13,Clear.,11,11,1017,4,270,80,2,2019
33,uk,uk,uk,1549692000000.0,06.00,"शनिवार 9 फरवरी 2019, 06.00 — 12.00",1,Sunny.,19,13,1020,6,0,60,2,2019
34,uk,uk,uk,1549713600000.0,12.00,"शनिवार 9 फरवरी 2019, 12.00 — 18.00",1,Sunny.,21,19,1019,7,0,46,2,2019
35,uk,uk,uk,1549735200000.0,18.00,"शनिवार 9 फरवरी 2019, 18.00 — 00.00",13,Clear.,12,10,1021,0,0,84,2,2019
36,True,रविवार 10 फरवरी,10 फरवरी,1549756800000.0,00.00,"रविवार 10 फरवरी 2019, 00.00 — 06.00",13,Clear.,9,7,1021,0,0,90,2,2019
37,uk,uk,uk,1549778400000.0,06.00,"रविवार 10 फरवरी 2019, 06.00 — 12.00",2,Scattered clouds.,19,10,1022,0,0,71,2,2019
38,uk,uk,uk,1549800000000.0,12.00,"रविवार 10 फरवरी 2019, 12.00 — 18.00",6,Partly sunny.,22,19,1019,2,90,43,2,2019
39,uk,uk,uk,1549821600000.0,18.00,"रविवार 10 फरवरी 2019, 18.00 — 00.00",14,Passing clouds.,14,11,1021,0,0,78,2,2019
40,True,सोमवार 11 फरवरी,11 फरवरी,1549843200000.0,00.00,"सोमवार 11 फरवरी 2019, 00.00 — 06.00",13,Clear.,9,8,1021,0,0,90,2,2019
41,uk,uk,uk,1549864800000.0,06.00,"सोमवार 11 फरवरी 2019, 06.00 — 12.00",2,Scattered clouds.,20,10,1023,2,140,70,2,2019
42,uk,uk,uk,1549886400000.0,12.00,"सोमवार 11 फरवरी 2019, 12.00 — 18.00",6,Partly sunny.,23,21,1019,4,320,42,2,2019
43,uk,uk,uk,1549908000000.0,18.00,"सोमवार 11 फरवरी 2019, 18.00 — 00.00",14,Passing clouds.,14,13,1021,0,0,81,2,2019
44,True,मंगलवार 12 फरवरी,12 फरवरी,1549929600000.0,00.00,"मंगलवार 12 फरवरी 2019, 00.00 — 06.00",14,Passing clouds.,12,11,1020,0,0,88,2,2019
45,uk,uk,uk,1549951200000.0,06.00,"मंगलवार 12 फरवरी 2019, 06.00 — 12.00",2,Scattered clouds.,22,12,1022,2,270,66,2,2019
