,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 जुलाई,1 जुलाई,1656633600000.0,00.00,"शुक्रवार 1 जुलाई 2022, 00.00 — 06.00",6,Partly sunny.,27,27,999,0,0,89,7,2022
1,uk,uk,uk,1656655200000.0,06.00,"शुक्रवार 1 जुलाई 2022, 06.00 — 12.00",6,Partly sunny.,32,28,1000,0,0,73,7,2022
2,uk,uk,uk,1656676800000.0,12.00,"शुक्रवार 1 जुलाई 2022, 12.00 — 18.00",6,Partly sunny.,35,35,996,0,0,55,7,2022
3,uk,uk,uk,1656698400000.0,18.00,"शुक्रवार 1 जुलाई 2022, 18.00 — 00.00",14,Passing clouds.,30,28,998,2,230,81,7,2022
4,True,शनिवार 2 जुलाई,2 जुलाई,1656720000000.0,00.00,"शनिवार 2 जुलाई 2022, 00.00 — 06.00",14,Haze.,28,27,997,0,0,88,7,2022
5,uk,uk,uk,1656741600000.0,06.00,"शनिवार 2 जुलाई 2022, 06.00 — 12.00",6,Partly sunny.,33,29,998,2,230,70,7,2022
6,uk,uk,uk,1656763200000.0,12.00,"शनिवार 2 जुलाई 2022, 12.00 — 18.00",6,Partly sunny.,36,35,995,0,0,54,7,2022
7,uk,uk,uk,1656784800000.0,18.00,"शनिवार 2 जुलाई 2022, 18.00 — 00.00",14,Passing clouds.,32,30,997,0,0,72,7,2022
8,True,रविवार 3 जुलाई,3 जुलाई,1656806400000.0,00.00,"रविवार 3 जुलाई 2022, 00.00 — 06.00",2,Scattered clouds.,27,27,997,0,0,89,7,2022
9,uk,uk,uk,1656828000000.0,06.00,"रविवार 3 जुलाई 2022, 06.00 — 12.00",7,Overcast.,33,30,998,0,0,70,7,2022
10,uk,uk,uk,1656849600000.0,12.00,"रविवार 3 जुलाई 2022, 12.00 — 18.00",6,Partly sunny.,37,35,994,2,230,54,7,2022
11,uk,uk,uk,1656871200000.0,18.00,"रविवार 3 जुलाई 2022, 18.00 — 00.00",14,Passing clouds.,28,28,998,2,230,90,7,2022
12,True,सोमवार 4 जुलाई,4 जुलाई,1656892800000.0,00.00,"सोमवार 4 जुलाई 2022, 00.00 — 06.00",6,Partly sunny.,28,28,998,0,0,89,7,2022
13,uk,uk,uk,1656914400000.0,06.00,"सोमवार 4 जुलाई 2022, 06.00 — 12.00",2,Scattered clouds.,35,30,998,0,0,73,7,2022
14,uk,uk,uk,1656936000000.0,12.00,"सोमवार 4 जुलाई 2022, 12.00 — 18.00",6,Partly sunny.,36,35,994,0,0,56,7,2022
15,uk,uk,uk,1656957600000.0,18.00,"सोमवार 4 जुलाई 2022, 18.00 — 00.00",17,Overcast.,33,27,996,0,0,84,7,2022
16,True,मंगलवार 5 जुलाई,5 जुलाई,1656979200000.0,00.00,"मंगलवार 5 जुलाई 2022, 00.00 — 06.00",3,Haze.,28,28,996,0,0,96,7,2022
17,uk,uk,uk,1657000800000.0,06.00,"मंगलवार 5 जुलाई 2022, 06.00 — 12.00",1,Sunny.,36,32,997,2,50,66,7,2022
18,uk,uk,uk,1657022400000.0,12.00,"मंगलवार 5 जुलाई 2022, 12.00 — 18.00",2,Scattered clouds.,38,38,994,2,90,48,7,2022
19,uk,uk,uk,1657044000000.0,18.00,"मंगलवार 5 जुलाई 2022, 18.00 — 00.00",14,Passing clouds.,34,33,996,0,0,68,7,2022
20,True,बुधवार 6 जुलाई,6 जुलाई,1657065600000.0,00.00,"बुधवार 6 जुलाई 2022, 00.00 — 06.00",13,Clear.,31,30,998,0,0,78,7,2022
21,uk,uk,uk,1657087200000.0,06.00,"बुधवार 6 जुलाई 2022, 06.00 — 12.00",1,Sunny.,37,33,999,0,0,59,7,2022
22,uk,uk,uk,1657108800000.0,12.00,"बुधवार 6 जुलाई 2022, 12.00 — 18.00",2,Scattered clouds.,31,31,997,0,0,83,7,2022
23,uk,uk,uk,1657130400000.0,18.00,"बुधवार 6 जुलाई 2022, 18.00 — 00.00",14,Passing clouds.,30,30,1001,0,0,90,7,2022
24,True,गुरुवार 7 जुलाई,7 जुलाई,1657152000000.0,00.00,"गुरुवार 7 जुलाई 2022, 00.00 — 06.00",1,Sunny.,29,29,1002,0,0,92,7,2022
25,uk,uk,uk,1657173600000.0,06.00,"गुरुवार 7 जुलाई 2022, 06.00 — 12.00",2,Scattered clouds.,35,32,1002,4,50,64,7,2022
26,uk,uk,uk,1657195200000.0,12.00,"गुरुवार 7 जुलाई 2022, 12.00 — 18.00",2,Scattered clouds.,37,37,997,4,90,50,7,2022
