,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 नवंबर,1 नवंबर,1572566400000.0,00.00,"शुक्रवार 1 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,17,1012,0,0,86,11,2019
1,uk,uk,uk,1572588000000.0,06.00,"शुक्रवार 1 नवंबर 2019, 06.00 — 12.00",1,Sunny.,31,19,1013,2,230,68,11,2019
2,uk,uk,uk,1572609600000.0,12.00,"शुक्रवार 1 नवंबर 2019, 12.00 — 18.00",1,Sunny.,33,28,1010,0,0,52,11,2019
3,uk,uk,uk,1572631200000.0,18.00,"शुक्रवार 1 नवंबर 2019, 18.00 — 00.00",13,Clear.,22,20,1012,0,0,81,11,2019
4,True,शनिवार 2 नवंबर,2 नवंबर,1572652800000.0,00.00,"शनिवार 2 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,17,1012,0,0,90,11,2019
5,uk,uk,uk,1572674400000.0,06.00,"शनिवार 2 नवंबर 2019, 06.00 — 12.00",1,Sunny.,29,19,1014,0,0,71,11,2019
6,uk,uk,uk,1572696000000.0,12.00,"शनिवार 2 नवंबर 2019, 12.00 — 18.00",1,Sunny.,33,27,1011,0,0,54,11,2019
7,uk,uk,uk,1572717600000.0,18.00,"शनिवार 2 नवंबर 2019, 18.00 — 00.00",14,Fog.,23,22,1014,2,320,77,11,2019
8,True,रविवार 3 नवंबर,3 नवंबर,1572739200000.0,00.00,"रविवार 3 नवंबर 2019, 00.00 — 06.00",14,Fog.,22,21,1014,0,0,84,11,2019
9,uk,uk,uk,1572760800000.0,06.00,"रविवार 3 नवंबर 2019, 06.00 — 12.00",6,Partly sunny.,25,23,1016,2,230,76,11,2019
10,uk,uk,uk,1572782400000.0,12.00,"रविवार 3 नवंबर 2019, 12.00 — 18.00",9,Fog.,26,26,1013,2,320,72,11,2019
11,uk,uk,uk,1572804000000.0,18.00,"रविवार 3 नवंबर 2019, 18.00 — 00.00",14,Fog.,22,21,1015,0,0,88,11,2019
12,True,सोमवार 4 नवंबर,4 नवंबर,1572825600000.0,00.00,"सोमवार 4 नवंबर 2019, 00.00 — 06.00",14,Fog.,20,19,1014,0,0,90,11,2019
13,uk,uk,uk,1572847200000.0,06.00,"सोमवार 4 नवंबर 2019, 06.00 — 12.00",9,Fog.,28,20,1016,0,0,74,11,2019
14,uk,uk,uk,1572868800000.0,12.00,"सोमवार 4 नवंबर 2019, 12.00 — 18.00",9,Fog.,31,27,1012,2,320,58,11,2019
15,uk,uk,uk,1572890400000.0,18.00,"सोमवार 4 नवंबर 2019, 18.00 — 00.00",14,Fog.,22,21,1014,0,0,85,11,2019
16,True,मंगलवार 5 नवंबर,5 नवंबर,1572912000000.0,00.00,"मंगलवार 5 नवंबर 2019, 00.00 — 06.00",14,Fog.,20,18,1013,0,0,92,11,2019
17,uk,uk,uk,1572933600000.0,06.00,"मंगलवार 5 नवंबर 2019, 06.00 — 12.00",9,Fog.,28,20,1014,1,230,68,11,2019
18,uk,uk,uk,1572955200000.0,12.00,"मंगलवार 5 नवंबर 2019, 12.00 — 18.00",1,Sunny.,31,25,1010,3,230,43,11,2019
19,uk,uk,uk,1572976800000.0,18.00,"मंगलवार 5 नवंबर 2019, 18.00 — 00.00",14,Fog.,20,17,1011,0,0,78,11,2019
20,True,बुधवार 6 नवंबर,6 नवंबर,1572998400000.0,00.00,"बुधवार 6 नवंबर 2019, 00.00 — 06.00",14,Fog.,17,17,1010,0,0,84,11,2019
21,uk,uk,uk,1573020000000.0,06.00,"बुधवार 6 नवंबर 2019, 06.00 — 12.00",9,Fog.,27,19,1012,2,230,66,11,2019
22,uk,uk,uk,1573041600000.0,12.00,"बुधवार 6 नवंबर 2019, 12.00 — 18.00",6,Partly sunny.,30,26,1008,0,0,53,11,2019
23,uk,uk,uk,1573063200000.0,18.00,"बुधवार 6 नवंबर 2019, 18.00 — 00.00",14,Passing clouds.,21,20,1010,0,0,76,11,2019
24,True,गुरुवार 7 नवंबर,7 नवंबर,1573084800000.0,00.00,"गुरुवार 7 नवंबर 2019, 00.00 — 06.00",14,Passing clouds.,19,18,1009,0,0,78,11,2019
25,uk,uk,uk,1573106400000.0,06.00,"गुरुवार 7 नवंबर 2019, 06.00 — 12.00",7,Overcast.,27,19,1011,2,140,66,11,2019
26,uk,uk,uk,1573128000000.0,12.00,"गुरुवार 7 नवंबर 2019, 12.00 — 18.00",7,Overcast.,29,23,1009,1,140,65,11,2019
27,uk,uk,uk,1573149600000.0,18.00,"गुरुवार 7 नवंबर 2019, 18.00 — 00.00",17,Overcast.,22,21,1011,0,0,82,11,2019
28,True,शुक्रवार 8 नवंबर,8 नवंबर,1573171200000.0,00.00,"शुक्रवार 8 नवंबर 2019, 00.00 — 06.00",14,Fog.,19,18,1011,0,0,88,11,2019
29,uk,uk,uk,1573192800000.0,06.00,"शुक्रवार 8 नवंबर 2019, 06.00 — 12.00",9,Fog.,27,19,1014,2,140,64,11,2019
30,uk,uk,uk,1573214400000.0,12.00,"शुक्रवार 8 नवंबर 2019, 12.00 — 18.00",9,Fog.,31,27,1011,0,0,46,11,2019
31,uk,uk,uk,1573236000000.0,18.00,"शुक्रवार 8 नवंबर 2019, 18.00 — 00.00",14,Fog.,21,19,1014,0,0,78,11,2019
32,True,शनिवार 9 नवंबर,9 नवंबर,1573257600000.0,00.00,"शनिवार 9 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,17,1013,0,0,87,11,2019
33,uk,uk,uk,1573279200000.0,06.00,"शनिवार 9 नवंबर 2019, 06.00 — 12.00",9,Fog.,27,19,1015,2,320,70,11,2019
34,uk,uk,uk,1573300800000.0,12.00,"शनिवार 9 नवंबर 2019, 12.00 — 18.00",1,Sunny.,31,27,1011,1,50,49,11,2019
35,uk,uk,uk,1573322400000.0,18.00,"शनिवार 9 नवंबर 2019, 18.00 — 00.00",14,Fog.,21,19,1014,0,0,79,11,2019
36,True,रविवार 10 नवंबर,10 नवंबर,1573344000000.0,00.00,"रविवार 10 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,16,1014,0,0,85,11,2019
37,uk,uk,uk,1573365600000.0,06.00,"रविवार 10 नवंबर 2019, 06.00 — 12.00",9,Fog.,28,17,1015,1,50,64,11,2019
38,uk,uk,uk,1573387200000.0,12.00,"रविवार 10 नवंबर 2019, 12.00 — 18.00",1,Sunny.,30,26,1012,0,0,48,11,2019
39,uk,uk,uk,1573408800000.0,18.00,"रविवार 10 नवंबर 2019, 18.00 — 00.00",13,Clear.,20,18,1014,0,0,80,11,2019
40,True,सोमवार 11 नवंबर,11 नवंबर,1573430400000.0,00.00,"सोमवार 11 नवंबर 2019, 00.00 — 06.00",13,Clear.,16,15,1013,0,0,90,11,2019
41,uk,uk,uk,1573452000000.0,06.00,"सोमवार 11 नवंबर 2019, 06.00 — 12.00",1,Sunny.,27,17,1014,0,0,68,11,2019
42,uk,uk,uk,1573473600000.0,12.00,"सोमवार 11 नवंबर 2019, 12.00 — 18.00",1,Sunny.,30,25,1011,0,0,51,11,2019
43,uk,uk,uk,1573495200000.0,18.00,"सोमवार 11 नवंबर 2019, 18.00 — 00.00",14,Fog.,20,19,1013,0,0,80,11,2019
44,True,मंगलवार 12 नवंबर,12 नवंबर,1573516800000.0,00.00,"मंगलवार 12 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,16,1013,0,0,88,11,2019
45,uk,uk,uk,1573538400000.0,06.00,"मंगलवार 12 नवंबर 2019, 06.00 — 12.00",1,Sunny.,26,18,1015,0,0,69,11,2019
46,uk,uk,uk,1573560000000.0,12.00,"मंगलवार 12 नवंबर 2019, 12.00 — 18.00",1,Sunny.,30,26,1012,0,0,56,11,2019
47,uk,uk,uk,1573581600000.0,18.00,"मंगलवार 12 नवंबर 2019, 18.00 — 00.00",13,Clear.,21,19,1015,0,0,80,11,2019
48,True,बुधवार 13 नवंबर,13 नवंबर,1573603200000.0,00.00,"बुधवार 13 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,17,1015,0,0,90,11,2019
49,uk,uk,uk,1573624800000.0,06.00,"बुधवार 13 नवंबर 2019, 06.00 — 12.00",3,Haze.,28,18,1017,0,0,70,11,2019
50,uk,uk,uk,1573646400000.0,12.00,"बुधवार 13 नवंबर 2019, 12.00 — 18.00",2,Scattered clouds.,30,27,1014,0,0,62,11,2019
51,uk,uk,uk,1573668000000.0,18.00,"बुधवार 13 नवंबर 2019, 18.00 — 00.00",14,Fog.,23,20,1016,0,0,76,11,2019
52,True,गुरुवार 14 नवंबर,14 नवंबर,1573689600000.0,00.00,"गुरुवार 14 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,18,1016,0,0,86,11,2019
53,uk,uk,uk,1573711200000.0,06.00,"गुरुवार 14 नवंबर 2019, 06.00 — 12.00",9,Fog.,24,18,1018,0,0,78,11,2019
54,uk,uk,uk,1573732800000.0,12.00,"गुरुवार 14 नवंबर 2019, 12.00 — 18.00",9,Fog.,26,24,1015,0,0,63,11,2019
55,uk,uk,uk,1573754400000.0,18.00,"गुरुवार 14 नवंबर 2019, 18.00 — 00.00",14,Fog.,19,17,1016,0,0,86,11,2019
56,True,शुक्रवार 15 नवंबर,15 नवंबर,1573776000000.0,00.00,"शुक्रवार 15 नवंबर 2019, 00.00 — 06.00",14,Fog.,16,16,1016,0,0,87,11,2019
57,uk,uk,uk,1573797600000.0,06.00,"शुक्रवार 15 नवंबर 2019, 06.00 — 12.00",9,Fog.,24,17,1018,1,320,70,11,2019
58,uk,uk,uk,1573819200000.0,12.00,"शुक्रवार 15 नवंबर 2019, 12.00 — 18.00",9,Fog.,29,24,1013,0,0,52,11,2019
59,uk,uk,uk,1573840800000.0,18.00,"शुक्रवार 15 नवंबर 2019, 18.00 — 00.00",14,Fog.,19,18,1015,0,0,82,11,2019
60,True,शनिवार 16 नवंबर,16 नवंबर,1573862400000.0,00.00,"शनिवार 16 नवंबर 2019, 00.00 — 06.00",14,Fog.,18,18,1014,2,270,84,11,2019
61,uk,uk,uk,1573884000000.0,06.00,"शनिवार 16 नवंबर 2019, 06.00 — 12.00",9,Fog.,26,20,1016,2,320,64,11,2019
62,uk,uk,uk,1573905600000.0,12.00,"शनिवार 16 नवंबर 2019, 12.00 — 18.00",3,Haze.,28,25,1014,2,320,52,11,2019
63,uk,uk,uk,1573927200000.0,18.00,"शनिवार 16 नवंबर 2019, 18.00 — 00.00",13,Clear.,20,19,1016,0,0,74,11,2019
64,True,रविवार 17 नवंबर,17 नवंबर,1573948800000.0,00.00,"रविवार 17 नवंबर 2019, 00.00 — 06.00",13,Clear.,19,18,1015,3,320,71,11,2019
65,uk,uk,uk,1573970400000.0,06.00,"रविवार 17 नवंबर 2019, 06.00 — 12.00",1,Sunny.,27,21,1017,6,320,52,11,2019
66,uk,uk,uk,1573992000000.0,12.00,"रविवार 17 नवंबर 2019, 12.00 — 18.00",1,Sunny.,29,26,1014,4,320,55,11,2019
67,uk,uk,uk,1574013600000.0,18.00,"रविवार 17 नवंबर 2019, 18.00 — 00.00",14,Fog.,21,18,1015,0,0,77,11,2019
68,True,सोमवार 18 नवंबर,18 नवंबर,1574035200000.0,00.00,"सोमवार 18 नवंबर 2019, 00.00 — 06.00",14,Fog.,17,16,1016,0,0,90,11,2019
69,uk,uk,uk,1574056800000.0,06.00,"सोमवार 18 नवंबर 2019, 06.00 — 12.00",9,Fog.,25,17,1017,2,0,71,11,2019
70,uk,uk,uk,1574078400000.0,12.00,"सोमवार 18 नवंबर 2019, 12.00 — 18.00",1,Sunny.,28,23,1013,0,0,54,11,2019
71,uk,uk,uk,1574100000000.0,18.00,"सोमवार 18 नवंबर 2019, 18.00 — 00.00",14,Haze.,19,17,1015,0,0,78,11,2019
72,True,मंगलवार 19 नवंबर,19 नवंबर,1574121600000.0,00.00,"मंगलवार 19 नवंबर 2019, 00.00 — 06.00",14,Passing clouds.,15,14,1015,0,0,89,11,2019
73,uk,uk,uk,1574143200000.0,06.00,"मंगलवार 19 नवंबर 2019, 06.00 — 12.00",7,Overcast.,23,17,1016,0,0,76,11,2019
74,uk,uk,uk,1574164800000.0,12.00,"मंगलवार 19 नवंबर 2019, 12.00 — 18.00",9,Fog.,27,23,1012,0,0,51,11,2019
75,uk,uk,uk,1574186400000.0,18.00,"मंगलवार 19 नवंबर 2019, 18.00 — 00.00",13,Clear.,18,15,1015,0,0,85,11,2019
76,True,बुधवार 20 नवंबर,20 नवंबर,1574208000000.0,00.00,"बुधवार 20 नवंबर 2019, 00.00 — 06.00",14,Fog.,14,13,1015,0,0,91,11,2019
77,uk,uk,uk,1574229600000.0,06.00,"बुधवार 20 नवंबर 2019, 06.00 — 12.00",1,Sunny.,25,15,1016,0,0,67,11,2019
78,uk,uk,uk,1574251200000.0,12.00,"बुधवार 20 नवंबर 2019, 12.00 — 18.00",3,Haze.,28,24,1013,0,0,50,11,2019
79,uk,uk,uk,1574272800000.0,18.00,"बुधवार 20 नवंबर 2019, 18.00 — 00.00",13,Clear.,18,18,1003,0,0,73,11,2019
80,True,गुरुवार 21 नवंबर,21 नवंबर,1574294400000.0,00.00,"गुरुवार 21 नवंबर 2019, 00.00 — 06.00",13,Clear.,14,14,1016,0,0,88,11,2019
81,uk,uk,uk,1574316000000.0,06.00,"गुरुवार 21 नवंबर 2019, 06.00 — 12.00",1,Sunny.,25,15,1018,0,0,69,11,2019
82,uk,uk,uk,1574337600000.0,12.00,"गुरुवार 21 नवंबर 2019, 12.00 — 18.00",1,Sunny.,28,23,1015,0,0,48,11,2019
83,uk,uk,uk,1574359200000.0,18.00,"गुरुवार 21 नवंबर 2019, 18.00 — 00.00",13,Clear.,18,16,1018,0,0,80,11,2019
84,True,शुक्रवार 22 नवंबर,22 नवंबर,1574380800000.0,00.00,"शुक्रवार 22 नवंबर 2019, 00.00 — 06.00",13,Clear.,15,13,1017,0,0,87,11,2019
85,uk,uk,uk,1574402400000.0,06.00,"शुक्रवार 22 नवंबर 2019, 06.00 — 12.00",9,Fog.,24,14,1018,0,0,72,11,2019
86,uk,uk,uk,1574424000000.0,12.00,"शुक्रवार 22 नवंबर 2019, 12.00 — 18.00",6,Partly sunny.,26,22,1015,0,0,58,11,2019
87,uk,uk,uk,1574445600000.0,18.00,"शुक्रवार 22 नवंबर 2019, 18.00 — 00.00",14,Fog.,18,15,1017,0,0,86,11,2019
88,True,शनिवार 23 नवंबर,23 नवंबर,1574467200000.0,00.00,"शनिवार 23 नवंबर 2019, 00.00 — 06.00",14,Fog.,14,13,1016,0,0,90,11,2019
89,uk,uk,uk,1574488800000.0,06.00,"शनिवार 23 नवंबर 2019, 06.00 — 12.00",3,Haze.,26,16,1018,0,0,70,11,2019
90,uk,uk,uk,1574510400000.0,12.00,"शनिवार 23 नवंबर 2019, 12.00 — 18.00",2,Scattered clouds.,28,28,1014,0,0,44,11,2019
91,uk,uk,uk,1574532000000.0,18.00,"शनिवार 23 नवंबर 2019, 18.00 — 00.00",14,Fog.,17,17,1016,0,0,86,11,2019
92,True,रविवार 24 नवंबर,24 नवंबर,1574553600000.0,00.00,"रविवार 24 नवंबर 2019, 00.00 — 06.00",14,Fog.,16,15,1016,0,0,92,11,2019
93,uk,uk,uk,1574575200000.0,06.00,"रविवार 24 नवंबर 2019, 06.00 — 12.00",2,Scattered clouds.,25,16,1017,2,320,74,11,2019
94,uk,uk,uk,1574596800000.0,12.00,"रविवार 24 नवंबर 2019, 12.00 — 18.00",2,Scattered clouds.,28,24,1014,2,0,54,11,2019
95,uk,uk,uk,1574618400000.0,18.00,"रविवार 24 नवंबर 2019, 18.00 — 00.00",14,Fog.,19,18,1016,0,0,84,11,2019
96,True,सोमवार 25 नवंबर,25 नवंबर,1574640000000.0,00.00,"सोमवार 25 नवंबर 2019, 00.00 — 06.00",14,Fog.,17,16,1015,0,0,90,11,2019
97,uk,uk,uk,1574661600000.0,06.00,"सोमवार 25 नवंबर 2019, 06.00 — 12.00",3,Haze.,24,18,1018,0,0,73,11,2019
98,uk,uk,uk,1574683200000.0,12.00,"सोमवार 25 नवंबर 2019, 12.00 — 18.00",6,Partly sunny.,26,23,1014,0,0,58,11,2019
99,uk,uk,uk,1574704800000.0,18.00,"सोमवार 25 नवंबर 2019, 18.00 — 00.00",14,Haze.,18,16,1017,0,0,84,11,2019
100,True,मंगलवार 26 नवंबर,26 नवंबर,1574726400000.0,00.00,"मंगलवार 26 नवंबर 2019, 00.00 — 06.00",14,Fog.,14,14,1016,0,0,89,11,2019
101,uk,uk,uk,1574748000000.0,06.00,"मंगलवार 26 नवंबर 2019, 06.00 — 12.00",1,Sunny.,25,15,1018,0,0,72,11,2019
102,uk,uk,uk,1574769600000.0,12.00,"मंगलवार 26 नवंबर 2019, 12.00 — 18.00",3,Haze.,28,23,1013,0,0,54,11,2019
103,uk,uk,uk,1574791200000.0,18.00,"मंगलवार 26 नवंबर 2019, 18.00 — 00.00",13,Clear.,18,17,1014,0,0,84,11,2019
104,True,बुधवार 27 नवंबर,27 नवंबर,1574812800000.0,00.00,"बुधवार 27 नवंबर 2019, 00.00 — 06.00",13,Clear.,16,15,1014,0,0,92,11,2019
105,uk,uk,uk,1574834400000.0,06.00,"बुधवार 27 नवंबर 2019, 06.00 — 12.00",6,Partly sunny.,22,16,1017,0,0,86,11,2019
106,uk,uk,uk,1574856000000.0,12.00,"बुधवार 27 नवंबर 2019, 12.00 — 18.00",2,Scattered clouds.,28,24,1013,0,0,59,11,2019
107,uk,uk,uk,1574877600000.0,18.00,"बुधवार 27 नवंबर 2019, 18.00 — 00.00",14,Fog.,20,19,1015,0,0,90,11,2019
108,True,गुरुवार 28 नवंबर,28 नवंबर,1574899200000.0,00.00,"गुरुवार 28 नवंबर 2019, 00.00 — 06.00",14,Fog.,17,17,1014,0,0,93,11,2019
109,uk,uk,uk,1574920800000.0,06.00,"गुरुवार 28 नवंबर 2019, 06.00 — 12.00",9,Fog.,26,18,1016,2,320,77,11,2019
110,uk,uk,uk,1574942400000.0,12.00,"गुरुवार 28 नवंबर 2019, 12.00 — 18.00",1,Sunny.,30,25,1013,0,0,60,11,2019
111,uk,uk,uk,1574964000000.0,18.00,"गुरुवार 28 नवंबर 2019, 18.00 — 00.00",14,Passing clouds.,22,19,1016,6,50,76,11,2019
112,True,शुक्रवार 29 नवंबर,29 नवंबर,1574985600000.0,00.00,"शुक्रवार 29 नवंबर 2019, 00.00 — 06.00",14,Passing clouds.,17,17,1016,0,0,87,11,2019
113,uk,uk,uk,1575007200000.0,06.00,"शुक्रवार 29 नवंबर 2019, 06.00 — 12.00",6,Partly sunny.,22,18,1018,0,0,79,11,2019
114,uk,uk,uk,1575028800000.0,12.00,"शुक्रवार 29 नवंबर 2019, 12.00 — 18.00",6,Partly sunny.,24,21,1015,2,50,73,11,2019
115,uk,uk,uk,1575050400000.0,18.00,"शुक्रवार 29 नवंबर 2019, 18.00 — 00.00",14,Passing clouds.,19,17,1017,2,0,91,11,2019
116,True,शनिवार 30 नवंबर,30 नवंबर,1575072000000.0,00.00,"शनिवार 30 नवंबर 2019, 00.00 — 06.00",14,Haze.,17,16,1017,0,0,93,11,2019
117,uk,uk,uk,1575093600000.0,06.00,"शनिवार 30 नवंबर 2019, 06.00 — 12.00",9,Fog.,22,16,1019,0,0,74,11,2019
118,uk,uk,uk,1575115200000.0,12.00,"शनिवार 30 नवंबर 2019, 12.00 — 18.00",2,Scattered clouds.,25,22,1015,0,0,67,11,2019
119,uk,uk,uk,1575136800000.0,18.00,"शनिवार 30 नवंबर 2019, 18.00 — 00.00",14,Fog.,19,17,1016,0,0,86,11,2019
