,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,सोमवार 1 फरवरी,1 फरवरी,1612137600000.0,00.00,"सोमवार 1 फरवरी 2021, 00.00 — 06.00",14,Fog.,9,7,1019,0,0,86,2,2021
1,uk,uk,uk,1612159200000.0,06.00,"सोमवार 1 फरवरी 2021, 06.00 — 12.00",9,Fog.,24,9,1021,0,0,52,2,2021
2,uk,uk,uk,1612180800000.0,12.00,"सोमवार 1 फरवरी 2021, 12.00 — 18.00",1,Sunny.,27,24,1017,1,320,32,2,2021
3,uk,uk,uk,1612202400000.0,18.00,"सोमवार 1 फरवरी 2021, 18.00 — 00.00",13,Clear.,15,12,1019,0,0,76,2,2021
4,True,मंगलवार 2 फरवरी,2 फरवरी,1612224000000.0,00.00,"मंगलवार 2 फरवरी 2021, 00.00 — 06.00",14,Fog.,10,8,1018,0,0,87,2,2021
5,uk,uk,uk,1612245600000.0,06.00,"मंगलवार 2 फरवरी 2021, 06.00 — 12.00",1,Sunny.,24,10,1019,0,0,56,2,2021
6,uk,uk,uk,1612267200000.0,12.00,"मंगलवार 2 फरवरी 2021, 12.00 — 18.00",1,Sunny.,28,25,1015,0,0,32,2,2021
7,uk,uk,uk,1612288800000.0,18.00,"मंगलवार 2 फरवरी 2021, 18.00 — 00.00",13,Clear.,16,13,1017,0,0,77,2,2021
8,True,बुधवार 3 फरवरी,3 फरवरी,1612310400000.0,00.00,"बुधवार 3 फरवरी 2021, 00.00 — 06.00",14,Fog.,12,10,1016,0,0,85,2,2021
9,uk,uk,uk,1612332000000.0,06.00,"बुधवार 3 फरवरी 2021, 06.00 — 12.00",1,Sunny.,26,13,1017,3,180,51,2,2021
10,uk,uk,uk,1612353600000.0,12.00,"बुधवार 3 फरवरी 2021, 12.00 — 18.00",3,Haze.,29,26,1013,2,180,37,2,2021
11,uk,uk,uk,1612375200000.0,18.00,"बुधवार 3 फरवरी 2021, 18.00 — 00.00",14,Haze.,19,16,1015,0,0,74,2,2021
12,True,गुरुवार 4 फरवरी,4 फरवरी,1612396800000.0,00.00,"गुरुवार 4 फरवरी 2021, 00.00 — 06.00",14,Passing clouds.,16,15,1015,0,0,74,2,2021
13,uk,uk,uk,1612418400000.0,06.00,"गुरुवार 4 फरवरी 2021, 06.00 — 12.00",3,Haze.,24,16,1016,2,90,56,2,2021
14,uk,uk,uk,1612440000000.0,12.00,"गुरुवार 4 फरवरी 2021, 12.00 — 18.00",6,Partly sunny.,27,25,1013,2,140,46,2,2021
15,uk,uk,uk,1612461600000.0,18.00,"गुरुवार 4 फरवरी 2021, 18.00 — 00.00",22,Thunderstorms. Passing clouds.,19,18,1015,0,0,75,2,2021
16,True,शुक्रवार 5 फरवरी,5 फरवरी,1612483200000.0,00.00,"शुक्रवार 5 फरवरी 2021, 00.00 — 06.00",14,Passing clouds.,14,14,1016,3,90,81,2,2021
17,uk,uk,uk,1612504800000.0,06.00,"शुक्रवार 5 फरवरी 2021, 06.00 — 12.00",2,Scattered clouds.,19,13,1019,0,0,74,2,2021
18,uk,uk,uk,1612526400000.0,12.00,"शुक्रवार 5 फरवरी 2021, 12.00 — 18.00",3,Haze.,23,21,1015,2,320,56,2,2021
19,uk,uk,uk,1612548000000.0,18.00,"शुक्रवार 5 फरवरी 2021, 18.00 — 00.00",13,Clear.,15,13,1018,0,0,87,2,2021
20,True,शनिवार 6 फरवरी,6 फरवरी,1612569600000.0,00.00,"शनिवार 6 फरवरी 2021, 00.00 — 06.00",14,Fog.,12,11,1018,0,0,91,2,2021
21,uk,uk,uk,1612591200000.0,06.00,"शनिवार 6 फरवरी 2021, 06.00 — 12.00",1,Sunny.,21,13,1020,3,320,66,2,2021
22,uk,uk,uk,1612612800000.0,12.00,"शनिवार 6 फरवरी 2021, 12.00 — 18.00",1,Sunny.,23,20,1016,5,0,41,2,2021
23,uk,uk,uk,1612634400000.0,18.00,"शनिवार 6 फरवरी 2021, 18.00 — 00.00",13,Clear.,14,12,1018,0,0,80,2,2021
24,True,रविवार 7 फरवरी,7 फरवरी,1612656000000.0,00.00,"रविवार 7 फरवरी 2021, 00.00 — 06.00",14,Fog.,12,10,1018,0,0,86,2,2021
25,uk,uk,uk,1612677600000.0,06.00,"रविवार 7 फरवरी 2021, 06.00 — 12.00",1,Sunny.,21,13,1020,3,0,59,2,2021
26,uk,uk,uk,1612699200000.0,12.00,"रविवार 7 फरवरी 2021, 12.00 — 18.00",1,Sunny.,23,21,1017,6,0,39,2,2021
27,uk,uk,uk,1612720800000.0,18.00,"रविवार 7 फरवरी 2021, 18.00 — 00.00",13,Clear.,14,11,1019,0,0,79,2,2021
28,True,सोमवार 8 फरवरी,8 फरवरी,1612742400000.0,00.00,"सोमवार 8 फरवरी 2021, 00.00 — 06.00",14,Fog.,9,8,1019,0,0,90,2,2021
29,uk,uk,uk,1612764000000.0,06.00,"सोमवार 8 फरवरी 2021, 06.00 — 12.00",1,Sunny.,23,10,1020,2,230,61,2,2021
30,uk,uk,uk,1612785600000.0,12.00,"सोमवार 8 फरवरी 2021, 12.00 — 18.00",1,Sunny.,25,24,1016,4,270,38,2,2021
31,uk,uk,uk,1612807200000.0,18.00,"सोमवार 8 फरवरी 2021, 18.00 — 00.00",13,Clear.,15,12,1017,0,0,80,2,2021
32,True,मंगलवार 9 फरवरी,9 फरवरी,1612828800000.0,00.00,"मंगलवार 9 फरवरी 2021, 00.00 — 06.00",14,Fog.,11,10,1016,0,0,89,2,2021
33,uk,uk,uk,1612850400000.0,06.00,"मंगलवार 9 फरवरी 2021, 06.00 — 12.00",1,Sunny.,27,12,1016,0,0,54,2,2021
34,uk,uk,uk,1612872000000.0,12.00,"मंगलवार 9 फरवरी 2021, 12.00 — 18.00",2,Scattered clouds.,29,25,1013,2,320,34,2,2021
35,uk,uk,uk,1612893600000.0,18.00,"मंगलवार 9 फरवरी 2021, 18.00 — 00.00",13,Clear.,18,15,1014,0,0,76,2,2021
36,True,बुधवार 10 फरवरी,10 फरवरी,1612915200000.0,00.00,"बुधवार 10 फरवरी 2021, 00.00 — 06.00",14,Fog.,13,12,1014,0,0,87,2,2021
37,uk,uk,uk,1612936800000.0,06.00,"बुधवार 10 फरवरी 2021, 06.00 — 12.00",9,Fog.,26,14,1014,5,180,59,2,2021
38,uk,uk,uk,1612958400000.0,12.00,"बुधवार 10 फरवरी 2021, 12.00 — 18.00",3,Haze.,30,27,1010,0,0,35,2,2021
39,uk,uk,uk,1612980000000.0,18.00,"बुधवार 10 फरवरी 2021, 18.00 — 00.00",13,Clear.,19,16,1013,0,0,74,2,2021
40,True,गुरुवार 11 फरवरी,11 फरवरी,1613001600000.0,00.00,"गुरुवार 11 फरवरी 2021, 00.00 — 06.00",13,Clear.,14,14,1013,0,0,82,2,2021
41,uk,uk,uk,1613023200000.0,06.00,"गुरुवार 11 फरवरी 2021, 06.00 — 12.00",1,Sunny.,26,14,1015,0,0,58,2,2021
42,uk,uk,uk,1613044800000.0,12.00,"गुरुवार 11 फरवरी 2021, 12.00 — 18.00",1,Sunny.,29,26,1011,4,0,30,2,2021
43,uk,uk,uk,1613066400000.0,18.00,"गुरुवार 11 फरवरी 2021, 18.00 — 00.00",13,Clear.,18,15,1014,0,0,74,2,2021
44,True,शुक्रवार 12 फरवरी,12 फरवरी,1613088000000.0,00.00,"शुक्रवार 12 फरवरी 2021, 00.00 — 06.00",13,Clear.,11,11,1015,0,0,90,2,2021
45,uk,uk,uk,1613109600000.0,06.00,"शुक्रवार 12 फरवरी 2021, 06.00 — 12.00",2,Scattered clouds.,23,23,1016,0,0,48,2,2021
46,uk,uk,uk,1613131200000.0,12.00,"शुक्रवार 12 फरवरी 2021, 12.00 — 18.00",3,Haze.,27,26,1013,0,0,40,2,2021
47,uk,uk,uk,1613152800000.0,18.00,"शुक्रवार 12 फरवरी 2021, 18.00 — 00.00",13,Clear.,17,15,1015,0,0,80,2,2021
48,True,शनिवार 13 फरवरी,13 फरवरी,1613174400000.0,00.00,"शनिवार 13 फरवरी 2021, 00.00 — 06.00",13,Clear.,12,11,1015,0,0,89,2,2021
49,uk,uk,uk,1613196000000.0,06.00,"शनिवार 13 फरवरी 2021, 06.00 — 12.00",9,Fog.,25,13,1016,0,0,68,2,2021
50,uk,uk,uk,1613217600000.0,12.00,"शनिवार 13 फरवरी 2021, 12.00 — 18.00",2,Scattered clouds.,28,25,1013,0,0,38,2,2021
51,uk,uk,uk,1613239200000.0,18.00,"शनिवार 13 फरवरी 2021, 18.00 — 00.00",14,Fog.,18,15,1015,0,0,75,2,2021
52,True,रविवार 14 फरवरी,14 फरवरी,1613260800000.0,00.00,"रविवार 14 फरवरी 2021, 00.00 — 06.00",14,Fog.,12,11,1015,0,0,89,2,2021
53,uk,uk,uk,1613282400000.0,06.00,"रविवार 14 फरवरी 2021, 06.00 — 12.00",9,Fog.,25,13,1016,0,0,63,2,2021
