,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,मंगलवार 1 मार्च,1 मार्च,1646092800000.0,00.00,"मंगलवार 1 मार्च 2022, 00.00 — 06.00",13,Clear.,12.0,11.0,1016,0,0,81,3,2022
1,uk,uk,uk,1646114400000.0,06.00,"मंगलवार 1 मार्च 2022, 06.00 — 12.00",1,Sunny.,26.0,15.0,1019,0,0,50,3,2022
2,uk,uk,uk,1646136000000.0,12.00,"मंगलवार 1 मार्च 2022, 12.00 — 18.00",2,Scattered clouds.,27.0,26.0,1015,0,0,34,3,2022
3,uk,uk,uk,1646157600000.0,18.00,"मंगलवार 1 मार्च 2022, 18.00 — 00.00",13,Clear.,18.0,15.0,1017,0,0,72,3,2022
4,True,बुधवार 2 मार्च,2 मार्च,1646179200000.0,00.00,"बुधवार 2 मार्च 2022, 00.00 — 06.00",13,Clear.,14.0,12.0,1016,0,0,86,3,2022
5,uk,uk,uk,1646200800000.0,06.00,"बुधवार 2 मार्च 2022, 06.00 — 12.00",1,Sunny.,26.0,17.0,1018,0,0,52,3,2022
6,uk,uk,uk,1646222400000.0,12.00,"बुधवार 2 मार्च 2022, 12.00 — 18.00",1,Sunny.,29.0,27.0,1014,0,0,34,3,2022
7,uk,uk,uk,1646244000000.0,18.00,"बुधवार 2 मार्च 2022, 18.00 — 00.00",13,Clear.,19.0,16.0,1016,0,0,73,3,2022
8,True,गुरुवार 3 मार्च,3 मार्च,1646265600000.0,00.00,"गुरुवार 3 मार्च 2022, 00.00 — 06.00",13,Clear.,14.0,14.0,1015,0,0,84,3,2022
9,uk,uk,uk,1646287200000.0,06.00,"गुरुवार 3 मार्च 2022, 06.00 — 12.00",1,Sunny.,26.0,17.0,1017,0,0,56,3,2022
10,uk,uk,uk,1646308800000.0,12.00,"गुरुवार 3 मार्च 2022, 12.00 — 18.00",1,Sunny.,30.0,28.0,1013,4,140,30,3,2022
11,uk,uk,uk,1646330400000.0,18.00,"गुरुवार 3 मार्च 2022, 18.00 — 00.00",14,Passing clouds.,21.0,18.0,1015,0,0,68,3,2022
12,True,शुक्रवार 4 मार्च,4 मार्च,1646352000000.0,00.00,"शुक्रवार 4 मार्च 2022, 00.00 — 06.00",13,Clear.,16.0,15.0,1014,0,0,81,3,2022
13,uk,uk,uk,1646373600000.0,06.00,"शुक्रवार 4 मार्च 2022, 06.00 — 12.00",1,Sunny.,27.0,19.0,1016,0,0,51,3,2022
14,uk,uk,uk,1646395200000.0,12.00,"शुक्रवार 4 मार्च 2022, 12.00 — 18.00",1,Sunny.,28.0,28.0,1012,6,50,41,3,2022
15,uk,uk,uk,1646416800000.0,18.00,"शुक्रवार 4 मार्च 2022, 18.00 — 00.00",13,Clear.,21.0,19.0,1015,0,0,75,3,2022
16,True,शनिवार 5 मार्च,5 मार्च,1646438400000.0,00.00,"शनिवार 5 मार्च 2022, 00.00 — 06.00",13,Clear.,17.0,16.0,1015,4,0,77,3,2022
17,uk,uk,uk,1646460000000.0,06.00,"शनिवार 5 मार्च 2022, 06.00 — 12.00",1,Sunny.,26.0,20.0,1017,6,320,53,3,2022
18,uk,uk,uk,1646481600000.0,12.00,"शनिवार 5 मार्च 2022, 12.00 — 18.00",1,Sunny.,29.0,27.0,1012,5,270,30,3,2022
19,uk,uk,uk,1646503200000.0,18.00,"शनिवार 5 मार्च 2022, 18.00 — 00.00",13,Clear.,19.0,16.0,1013,0,0,66,3,2022
20,True,रविवार 6 मार्च,6 मार्च,1646524800000.0,00.00,"रविवार 6 मार्च 2022, 00.00 — 06.00",13,Clear.,15.0,13.0,1013,0,0,82,3,2022
21,uk,uk,uk,1646546400000.0,06.00,"रविवार 6 मार्च 2022, 06.00 — 12.00",2,Scattered clouds.,27.0,19.0,1015,0,0,48,3,2022
22,uk,uk,uk,1646568000000.0,12.00,"रविवार 6 मार्च 2022, 12.00 — 18.00",2,Scattered clouds.,29.0,28.0,1012,2,50,32,3,2022
23,uk,uk,uk,1646589600000.0,18.00,"रविवार 6 मार्च 2022, 18.00 — 00.00",13,Clear.,21.0,18.0,1014,0,0,68,3,2022
24,True,सोमवार 7 मार्च,7 मार्च,1646611200000.0,00.00,"सोमवार 7 मार्च 2022, 00.00 — 06.00",14,Haze.,16.0,16.0,1014,0,0,79,3,2022
25,uk,uk,uk,1646632800000.0,06.00,"सोमवार 7 मार्च 2022, 06.00 — 12.00",1,Sunny.,19.0,19.0,1016,0,0,60,3,2022
26,uk,uk,uk,1646654400000.0,12.00,"सोमवार 7 मार्च 2022, 12.00 — 18.00",1,Sunny.,29.0,29.0,1012,0,0,34,3,2022
27,uk,uk,uk,1646676000000.0,18.00,"सोमवार 7 मार्च 2022, 18.00 — 00.00",13,Clear.,21.0,21.0,1014,0,0,64,3,2022
28,True,मंगलवार 8 मार्च,8 मार्च,1646697600000.0,00.00,"मंगलवार 8 मार्च 2022, 00.00 — 06.00",13,Clear.,16.0,14.0,1014,0,0,86,3,2022
29,uk,uk,uk,1646719200000.0,06.00,"मंगलवार 8 मार्च 2022, 06.00 — 12.00",1,Sunny.,29.0,20.0,1015,0,0,46,3,2022
