,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 जुलाई,1 जुलाई,1593561600000.0,00.00,"बुधवार 1 जुलाई 2020, 00.00 — 06.00",6,Partly sunny.,30.0,30.0,999,0,0,78,7,2020
1,uk,uk,uk,1593583200000.0,06.00,"बुधवार 1 जुलाई 2020, 06.00 — 12.00",2,Scattered clouds.,37.0,33.0,1000,2,230,63,7,2020
2,uk,uk,uk,1593604800000.0,12.00,"बुधवार 1 जुलाई 2020, 12.00 — 18.00",2,Scattered clouds.,39.0,38.0,996,2,0,46,7,2020
3,uk,uk,uk,1593626400000.0,18.00,"बुधवार 1 जुलाई 2020, 18.00 — 00.00",13,Clear.,35.0,34.0,996,0,0,60,7,2020
4,True,गुरुवार 2 जुलाई,2 जुलाई,1593648000000.0,00.00,"गुरुवार 2 जुलाई 2020, 00.00 — 06.00",1,Sunny.,30.0,30.0,996,0,0,74,7,2020
5,uk,uk,uk,1593669600000.0,06.00,"गुरुवार 2 जुलाई 2020, 06.00 — 12.00",3,Haze.,38.0,34.0,998,2,270,51,7,2020
6,uk,uk,uk,1593691200000.0,12.00,"गुरुवार 2 जुलाई 2020, 12.00 — 18.00",2,Scattered clouds.,40.0,37.0,994,4,0,42,7,2020
7,uk,uk,uk,1593712800000.0,18.00,"गुरुवार 2 जुलाई 2020, 18.00 — 00.00",14,Passing clouds.,35.0,33.0,996,0,0,62,7,2020
8,True,शुक्रवार 3 जुलाई,3 जुलाई,1593734400000.0,00.00,"शुक्रवार 3 जुलाई 2020, 00.00 — 06.00",14,Passing clouds.,33.0,32.0,995,2,270,66,7,2020
9,uk,uk,uk,1593756000000.0,06.00,"शुक्रवार 3 जुलाई 2020, 06.00 — 12.00",1,Sunny.,39.0,34.0,996,3,230,48,7,2020
10,uk,uk,uk,1593777600000.0,12.00,"शुक्रवार 3 जुलाई 2020, 12.00 — 18.00",2,Scattered clouds.,42.0,37.0,993,2,0,40,7,2020
11,uk,uk,uk,1593799200000.0,18.00,"शुक्रवार 3 जुलाई 2020, 18.00 — 00.00",14,Passing clouds.,34.0,32.0,996,2,90,60,7,2020
12,True,शनिवार 4 जुलाई,4 जुलाई,1593820800000.0,00.00,"शनिवार 4 जुलाई 2020, 00.00 — 06.00",3,Haze.,30.0,30.0,997,0,0,72,7,2020
13,uk,uk,uk,1593842400000.0,06.00,"शनिवार 4 जुलाई 2020, 06.00 — 12.00",3,Haze.,35.0,32.0,997,0,0,63,7,2020
