,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 जून,1 जून,1654041600000.0,00.00,"बुधवार 1 जून 2022, 00.00 — 06.00",13,Clear.,30.0,27.0,998,0,0,55,6,2022
1,uk,uk,uk,1654063200000.0,06.00,"बुधवार 1 जून 2022, 06.00 — 12.00",1,Sunny.,36.0,36.0,1001,0,0,37,6,2022
2,uk,uk,uk,1654084800000.0,12.00,"बुधवार 1 जून 2022, 12.00 — 18.00",2,Scattered clouds.,43.0,41.0,996,2,320,24,6,2022
3,uk,uk,uk,1654106400000.0,18.00,"बुधवार 1 जून 2022, 18.00 — 00.00",14,Passing clouds.,38.0,32.0,998,0,0,36,6,2022
4,True,गुरुवार 2 जून,2 जून,1654128000000.0,00.00,"गुरुवार 2 जून 2022, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,6,2022
5,uk,uk,uk,1654149600000.0,06.00,"गुरुवार 2 जून 2022, 06.00 — 12.00",36,No weather data available,,,0,0,0,0,6,2022
6,uk,uk,uk,1654171200000.0,12.00,"गुरुवार 2 जून 2022, 12.00 — 18.00",36,No weather data available,,,0,0,0,0,6,2022
7,uk,uk,uk,1654192800000.0,18.00,"गुरुवार 2 जून 2022, 18.00 — 00.00",36,No weather data available,,,0,0,0,0,6,2022
8,True,शुक्रवार 3 जून,3 जून,1654214400000.0,00.00,"शुक्रवार 3 जून 2022, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,6,2022
9,uk,uk,uk,1654236000000.0,06.00,"शुक्रवार 3 जून 2022, 06.00 — 12.00",36,No weather data available,,,0,0,0,0,6,2022
10,uk,uk,uk,1654257600000.0,12.00,"शुक्रवार 3 जून 2022, 12.00 — 18.00",36,No weather data available,,,0,0,0,0,6,2022
11,uk,uk,uk,1654279200000.0,18.00,"शुक्रवार 3 जून 2022, 18.00 — 00.00",36,No weather data available,,,0,0,0,0,6,2022
12,True,शनिवार 4 जून,4 जून,1654300800000.0,00.00,"शनिवार 4 जून 2022, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,6,2022
13,uk,uk,uk,1654322400000.0,06.00,"शनिवार 4 जून 2022, 06.00 — 12.00",1,Sunny.,37.0,37.0,998,0,0,27,6,2022
14,uk,uk,uk,1654344000000.0,12.00,"शनिवार 4 जून 2022, 12.00 — 18.00",2,Scattered clouds.,45.0,43.0,995,2,230,21,6,2022
15,uk,uk,uk,1654365600000.0,18.00,"शनिवार 4 जून 2022, 18.00 — 00.00",13,Clear.,37.0,32.0,998,0,0,30,6,2022
16,True,रविवार 5 जून,5 जून,1654387200000.0,00.00,"रविवार 5 जून 2022, 00.00 — 06.00",13,Clear.,30.0,29.0,998,0,0,40,6,2022
17,uk,uk,uk,1654408800000.0,06.00,"रविवार 5 जून 2022, 06.00 — 12.00",1,Sunny.,43.0,38.0,999,4,270,18,6,2022
18,uk,uk,uk,1654430400000.0,12.00,"रविवार 5 जून 2022, 12.00 — 18.00",2,Scattered clouds.,45.0,44.0,996,4,320,26,6,2022
19,uk,uk,uk,1654452000000.0,18.00,"रविवार 5 जून 2022, 18.00 — 00.00",13,Clear.,37.0,33.0,998,0,0,30,6,2022
20,True,सोमवार 6 जून,6 जून,1654473600000.0,00.00,"सोमवार 6 जून 2022, 00.00 — 06.00",13,Clear.,30.0,28.0,998,0,0,43,6,2022
21,uk,uk,uk,1654495200000.0,06.00,"सोमवार 6 जून 2022, 06.00 — 12.00",3,Haze.,42.0,37.0,998,4,230,18,6,2022
22,uk,uk,uk,1654516800000.0,12.00,"सोमवार 6 जून 2022, 12.00 — 18.00",1,Sunny.,45.0,42.0,996,6,230,19,6,2022
23,uk,uk,uk,1654538400000.0,18.00,"सोमवार 6 जून 2022, 18.00 — 00.00",13,Clear.,37.0,34.0,997,0,0,28,6,2022
24,True,मंगलवार 7 जून,7 जून,1654560000000.0,00.00,"मंगलवार 7 जून 2022, 00.00 — 06.00",17,Overcast.,35.0,34.0,996,2,230,30,6,2022
25,uk,uk,uk,1654581600000.0,06.00,"मंगलवार 7 जून 2022, 06.00 — 12.00",2,Scattered clouds.,42.0,37.0,998,6,270,27,6,2022
26,uk,uk,uk,1654603200000.0,12.00,"मंगलवार 7 जून 2022, 12.00 — 18.00",2,Scattered clouds.,44.0,43.0,995,4,230,26,6,2022
27,uk,uk,uk,1654624800000.0,18.00,"मंगलवार 7 जून 2022, 18.00 — 00.00",17,Overcast.,39.0,37.0,996,2,230,25,6,2022
28,True,बुधवार 8 जून,8 जून,1654646400000.0,00.00,"बुधवार 8 जून 2022, 00.00 — 06.00",13,Clear.,36.0,36.0,996,2,230,23,6,2022
29,uk,uk,uk,1654668000000.0,06.00,"बुधवार 8 जून 2022, 06.00 — 12.00",6,Partly sunny.,41.0,36.0,998,4,270,26,6,2022
30,uk,uk,uk,1654689600000.0,12.00,"बुधवार 8 जून 2022, 12.00 — 18.00",1,Sunny.,44.0,43.0,995,4,230,20,6,2022
31,uk,uk,uk,1654711200000.0,18.00,"बुधवार 8 जून 2022, 18.00 — 00.00",13,Clear.,36.0,31.0,996,0,0,30,6,2022
32,True,गुरुवार 9 जून,9 जून,1654732800000.0,00.00,"गुरुवार 9 जून 2022, 00.00 — 06.00",13,Clear.,32.0,30.0,996,0,0,30,6,2022
33,uk,uk,uk,1654754400000.0,06.00,"गुरुवार 9 जून 2022, 06.00 — 12.00",1,Sunny.,41.0,38.0,998,6,230,30,6,2022
34,uk,uk,uk,1654776000000.0,12.00,"गुरुवार 9 जून 2022, 12.00 — 18.00",2,Scattered clouds.,44.0,42.0,994,3,250,29,6,2022
