,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 फरवरी,1 फरवरी,1675209600000.0,00.00,"बुधवार 1 फरवरी 2023, 00.00 — 06.00",14,Fog.,12,10,1018,0,0,96,2,2023
1,uk,uk,uk,1675231200000.0,06.00,"बुधवार 1 फरवरी 2023, 06.00 — 12.00",9,Fog.,16,10,1020,4,0,85,2,2023
2,uk,uk,uk,1675252800000.0,12.00,"बुधवार 1 फरवरी 2023, 12.00 — 18.00",1,Sunny.,22,20,1016,2,320,56,2,2023
3,uk,uk,uk,1675274400000.0,18.00,"बुधवार 1 फरवरी 2023, 18.00 — 00.00",13,Clear.,14,11,1018,0,0,87,2,2023
4,True,गुरुवार 2 फरवरी,2 फरवरी,1675296000000.0,00.00,"गुरुवार 2 फरवरी 2023, 00.00 — 06.00",13,Clear.,10,10,1018,0,0,92,2,2023
5,uk,uk,uk,1675317600000.0,06.00,"गुरुवार 2 फरवरी 2023, 06.00 — 12.00",1,Sunny.,22,12,1018,2,320,66,2,2023
6,uk,uk,uk,1675339200000.0,12.00,"गुरुवार 2 फरवरी 2023, 12.00 — 18.00",1,Sunny.,25,22,1015,2,320,48,2,2023
7,uk,uk,uk,1675360800000.0,18.00,"गुरुवार 2 फरवरी 2023, 18.00 — 00.00",13,Clear.,15,12,1017,0,0,85,2,2023
8,True,शुक्रवार 3 फरवरी,3 फरवरी,1675382400000.0,00.00,"शुक्रवार 3 फरवरी 2023, 00.00 — 06.00",13,Clear.,10,9,1017,0,0,92,2,2023
9,uk,uk,uk,1675404000000.0,06.00,"शुक्रवार 3 फरवरी 2023, 06.00 — 12.00",1,Sunny.,24,12,1019,0,0,62,2,2023
10,uk,uk,uk,1675425600000.0,12.00,"शुक्रवार 3 फरवरी 2023, 12.00 — 18.00",1,Sunny.,26,23,1014,2,320,46,2,2023
11,uk,uk,uk,1675447200000.0,18.00,"शुक्रवार 3 फरवरी 2023, 18.00 — 00.00",13,Clear.,15,13,1016,0,0,84,2,2023
12,True,शनिवार 4 फरवरी,4 फरवरी,1675468800000.0,00.00,"शनिवार 4 फरवरी 2023, 00.00 — 06.00",14,Fog.,11,11,1015,0,0,92,2,2023
13,uk,uk,uk,1675490400000.0,06.00,"शनिवार 4 फरवरी 2023, 06.00 — 12.00",1,Sunny.,25,13,1016,2,320,66,2,2023
14,uk,uk,uk,1675512000000.0,12.00,"शनिवार 4 फरवरी 2023, 12.00 — 18.00",1,Sunny.,27,25,1012,2,270,44,2,2023
15,uk,uk,uk,1675533600000.0,18.00,"शनिवार 4 फरवरी 2023, 18.00 — 00.00",13,Clear.,16,14,1014,0,0,82,2,2023
16,True,रविवार 5 फरवरी,5 फरवरी,1675555200000.0,00.00,"रविवार 5 फरवरी 2023, 00.00 — 06.00",13,Clear.,12,12,1013,0,0,91,2,2023
17,uk,uk,uk,1675576800000.0,06.00,"रविवार 5 फरवरी 2023, 06.00 — 12.00",1,Sunny.,26,14,1014,0,0,60,2,2023
18,uk,uk,uk,1675598400000.0,12.00,"रविवार 5 फरवरी 2023, 12.00 — 18.00",1,Sunny.,29,25,1011,3,320,46,2,2023
19,uk,uk,uk,1675620000000.0,18.00,"रविवार 5 फरवरी 2023, 18.00 — 00.00",13,Clear.,18,15,1013,0,0,84,2,2023
20,True,सोमवार 6 फरवरी,6 फरवरी,1675641600000.0,00.00,"सोमवार 6 फरवरी 2023, 00.00 — 06.00",13,Clear.,14,12,1013,0,0,89,2,2023
21,uk,uk,uk,1675663200000.0,06.00,"सोमवार 6 फरवरी 2023, 06.00 — 12.00",1,Sunny.,25,14,1014,0,0,71,2,2023
22,uk,uk,uk,1675684800000.0,12.00,"सोमवार 6 फरवरी 2023, 12.00 — 18.00",2,Scattered clouds.,30,26,1009,0,0,50,2,2023
23,uk,uk,uk,1675706400000.0,18.00,"सोमवार 6 फरवरी 2023, 18.00 — 00.00",13,Clear.,19,16,1011,0,0,86,2,2023
24,True,मंगलवार 7 फरवरी,7 फरवरी,1675728000000.0,00.00,"मंगलवार 7 फरवरी 2023, 00.00 — 06.00",13,Clear.,15,14,1011,0,0,90,2,2023
25,uk,uk,uk,1675749600000.0,06.00,"मंगलवार 7 फरवरी 2023, 06.00 — 12.00",1,Sunny.,25,17,1012,3,270,66,2,2023
26,uk,uk,uk,1675771200000.0,12.00,"मंगलवार 7 फरवरी 2023, 12.00 — 18.00",1,Sunny.,27,24,1010,3,320,46,2,2023
