,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,गुरुवार 1 दिसंबर,1 दिसंबर,1669852800000.0,00.00,"गुरुवार 1 दिसंबर 2022, 00.00 — 06.00",14,Fog.,11,10,1016,0,0,94,12,2022
1,uk,uk,uk,1669874400000.0,06.00,"गुरुवार 1 दिसंबर 2022, 06.00 — 12.00",9,Fog.,23,12,1017,0,0,74,12,2022
2,uk,uk,uk,1669896000000.0,12.00,"गुरुवार 1 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,25,20,1013,0,0,59,12,2022
3,uk,uk,uk,1669917600000.0,18.00,"गुरुवार 1 दिसंबर 2022, 18.00 — 00.00",13,Clear.,14,12,1016,0,0,91,12,2022
4,True,शुक्रवार 2 दिसंबर,2 दिसंबर,1669939200000.0,00.00,"शुक्रवार 2 दिसंबर 2022, 00.00 — 06.00",14,Fog.,11,9,1015,0,0,98,12,2022
5,uk,uk,uk,1669960800000.0,06.00,"शुक्रवार 2 दिसंबर 2022, 06.00 — 12.00",9,Fog.,22,12,1016,0,0,70,12,2022
6,uk,uk,uk,1669982400000.0,12.00,"शुक्रवार 2 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,25,21,1012,0,0,56,12,2022
7,uk,uk,uk,1670004000000.0,18.00,"शुक्रवार 2 दिसंबर 2022, 18.00 — 00.00",13,Clear.,15,13,1015,0,0,89,12,2022
8,True,शनिवार 3 दिसंबर,3 दिसंबर,1670025600000.0,00.00,"शनिवार 3 दिसंबर 2022, 00.00 — 06.00",14,Fog.,12,10,1015,0,0,94,12,2022
9,uk,uk,uk,1670047200000.0,06.00,"शनिवार 3 दिसंबर 2022, 06.00 — 12.00",1,Sunny.,22,12,1016,0,0,75,12,2022
10,uk,uk,uk,1670068800000.0,12.00,"शनिवार 3 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,26,20,1013,0,0,60,12,2022
11,uk,uk,uk,1670090400000.0,18.00,"शनिवार 3 दिसंबर 2022, 18.00 — 00.00",14,Fog.,15,13,1016,0,0,91,12,2022
12,True,रविवार 4 दिसंबर,4 दिसंबर,1670112000000.0,00.00,"रविवार 4 दिसंबर 2022, 00.00 — 06.00",14,Fog.,12,10,1016,0,0,95,12,2022
13,uk,uk,uk,1670133600000.0,06.00,"रविवार 4 दिसंबर 2022, 06.00 — 12.00",9,Fog.,22,12,1017,0,0,76,12,2022
14,uk,uk,uk,1670155200000.0,12.00,"रविवार 4 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,25,20,1013,0,0,60,12,2022
15,uk,uk,uk,1670176800000.0,18.00,"रविवार 4 दिसंबर 2022, 18.00 — 00.00",13,Clear.,14,12,1016,0,0,90,12,2022
16,True,सोमवार 5 दिसंबर,5 दिसंबर,1670198400000.0,00.00,"सोमवार 5 दिसंबर 2022, 00.00 — 06.00",14,Fog.,10,10,1017,0,0,95,12,2022
17,uk,uk,uk,1670220000000.0,06.00,"सोमवार 5 दिसंबर 2022, 06.00 — 12.00",9,Fog.,22,12,1019,0,0,70,12,2022
18,uk,uk,uk,1670241600000.0,12.00,"सोमवार 5 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,25,20,1016,0,0,56,12,2022
19,uk,uk,uk,1670263200000.0,18.00,"सोमवार 5 दिसंबर 2022, 18.00 — 00.00",14,Fog.,14,12,1017,0,0,92,12,2022
20,True,मंगलवार 6 दिसंबर,6 दिसंबर,1670284800000.0,00.00,"मंगलवार 6 दिसंबर 2022, 00.00 — 06.00",14,Fog.,10,9,1016,0,0,96,12,2022
21,uk,uk,uk,1670306400000.0,06.00,"मंगलवार 6 दिसंबर 2022, 06.00 — 12.00",9,Fog.,22,11,1018,2,320,73,12,2022
22,uk,uk,uk,1670328000000.0,12.00,"मंगलवार 6 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,24,20,1014,1,320,56,12,2022
23,uk,uk,uk,1670349600000.0,18.00,"मंगलवार 6 दिसंबर 2022, 18.00 — 00.00",14,Fog.,13,11,1017,0,0,87,12,2022
24,True,बुधवार 7 दिसंबर,7 दिसंबर,1670371200000.0,00.00,"बुधवार 7 दिसंबर 2022, 00.00 — 06.00",14,Fog.,9,8,1016,0,0,94,12,2022
25,uk,uk,uk,1670392800000.0,06.00,"बुधवार 7 दिसंबर 2022, 06.00 — 12.00",9,Fog.,23,10,1017,2,320,70,12,2022
26,uk,uk,uk,1670414400000.0,12.00,"बुधवार 7 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,26,20,1013,2,320,51,12,2022
27,uk,uk,uk,1670436000000.0,18.00,"बुधवार 7 दिसंबर 2022, 18.00 — 00.00",13,Clear.,14,11,1016,0,0,88,12,2022
28,True,गुरुवार 8 दिसंबर,8 दिसंबर,1670457600000.0,00.00,"गुरुवार 8 दिसंबर 2022, 00.00 — 06.00",14,Fog.,10,9,1016,0,0,95,12,2022
29,uk,uk,uk,1670479200000.0,06.00,"गुरुवार 8 दिसंबर 2022, 06.00 — 12.00",1,Sunny.,24,10,1018,0,0,67,12,2022
30,uk,uk,uk,1670500800000.0,12.00,"गुरुवार 8 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,26,20,1014,2,320,50,12,2022
31,uk,uk,uk,1670522400000.0,18.00,"गुरुवार 8 दिसंबर 2022, 18.00 — 00.00",14,Fog.,14,11,1016,0,0,88,12,2022
32,True,शुक्रवार 9 दिसंबर,9 दिसंबर,1670544000000.0,00.00,"शुक्रवार 9 दिसंबर 2022, 00.00 — 06.00",14,Fog.,10,9,1015,0,0,94,12,2022
33,uk,uk,uk,1670565600000.0,06.00,"शुक्रवार 9 दिसंबर 2022, 06.00 — 12.00",1,Sunny.,22,11,1017,0,0,74,12,2022
34,uk,uk,uk,1670587200000.0,12.00,"शुक्रवार 9 दिसंबर 2022, 12.00 — 18.00",1,Sunny.,26,21,1013,0,0,55,12,2022
35,uk,uk,uk,1670608800000.0,18.00,"शुक्रवार 9 दिसंबर 2022, 18.00 — 00.00",13,Clear.,14,12,1015,0,0,89,12,2022
