,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शनिवार 1 जून,1 जून,1559347200000.0,00.00,"शनिवार 1 जून 2019, 00.00 — 06.00",14,Haze.,32,30,998,0,0,46,6,2019
1,uk,uk,uk,1559368800000.0,06.00,"शनिवार 1 जून 2019, 06.00 — 12.00",2,Scattered clouds.,43,36,1000,4,230,28,6,2019
2,uk,uk,uk,1559390400000.0,12.00,"शनिवार 1 जून 2019, 12.00 — 18.00",6,Partly sunny.,46,41,997,6,270,20,6,2019
3,uk,uk,uk,1559412000000.0,18.00,"शनिवार 1 जून 2019, 18.00 — 00.00",14,Passing clouds.,35,33,998,0,0,46,6,2019
4,True,रविवार 2 जून,2 जून,1559433600000.0,00.00,"रविवार 2 जून 2019, 00.00 — 06.00",13,Clear.,31,31,998,0,0,50,6,2019
5,uk,uk,uk,1559455200000.0,06.00,"रविवार 2 जून 2019, 06.00 — 12.00",3,Haze.,43,38,1000,3,0,30,6,2019
6,uk,uk,uk,1559476800000.0,12.00,"रविवार 2 जून 2019, 12.00 — 18.00",3,Haze.,46,45,996,2,50,18,6,2019
7,uk,uk,uk,1559498400000.0,18.00,"रविवार 2 जून 2019, 18.00 — 00.00",13,Clear.,37,34,997,0,0,43,6,2019
8,True,सोमवार 3 जून,3 जून,1559520000000.0,00.00,"सोमवार 3 जून 2019, 00.00 — 06.00",13,Clear.,33,33,998,0,0,56,6,2019
9,uk,uk,uk,1559541600000.0,06.00,"सोमवार 3 जून 2019, 06.00 — 12.00",2,Passing clouds.,40,35,1000,3,90,40,6,2019
10,uk,uk,uk,1559563200000.0,12.00,"सोमवार 3 जून 2019, 12.00 — 18.00",1,Sunny.,43,43,996,2,320,26,6,2019
11,uk,uk,uk,1559584800000.0,18.00,"सोमवार 3 जून 2019, 18.00 — 00.00",13,Clear.,38,35,998,3,90,44,6,2019
12,True,मंगलवार 4 जून,4 जून,1559606400000.0,00.00,"मंगलवार 4 जून 2019, 00.00 — 06.00",13,Clear.,33,32,998,1,90,54,6,2019
13,uk,uk,uk,1559628000000.0,06.00,"मंगलवार 4 जून 2019, 06.00 — 12.00",1,Sunny.,40,35,1000,4,140,41,6,2019
14,uk,uk,uk,1559649600000.0,12.00,"मंगलवार 4 जून 2019, 12.00 — 18.00",1,Sunny.,44,43,996,5,320,26,6,2019
15,uk,uk,uk,1559671200000.0,18.00,"मंगलवार 4 जून 2019, 18.00 — 00.00",13,Clear.,39,34,999,1,50,48,6,2019
16,True,बुधवार 5 जून,5 जून,1559692800000.0,00.00,"बुधवार 5 जून 2019, 00.00 — 06.00",13,Clear.,33,31,998,0,0,58,6,2019
17,uk,uk,uk,1559714400000.0,06.00,"बुधवार 5 जून 2019, 06.00 — 12.00",1,Sunny.,43,36,1000,3,0,36,6,2019
18,uk,uk,uk,1559736000000.0,12.00,"बुधवार 5 जून 2019, 12.00 — 18.00",2,Scattered clouds.,45,44,996,6,270,24,6,2019
