,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,सोमवार 1 जुलाई,1 जुलाई,1561939200000.0,00.00,"सोमवार 1 जुलाई 2019, 00.00 — 06.00",14,Passing clouds.,29.0,28.0,998,0,0,75,7,2019
1,uk,uk,uk,1561960800000.0,06.00,"सोमवार 1 जुलाई 2019, 06.00 — 12.00",6,Partly sunny.,34.0,31.0,998,5,320,60,7,2019
2,uk,uk,uk,1561982400000.0,12.00,"सोमवार 1 जुलाई 2019, 12.00 — 18.00",3,Haze.,39.0,39.0,992,2,320,42,7,2019
3,uk,uk,uk,1562004000000.0,18.00,"सोमवार 1 जुलाई 2019, 18.00 — 00.00",14,Haze.,34.0,32.0,996,0,0,52,7,2019
4,True,मंगलवार 2 जुलाई,2 जुलाई,1562025600000.0,00.00,"मंगलवार 2 जुलाई 2019, 00.00 — 06.00",13,Clear.,31.0,30.0,996,0,0,64,7,2019
5,uk,uk,uk,1562047200000.0,06.00,"मंगलवार 2 जुलाई 2019, 06.00 — 12.00",1,Sunny.,37.0,37.0,997,0,0,49,7,2019
6,uk,uk,uk,1562068800000.0,12.00,"मंगलवार 2 जुलाई 2019, 12.00 — 18.00",6,Partly sunny.,37.0,27.0,996,8,50,64,7,2019
7,uk,uk,uk,1562090400000.0,18.00,"मंगलवार 2 जुलाई 2019, 18.00 — 00.00",34,Drizzle. Overcast.,26.0,26.0,998,0,0,96,7,2019
8,True,बुधवार 3 जुलाई,3 जुलाई,1562112000000.0,00.00,"बुधवार 3 जुलाई 2019, 00.00 — 06.00",17,Overcast.,27.0,27.0,998,0,0,95,7,2019
9,uk,uk,uk,1562133600000.0,06.00,"बुधवार 3 जुलाई 2019, 06.00 — 12.00",2,Scattered clouds.,33.0,31.0,998,4,50,72,7,2019
10,uk,uk,uk,1562155200000.0,12.00,"बुधवार 3 जुलाई 2019, 12.00 — 18.00",6,Partly sunny.,34.0,33.0,995,3,50,66,7,2019
11,uk,uk,uk,1562176800000.0,18.00,"बुधवार 3 जुलाई 2019, 18.00 — 00.00",14,Passing clouds.,30.0,29.0,997,1,230,84,7,2019
12,True,गुरुवार 4 जुलाई,4 जुलाई,1562198400000.0,00.00,"गुरुवार 4 जुलाई 2019, 00.00 — 06.00",14,Passing clouds.,29.0,29.0,997,0,0,88,7,2019
13,uk,uk,uk,1562220000000.0,06.00,"गुरुवार 4 जुलाई 2019, 06.00 — 12.00",6,Partly sunny.,33.0,31.0,996,1,320,72,7,2019
14,uk,uk,uk,1562241600000.0,12.00,"गुरुवार 4 जुलाई 2019, 12.00 — 18.00",7,Overcast.,33.0,28.0,994,0,0,86,7,2019
15,uk,uk,uk,1562263200000.0,18.00,"गुरुवार 4 जुलाई 2019, 18.00 — 00.00",14,Passing clouds.,28.0,28.0,996,2,320,92,7,2019
16,True,शुक्रवार 5 जुलाई,5 जुलाई,1562284800000.0,00.00,"शुक्रवार 5 जुलाई 2019, 00.00 — 06.00",6,Partly sunny.,27.0,27.0,994,0,0,96,7,2019
17,uk,uk,uk,1562306400000.0,06.00,"शुक्रवार 5 जुलाई 2019, 06.00 — 12.00",2,Scattered clouds.,31.0,29.0,995,2,320,90,7,2019
18,uk,uk,uk,1562328000000.0,12.00,"शुक्रवार 5 जुलाई 2019, 12.00 — 18.00",18,Light rain. Overcast.,30.0,26.0,994,6,320,90,7,2019
19,uk,uk,uk,1562349600000.0,18.00,"शुक्रवार 5 जुलाई 2019, 18.00 — 00.00",22,Thundershowers. Passing clouds.,26.0,25.0,995,4,50,96,7,2019
20,True,शनिवार 6 जुलाई,6 जुलाई,1562371200000.0,00.00,"शनिवार 6 जुलाई 2019, 00.00 — 06.00",14,Passing clouds.,26.0,26.0,994,2,230,95,7,2019
21,uk,uk,uk,1562392800000.0,06.00,"शनिवार 6 जुलाई 2019, 06.00 — 12.00",7,Overcast.,31.0,27.0,996,2,50,84,7,2019
22,uk,uk,uk,1562414400000.0,12.00,"शनिवार 6 जुलाई 2019, 12.00 — 18.00",36,No weather data available,,,0,0,0,0,7,2019
