,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 मई,1 मई,1588291200000.0,00.00,"शुक्रवार 1 मई 2020, 00.00 — 06.00",1,Sunny.,28,28,1005,0,0,57,5,2020
1,uk,uk,uk,1588312800000.0,06.00,"शुक्रवार 1 मई 2020, 06.00 — 12.00",1,Sunny.,39,32,1006,3,270,34,5,2020
2,uk,uk,uk,1588334400000.0,12.00,"शुक्रवार 1 मई 2020, 12.00 — 18.00",6,Partly sunny.,40,39,1002,4,320,21,5,2020
3,uk,uk,uk,1588356000000.0,18.00,"शुक्रवार 1 मई 2020, 18.00 — 00.00",14,Passing clouds.,34,30,1003,3,90,42,5,2020
4,True,शनिवार 2 मई,2 मई,1588377600000.0,00.00,"शनिवार 2 मई 2020, 00.00 — 06.00",1,Sunny.,26,26,1004,0,0,63,5,2020
5,uk,uk,uk,1588399200000.0,06.00,"शनिवार 2 मई 2020, 06.00 — 12.00",1,Sunny.,37,30,1005,0,0,40,5,2020
6,uk,uk,uk,1588420800000.0,12.00,"शनिवार 2 मई 2020, 12.00 — 18.00",1,Sunny.,40,39,1001,5,0,24,5,2020
7,uk,uk,uk,1588442400000.0,18.00,"शनिवार 2 मई 2020, 18.00 — 00.00",13,Clear.,33,30,1003,0,0,46,5,2020
8,True,रविवार 3 मई,3 मई,1588464000000.0,00.00,"रविवार 3 मई 2020, 00.00 — 06.00",1,Sunny.,27,27,1004,0,0,64,5,2020
9,uk,uk,uk,1588485600000.0,06.00,"रविवार 3 मई 2020, 06.00 — 12.00",1,Sunny.,36,30,1006,1,140,46,5,2020
10,uk,uk,uk,1588507200000.0,12.00,"रविवार 3 मई 2020, 12.00 — 18.00",3,Haze.,39,33,1001,0,0,42,5,2020
11,uk,uk,uk,1588528800000.0,18.00,"रविवार 3 मई 2020, 18.00 — 00.00",22,Thunderstorms. Passing clouds.,22,21,1008,3,320,90,5,2020
12,True,सोमवार 4 मई,4 मई,1588550400000.0,00.00,"सोमवार 4 मई 2020, 00.00 — 06.00",2,Scattered clouds.,22,22,1007,0,0,91,5,2020
13,uk,uk,uk,1588572000000.0,06.00,"सोमवार 4 मई 2020, 06.00 — 12.00",6,Partly sunny.,32,25,1008,0,0,66,5,2020
14,uk,uk,uk,1588593600000.0,12.00,"सोमवार 4 मई 2020, 12.00 — 18.00",3,Haze.,35,34,1004,4,320,40,5,2020
15,uk,uk,uk,1588615200000.0,18.00,"सोमवार 4 मई 2020, 18.00 — 00.00",34,Drizzle. Overcast.,31,26,1008,4,90,62,5,2020
16,True,मंगलवार 5 मई,5 मई,1588636800000.0,00.00,"मंगलवार 5 मई 2020, 00.00 — 06.00",2,Scattered clouds.,23,23,1006,2,90,88,5,2020
17,uk,uk,uk,1588658400000.0,06.00,"मंगलवार 5 मई 2020, 06.00 — 12.00",1,Sunny.,33,28,1007,0,0,54,5,2020
18,uk,uk,uk,1588680000000.0,12.00,"मंगलवार 5 मई 2020, 12.00 — 18.00",3,Haze.,36,36,1004,0,0,34,5,2020
19,uk,uk,uk,1588701600000.0,18.00,"मंगलवार 5 मई 2020, 18.00 — 00.00",13,Clear.,30,27,1006,4,50,52,5,2020
20,True,बुधवार 6 मई,6 मई,1588723200000.0,00.00,"बुधवार 6 मई 2020, 00.00 — 06.00",14,Haze.,26,24,1006,2,270,70,5,2020
21,uk,uk,uk,1588744800000.0,06.00,"बुधवार 6 मई 2020, 06.00 — 12.00",6,Partly sunny.,36,29,1006,0,0,34,5,2020
22,uk,uk,uk,1588766400000.0,12.00,"बुधवार 6 मई 2020, 12.00 — 18.00",7,Overcast.,37,35,1004,6,340,24,5,2020
23,uk,uk,uk,1588788000000.0,18.00,"बुधवार 6 मई 2020, 18.00 — 00.00",17,Overcast.,29,27,1006,11,320,45,5,2020
24,True,गुरुवार 7 मई,7 मई,1588809600000.0,00.00,"गुरुवार 7 मई 2020, 00.00 — 06.00",2,Scattered clouds.,23,23,1005,0,0,64,5,2020
25,uk,uk,uk,1588831200000.0,06.00,"गुरुवार 7 मई 2020, 06.00 — 12.00",1,Sunny.,33,29,1007,2,20,40,5,2020
26,uk,uk,uk,1588852800000.0,12.00,"गुरुवार 7 मई 2020, 12.00 — 18.00",1,Sunny.,36,36,1004,1,320,30,5,2020
27,uk,uk,uk,1588874400000.0,18.00,"गुरुवार 7 मई 2020, 18.00 — 00.00",13,Clear.,29,27,1005,0,0,58,5,2020
28,True,शुक्रवार 8 मई,8 मई,1588896000000.0,00.00,"शुक्रवार 8 मई 2020, 00.00 — 06.00",1,Sunny.,24,24,1004,0,0,69,5,2020
29,uk,uk,uk,1588917600000.0,06.00,"शुक्रवार 8 मई 2020, 06.00 — 12.00",1,Sunny.,38,31,1005,0,0,42,5,2020
30,uk,uk,uk,1588939200000.0,12.00,"शुक्रवार 8 मई 2020, 12.00 — 18.00",2,Scattered clouds.,41,40,1001,0,0,19,5,2020
31,uk,uk,uk,1588960800000.0,18.00,"शुक्रवार 8 मई 2020, 18.00 — 00.00",13,Clear.,31,28,1003,0,0,46,5,2020
32,True,शनिवार 9 मई,9 मई,1588982400000.0,00.00,"शनिवार 9 मई 2020, 00.00 — 06.00",1,Sunny.,26,26,1005,0,0,66,5,2020
33,uk,uk,uk,1589004000000.0,06.00,"शनिवार 9 मई 2020, 06.00 — 12.00",1,Sunny.,38,31,1005,2,0,41,5,2020
34,uk,uk,uk,1589025600000.0,12.00,"शनिवार 9 मई 2020, 12.00 — 18.00",1,Sunny.,41,41,1001,2,0,20,5,2020
35,uk,uk,uk,1589047200000.0,18.00,"शनिवार 9 मई 2020, 18.00 — 00.00",13,Clear.,32,31,1004,0,0,46,5,2020
36,True,रविवार 10 मई,10 मई,1589068800000.0,00.00,"रविवार 10 मई 2020, 00.00 — 06.00",2,Scattered clouds.,28,28,1005,0,0,68,5,2020
37,uk,uk,uk,1589090400000.0,06.00,"रविवार 10 मई 2020, 06.00 — 12.00",6,Partly sunny.,36,32,1005,0,0,45,5,2020
38,uk,uk,uk,1589112000000.0,12.00,"रविवार 10 मई 2020, 12.00 — 18.00",2,Scattered clouds.,40,28,1004,0,0,39,5,2020
39,uk,uk,uk,1589133600000.0,18.00,"रविवार 10 मई 2020, 18.00 — 00.00",22,Thunderstorms. Passing clouds.,28,25,1007,6,230,66,5,2020
40,True,सोमवार 11 मई,11 मई,1589155200000.0,00.00,"सोमवार 11 मई 2020, 00.00 — 06.00",1,Sunny.,23,23,1007,0,0,84,5,2020
41,uk,uk,uk,1589176800000.0,06.00,"सोमवार 11 मई 2020, 06.00 — 12.00",1,Sunny.,34,28,1008,2,320,52,5,2020
42,uk,uk,uk,1589198400000.0,12.00,"सोमवार 11 मई 2020, 12.00 — 18.00",6,Partly sunny.,38,37,1005,2,90,34,5,2020
43,uk,uk,uk,1589220000000.0,18.00,"सोमवार 11 मई 2020, 18.00 — 00.00",13,Clear.,32,29,1005,0,0,52,5,2020
44,True,मंगलवार 12 मई,12 मई,1589241600000.0,00.00,"मंगलवार 12 मई 2020, 00.00 — 06.00",6,Partly sunny.,27,27,1007,4,230,56,5,2020
45,uk,uk,uk,1589263200000.0,06.00,"मंगलवार 12 मई 2020, 06.00 — 12.00",2,Scattered clouds.,35,30,1008,2,130,40,5,2020
46,uk,uk,uk,1589284800000.0,12.00,"मंगलवार 12 मई 2020, 12.00 — 18.00",6,Partly sunny.,38,38,1004,3,230,31,5,2020
47,uk,uk,uk,1589306400000.0,18.00,"मंगलवार 12 मई 2020, 18.00 — 00.00",13,Clear.,31,29,1004,0,0,52,5,2020
48,True,बुधवार 13 मई,13 मई,1589328000000.0,00.00,"बुधवार 13 मई 2020, 00.00 — 06.00",1,Sunny.,26,26,1004,0,0,63,5,2020
49,uk,uk,uk,1589349600000.0,06.00,"बुधवार 13 मई 2020, 06.00 — 12.00",2,Scattered clouds.,37,33,1006,6,180,39,5,2020
50,uk,uk,uk,1589371200000.0,12.00,"बुधवार 13 मई 2020, 12.00 — 18.00",6,Partly sunny.,36,34,1004,7,0,32,5,2020
51,uk,uk,uk,1589392800000.0,18.00,"बुधवार 13 मई 2020, 18.00 — 00.00",13,Clear.,29,27,1005,0,0,58,5,2020
52,True,गुरुवार 14 मई,14 मई,1589414400000.0,00.00,"गुरुवार 14 मई 2020, 00.00 — 06.00",2,Scattered clouds.,25,25,1005,0,0,68,5,2020
53,uk,uk,uk,1589436000000.0,06.00,"गुरुवार 14 मई 2020, 06.00 — 12.00",1,Sunny.,38,33,1006,0,0,36,5,2020
