,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,गुरुवार 1 जुलाई,1 जुलाई,1625097600000.0,00.00,"गुरुवार 1 जुलाई 2021, 00.00 — 06.00",13,Clear.,34.0,33.0,995,6,230,54,7,2021
1,uk,uk,uk,1625119200000.0,06.00,"गुरुवार 1 जुलाई 2021, 06.00 — 12.00",2,Scattered clouds.,39.0,35.0,996,10,270,40,7,2021
2,uk,uk,uk,1625140800000.0,12.00,"गुरुवार 1 जुलाई 2021, 12.00 — 18.00",6,Partly sunny.,40.0,40.0,993,8,230,33,7,2021
3,uk,uk,uk,1625162400000.0,18.00,"गुरुवार 1 जुलाई 2021, 18.00 — 00.00",13,Clear.,37.0,36.0,995,3,270,40,7,2021
4,True,शुक्रवार 2 जुलाई,2 जुलाई,1625184000000.0,00.00,"शुक्रवार 2 जुलाई 2021, 00.00 — 06.00",14,Passing clouds.,33.0,33.0,996,4,270,50,7,2021
5,uk,uk,uk,1625205600000.0,06.00,"शुक्रवार 2 जुलाई 2021, 06.00 — 12.00",3,Haze.,37.0,34.0,997,10,230,48,7,2021
6,uk,uk,uk,1625227200000.0,12.00,"शुक्रवार 2 जुलाई 2021, 12.00 — 18.00",6,Partly sunny.,40.0,30.0,996,5,270,54,7,2021
7,uk,uk,uk,1625248800000.0,18.00,"शुक्रवार 2 जुलाई 2021, 18.00 — 00.00",34,Light rain. Passing clouds.,28.0,28.0,999,0,0,92,7,2021
8,True,शनिवार 3 जुलाई,3 जुलाई,1625270400000.0,00.00,"शनिवार 3 जुलाई 2021, 00.00 — 06.00",14,Passing clouds.,28.0,28.0,998,0,0,84,7,2021
9,uk,uk,uk,1625292000000.0,06.00,"शनिवार 3 जुलाई 2021, 06.00 — 12.00",3,Haze.,37.0,32.0,1001,2,320,52,7,2021
10,uk,uk,uk,1625313600000.0,12.00,"शनिवार 3 जुलाई 2021, 12.00 — 18.00",6,Partly sunny.,39.0,26.0,999,5,230,66,7,2021
11,uk,uk,uk,1625335200000.0,18.00,"शनिवार 3 जुलाई 2021, 18.00 — 00.00",17,Overcast.,28.0,28.0,1000,0,0,90,7,2021
12,True,रविवार 4 जुलाई,4 जुलाई,1625356800000.0,00.00,"रविवार 4 जुलाई 2021, 00.00 — 06.00",14,Passing clouds.,28.0,28.0,1001,0,0,84,7,2021
13,uk,uk,uk,1625378400000.0,06.00,"रविवार 4 जुलाई 2021, 06.00 — 12.00",2,Scattered clouds.,36.0,31.0,1002,0,0,58,7,2021
14,uk,uk,uk,1625400000000.0,12.00,"रविवार 4 जुलाई 2021, 12.00 — 18.00",2,Scattered clouds.,39.0,39.0,999,4,320,42,7,2021
15,uk,uk,uk,1625421600000.0,18.00,"रविवार 4 जुलाई 2021, 18.00 — 00.00",34,Drizzle. Overcast.,30.0,30.0,1002,0,0,70,7,2021
16,True,सोमवार 5 जुलाई,5 जुलाई,1625443200000.0,00.00,"सोमवार 5 जुलाई 2021, 00.00 — 06.00",17,Overcast.,30.0,30.0,1001,0,0,65,7,2021
