,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 जनवरी,1 जनवरी,1577836800000.0,00.00,"बुधवार 1 जनवरी 2020, 00.00 — 06.00",14,Fog.,6.0,6.0,1020,0,0,94,1,2020
1,uk,uk,uk,1577858400000.0,06.00,"बुधवार 1 जनवरी 2020, 06.00 — 12.00",9,Fog.,13.0,7.0,1023,1,90,84,1,2020
2,uk,uk,uk,1577880000000.0,12.00,"बुधवार 1 जनवरी 2020, 12.00 — 18.00",2,Scattered clouds.,16.0,15.0,1020,2,50,72,1,2020
3,uk,uk,uk,1577901600000.0,18.00,"बुधवार 1 जनवरी 2020, 18.00 — 00.00",14,Fog.,11.0,10.0,1022,0,0,90,1,2020
4,True,गुरुवार 2 जनवरी,2 जनवरी,1577923200000.0,00.00,"गुरुवार 2 जनवरी 2020, 00.00 — 06.00",14,Fog.,9.0,8.0,1021,0,0,94,1,2020
5,uk,uk,uk,1577944800000.0,06.00,"गुरुवार 2 जनवरी 2020, 06.00 — 12.00",7,Overcast.,17.0,11.0,1022,0,0,80,1,2020
6,uk,uk,uk,1577966400000.0,12.00,"गुरुवार 2 जनवरी 2020, 12.00 — 18.00",1,Sunny.,20.0,19.0,1018,0,0,66,1,2020
7,uk,uk,uk,1577988000000.0,18.00,"गुरुवार 2 जनवरी 2020, 18.00 — 00.00",13,Clear.,15.0,13.0,1019,0,0,87,1,2020
8,True,शुक्रवार 3 जनवरी,3 जनवरी,1578009600000.0,00.00,"शुक्रवार 3 जनवरी 2020, 00.00 — 06.00",14,Fog.,12.0,11.0,1018,2,320,93,1,2020
9,uk,uk,uk,1578031200000.0,06.00,"शुक्रवार 3 जनवरी 2020, 06.00 — 12.00",9,Fog.,18.0,12.0,1019,0,0,83,1,2020
10,uk,uk,uk,1578052800000.0,12.00,"शुक्रवार 3 जनवरी 2020, 12.00 — 18.00",6,Partly sunny.,20.0,18.0,1016,0,0,70,1,2020
11,uk,uk,uk,1578074400000.0,18.00,"शुक्रवार 3 जनवरी 2020, 18.00 — 00.00",14,Fog.,14.0,12.0,1018,0,0,92,1,2020
12,True,शनिवार 4 जनवरी,4 जनवरी,1578096000000.0,00.00,"शनिवार 4 जनवरी 2020, 00.00 — 06.00",14,Fog.,12.0,11.0,1018,0,0,94,1,2020
13,uk,uk,uk,1578117600000.0,06.00,"शनिवार 4 जनवरी 2020, 06.00 — 12.00",9,Fog.,13.0,12.0,1019,0,0,96,1,2020
14,uk,uk,uk,1578139200000.0,12.00,"शनिवार 4 जनवरी 2020, 12.00 — 18.00",9,Fog.,19.0,16.0,1016,3,50,74,1,2020
15,uk,uk,uk,1578160800000.0,18.00,"शनिवार 4 जनवरी 2020, 18.00 — 00.00",14,Fog.,14.0,14.0,1018,0,0,92,1,2020
16,True,रविवार 5 जनवरी,5 जनवरी,1578182400000.0,00.00,"रविवार 5 जनवरी 2020, 00.00 — 06.00",14,Fog.,13.0,11.0,1018,0,0,94,1,2020
17,uk,uk,uk,1578204000000.0,06.00,"रविवार 5 जनवरी 2020, 06.00 — 12.00",9,Fog.,15.0,11.0,1020,2,140,95,1,2020
