,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,बुधवार 1 मई,1 मई,1556668800000.0,00.00,"बुधवार 1 मई 2019, 00.00 — 06.00",13,Clear.,33,29,999,4,230,29,5,2019
1,uk,uk,uk,1556690400000.0,06.00,"बुधवार 1 मई 2019, 06.00 — 12.00",1,Sunny.,40,35,1001,6,320,20,5,2019
2,uk,uk,uk,1556712000000.0,12.00,"बुधवार 1 मई 2019, 12.00 — 18.00",3,Haze.,42,42,996,5,230,15,5,2019
3,uk,uk,uk,1556733600000.0,18.00,"बुधवार 1 मई 2019, 18.00 — 00.00",13,Clear.,34,30,1000,2,230,36,5,2019
4,True,गुरुवार 2 मई,2 मई,1556755200000.0,00.00,"गुरुवार 2 मई 2019, 00.00 — 06.00",13,Clear.,28,26,999,1,230,44,5,2019
5,uk,uk,uk,1556776800000.0,06.00,"गुरुवार 2 मई 2019, 06.00 — 12.00",1,Sunny.,41,34,1001,3,230,30,5,2019
6,uk,uk,uk,1556798400000.0,12.00,"गुरुवार 2 मई 2019, 12.00 — 18.00",1,Sunny.,42,41,997,5,320,15,5,2019
7,uk,uk,uk,1556820000000.0,18.00,"गुरुवार 2 मई 2019, 18.00 — 00.00",13,Clear.,32,31,1000,0,0,39,5,2019
8,True,शुक्रवार 3 मई,3 मई,1556841600000.0,00.00,"शुक्रवार 3 मई 2019, 00.00 — 06.00",1,Sunny.,29,29,1002,6,50,41,5,2019
9,uk,uk,uk,1556863200000.0,06.00,"शुक्रवार 3 मई 2019, 06.00 — 12.00",3,Haze.,35,32,1004,9,50,51,5,2019
10,uk,uk,uk,1556884800000.0,12.00,"शुक्रवार 3 मई 2019, 12.00 — 18.00",2,Scattered clouds.,37,37,1003,5,140,33,5,2019
11,uk,uk,uk,1556906400000.0,18.00,"शुक्रवार 3 मई 2019, 18.00 — 00.00",14,Passing clouds.,33,30,1006,6,320,44,5,2019
12,True,शनिवार 4 मई,4 मई,1556928000000.0,00.00,"शनिवार 4 मई 2019, 00.00 — 06.00",14,Passing clouds.,29,28,1004,2,320,47,5,2019
13,uk,uk,uk,1556949600000.0,06.00,"शनिवार 4 मई 2019, 06.00 — 12.00",3,Haze.,37,31,1007,4,0,34,5,2019
14,uk,uk,uk,1556971200000.0,12.00,"शनिवार 4 मई 2019, 12.00 — 18.00",3,Haze.,40,39,1004,5,320,22,5,2019
15,uk,uk,uk,1556992800000.0,18.00,"शनिवार 4 मई 2019, 18.00 — 00.00",13,Clear.,31,28,1006,0,0,42,5,2019
16,True,रविवार 5 मई,5 मई,1557014400000.0,00.00,"रविवार 5 मई 2019, 00.00 — 06.00",14,Haze.,28,28,1006,0,0,40,5,2019
17,uk,uk,uk,1557036000000.0,06.00,"रविवार 5 मई 2019, 06.00 — 12.00",3,Haze.,39,33,1008,5,230,23,5,2019
18,uk,uk,uk,1557057600000.0,12.00,"रविवार 5 मई 2019, 12.00 — 18.00",1,Sunny.,41,39,1005,6,320,12,5,2019
19,uk,uk,uk,1557079200000.0,18.00,"रविवार 5 मई 2019, 18.00 — 00.00",13,Clear.,30,26,1006,0,0,37,5,2019
20,True,सोमवार 6 मई,6 मई,1557100800000.0,00.00,"सोमवार 6 मई 2019, 00.00 — 06.00",1,Sunny.,24,24,1006,0,0,37,5,2019
21,uk,uk,uk,1557122400000.0,06.00,"सोमवार 6 मई 2019, 06.00 — 12.00",1,Sunny.,40,33,1005,6,230,20,5,2019
22,uk,uk,uk,1557144000000.0,12.00,"सोमवार 6 मई 2019, 12.00 — 18.00",1,Sunny.,42,41,1002,7,230,12,5,2019
23,uk,uk,uk,1557165600000.0,18.00,"सोमवार 6 मई 2019, 18.00 — 00.00",13,Clear.,36,29,1003,0,0,27,5,2019
24,True,मंगलवार 7 मई,7 मई,1557187200000.0,00.00,"मंगलवार 7 मई 2019, 00.00 — 06.00",1,Sunny.,25,25,1003,0,0,39,5,2019
25,uk,uk,uk,1557208800000.0,06.00,"मंगलवार 7 मई 2019, 06.00 — 12.00",1,Sunny.,41,34,1004,7,270,17,5,2019
26,uk,uk,uk,1557230400000.0,12.00,"मंगलवार 7 मई 2019, 12.00 — 18.00",1,Sunny.,43,41,1001,8,230,12,5,2019
27,uk,uk,uk,1557252000000.0,18.00,"मंगलवार 7 मई 2019, 18.00 — 00.00",13,Clear.,35,30,1002,0,0,30,5,2019
28,True,बुधवार 8 मई,8 मई,1557273600000.0,00.00,"बुधवार 8 मई 2019, 00.00 — 06.00",13,Clear.,31,26,1002,4,320,46,5,2019
29,uk,uk,uk,1557295200000.0,06.00,"बुधवार 8 मई 2019, 06.00 — 12.00",1,Sunny.,40,36,1004,7,230,17,5,2019
30,uk,uk,uk,1557316800000.0,12.00,"बुधवार 8 मई 2019, 12.00 — 18.00",3,Haze.,43,42,1001,8,230,12,5,2019
31,uk,uk,uk,1557338400000.0,18.00,"बुधवार 8 मई 2019, 18.00 — 00.00",13,Clear.,36,32,1002,0,0,28,5,2019
32,True,गुरुवार 9 मई,9 मई,1557360000000.0,00.00,"गुरुवार 9 मई 2019, 00.00 — 06.00",13,Clear.,33,32,1002,7,270,20,5,2019
33,uk,uk,uk,1557381600000.0,06.00,"गुरुवार 9 मई 2019, 06.00 — 12.00",1,Sunny.,40,35,1004,6,230,20,5,2019
34,uk,uk,uk,1557403200000.0,12.00,"गुरुवार 9 मई 2019, 12.00 — 18.00",2,Scattered clouds.,42,41,1000,6,230,14,5,2019
35,uk,uk,uk,1557424800000.0,18.00,"गुरुवार 9 मई 2019, 18.00 — 00.00",14,Haze.,35,34,1002,3,230,23,5,2019
36,True,शुक्रवार 10 मई,10 मई,1557446400000.0,00.00,"शुक्रवार 10 मई 2019, 00.00 — 06.00",13,Clear.,34,33,1002,8,230,19,5,2019
37,uk,uk,uk,1557468000000.0,06.00,"शुक्रवार 10 मई 2019, 06.00 — 12.00",2,Scattered clouds.,39,35,1004,6,230,19,5,2019
38,uk,uk,uk,1557489600000.0,12.00,"शुक्रवार 10 मई 2019, 12.00 — 18.00",6,Partly sunny.,41,41,1002,6,230,16,5,2019
39,uk,uk,uk,1557511200000.0,18.00,"शुक्रवार 10 मई 2019, 18.00 — 00.00",14,Passing clouds.,33,30,1003,0,0,43,5,2019
40,True,शनिवार 11 मई,11 मई,1557532800000.0,00.00,"शनिवार 11 मई 2019, 00.00 — 06.00",14,Passing clouds.,31,28,1005,0,0,46,5,2019
41,uk,uk,uk,1557554400000.0,06.00,"शनिवार 11 मई 2019, 06.00 — 12.00",1,Sunny.,33,33,1006,4,230,32,5,2019
42,uk,uk,uk,1557576000000.0,12.00,"शनिवार 11 मई 2019, 12.00 — 18.00",2,Scattered clouds.,40,39,1003,3,50,21,5,2019
43,uk,uk,uk,1557597600000.0,18.00,"शनिवार 11 मई 2019, 18.00 — 00.00",14,Haze.,35,30,1004,5,270,34,5,2019
44,True,रविवार 12 मई,12 मई,1557619200000.0,00.00,"रविवार 12 मई 2019, 00.00 — 06.00",13,Clear.,29,26,1004,0,0,50,5,2019
45,uk,uk,uk,1557640800000.0,06.00,"रविवार 12 मई 2019, 06.00 — 12.00",1,Sunny.,36,33,1006,6,320,32,5,2019
46,uk,uk,uk,1557662400000.0,12.00,"रविवार 12 मई 2019, 12.00 — 18.00",2,Scattered clouds.,38,35,1003,6,320,29,5,2019
47,uk,uk,uk,1557684000000.0,18.00,"रविवार 12 मई 2019, 18.00 — 00.00",14,Passing clouds.,31,28,1004,0,0,49,5,2019
48,True,सोमवार 13 मई,13 मई,1557705600000.0,00.00,"सोमवार 13 मई 2019, 00.00 — 06.00",13,Clear.,26,26,1004,0,0,52,5,2019
49,uk,uk,uk,1557727200000.0,06.00,"सोमवार 13 मई 2019, 06.00 — 12.00",3,Haze.,40,34,1004,6,230,31,5,2019
50,uk,uk,uk,1557748800000.0,12.00,"सोमवार 13 मई 2019, 12.00 — 18.00",7,Overcast.,42,32,1002,9,230,40,5,2019
51,uk,uk,uk,1557770400000.0,18.00,"सोमवार 13 मई 2019, 18.00 — 00.00",17,Overcast.,28,27,1004,6,130,56,5,2019
52,True,मंगलवार 14 मई,14 मई,1557792000000.0,00.00,"मंगलवार 14 मई 2019, 00.00 — 06.00",14,Passing clouds.,29,27,1005,0,0,50,5,2019
53,uk,uk,uk,1557813600000.0,06.00,"मंगलवार 14 मई 2019, 06.00 — 12.00",1,Sunny.,34,30,1006,4,230,44,5,2019
54,uk,uk,uk,1557835200000.0,12.00,"मंगलवार 14 मई 2019, 12.00 — 18.00",2,Scattered clouds.,38,38,1002,6,270,29,5,2019
55,uk,uk,uk,1557856800000.0,18.00,"मंगलवार 14 मई 2019, 18.00 — 00.00",13,Clear.,32,28,1004,0,0,51,5,2019
56,True,बुधवार 15 मई,15 मई,1557878400000.0,00.00,"बुधवार 15 मई 2019, 00.00 — 06.00",3,Haze.,25,25,1005,0,0,65,5,2019
57,uk,uk,uk,1557900000000.0,06.00,"बुधवार 15 मई 2019, 06.00 — 12.00",1,Sunny.,39,32,1006,3,320,36,5,2019
58,uk,uk,uk,1557921600000.0,12.00,"बुधवार 15 मई 2019, 12.00 — 18.00",6,Partly sunny.,41,37,1003,5,320,34,5,2019
59,uk,uk,uk,1557943200000.0,18.00,"बुधवार 15 मई 2019, 18.00 — 00.00",14,Passing clouds.,27,25,1005,0,0,80,5,2019
60,True,गुरुवार 16 मई,16 मई,1557964800000.0,00.00,"गुरुवार 16 मई 2019, 00.00 — 06.00",14,Passing clouds.,27,25,1006,0,0,66,5,2019
61,uk,uk,uk,1557986400000.0,06.00,"गुरुवार 16 मई 2019, 06.00 — 12.00",6,Partly sunny.,36,30,1005,0,0,50,5,2019
62,uk,uk,uk,1558008000000.0,12.00,"गुरुवार 16 मई 2019, 12.00 — 18.00",1,Sunny.,39,39,1004,5,320,26,5,2019
63,uk,uk,uk,1558029600000.0,18.00,"गुरुवार 16 मई 2019, 18.00 — 00.00",13,Clear.,32,30,1005,0,0,46,5,2019
