,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,गुरुवार 1 सितंबर,1 सितंबर,1661990400000.0,00.00,"गुरुवार 1 सितंबर 2022, 00.00 — 06.00",13,Clear.,28,28,1004,0,0,87,9,2022
1,uk,uk,uk,1662012000000.0,06.00,"गुरुवार 1 सितंबर 2022, 06.00 — 12.00",1,Sunny.,35,32,1005,0,0,64,9,2022
2,uk,uk,uk,1662033600000.0,12.00,"गुरुवार 1 सितंबर 2022, 12.00 — 18.00",22,Thunderstorms. Overcast.,31,29,1003,3,180,74,9,2022
3,uk,uk,uk,1662055200000.0,18.00,"गुरुवार 1 सितंबर 2022, 18.00 — 00.00",17,Overcast.,27,26,1006,0,0,92,9,2022
4,True,शुक्रवार 2 सितंबर,2 सितंबर,1662076800000.0,00.00,"शुक्रवार 2 सितंबर 2022, 00.00 — 06.00",2,Scattered clouds.,26,26,1005,0,0,95,9,2022
5,uk,uk,uk,1662098400000.0,06.00,"शुक्रवार 2 सितंबर 2022, 06.00 — 12.00",6,Partly sunny.,32,28,1007,0,0,81,9,2022
6,uk,uk,uk,1662120000000.0,12.00,"शुक्रवार 2 सितंबर 2022, 12.00 — 18.00",2,Scattered clouds.,32,32,1005,3,230,76,9,2022
7,uk,uk,uk,1662141600000.0,18.00,"शुक्रवार 2 सितंबर 2022, 18.00 — 00.00",17,Overcast.,28,28,1006,0,0,83,9,2022
8,True,शनिवार 3 सितंबर,3 सितंबर,1662163200000.0,00.00,"शनिवार 3 सितंबर 2022, 00.00 — 06.00",14,Passing clouds.,27,27,1005,0,0,86,9,2022
9,uk,uk,uk,1662184800000.0,06.00,"शनिवार 3 सितंबर 2022, 06.00 — 12.00",6,Partly sunny.,34,30,1005,0,0,72,9,2022
10,uk,uk,uk,1662206400000.0,12.00,"शनिवार 3 सितंबर 2022, 12.00 — 18.00",2,Scattered clouds.,35,34,1001,2,320,60,9,2022
11,uk,uk,uk,1662228000000.0,18.00,"शनिवार 3 सितंबर 2022, 18.00 — 00.00",14,Passing clouds.,31,30,1002,2,230,77,9,2022
12,True,रविवार 4 सितंबर,4 सितंबर,1662249600000.0,00.00,"रविवार 4 सितंबर 2022, 00.00 — 06.00",2,Scattered clouds.,28,28,1002,0,0,84,9,2022
13,uk,uk,uk,1662271200000.0,06.00,"रविवार 4 सितंबर 2022, 06.00 — 12.00",3,Haze.,34,30,1004,4,230,67,9,2022
14,uk,uk,uk,1662292800000.0,12.00,"रविवार 4 सितंबर 2022, 12.00 — 18.00",6,Partly sunny.,36,34,1001,4,270,51,9,2022
15,uk,uk,uk,1662314400000.0,18.00,"रविवार 4 सितंबर 2022, 18.00 — 00.00",13,Clear.,30,28,1003,0,0,76,9,2022
16,True,सोमवार 5 सितंबर,5 सितंबर,1662336000000.0,00.00,"सोमवार 5 सितंबर 2022, 00.00 — 06.00",13,Clear.,28,27,1003,0,0,84,9,2022
17,uk,uk,uk,1662357600000.0,06.00,"सोमवार 5 सितंबर 2022, 06.00 — 12.00",1,Sunny.,33,30,1006,2,230,65,9,2022
18,uk,uk,uk,1662379200000.0,12.00,"सोमवार 5 सितंबर 2022, 12.00 — 18.00",2,Scattered clouds.,35,34,1002,0,0,54,9,2022
19,uk,uk,uk,1662400800000.0,18.00,"सोमवार 5 सितंबर 2022, 18.00 — 00.00",13,Clear.,30,28,1004,0,0,78,9,2022
20,True,मंगलवार 6 सितंबर,6 सितंबर,1662422400000.0,00.00,"मंगलवार 6 सितंबर 2022, 00.00 — 06.00",14,Passing clouds.,28,27,1004,0,0,84,9,2022
21,uk,uk,uk,1662444000000.0,06.00,"मंगलवार 6 सितंबर 2022, 06.00 — 12.00",3,Haze.,35,31,1006,1,320,61,9,2022
22,uk,uk,uk,1662465600000.0,12.00,"मंगलवार 6 सितंबर 2022, 12.00 — 18.00",2,Scattered clouds.,35,33,1003,0,0,60,9,2022
23,uk,uk,uk,1662487200000.0,18.00,"मंगलवार 6 सितंबर 2022, 18.00 — 00.00",13,Clear.,29,28,1005,0,0,80,9,2022
24,True,बुधवार 7 सितंबर,7 सितंबर,1662508800000.0,00.00,"बुधवार 7 सितंबर 2022, 00.00 — 06.00",13,Clear.,27,26,1006,0,0,90,9,2022
25,uk,uk,uk,1662530400000.0,06.00,"बुधवार 7 सितंबर 2022, 06.00 — 12.00",1,Sunny.,35,31,1007,0,0,59,9,2022
26,uk,uk,uk,1662552000000.0,12.00,"बुधवार 7 सितंबर 2022, 12.00 — 18.00",6,Partly sunny.,37,34,1004,0,0,54,9,2022
27,uk,uk,uk,1662573600000.0,18.00,"बुधवार 7 सितंबर 2022, 18.00 — 00.00",13,Clear.,30,28,1007,0,0,82,9,2022
28,True,गुरुवार 8 सितंबर,8 सितंबर,1662595200000.0,00.00,"गुरुवार 8 सितंबर 2022, 00.00 — 06.00",1,Sunny.,27,27,1007,0,0,90,9,2022
