,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शुक्रवार 1 मार्च,1 मार्च,1551398400000.0,00.00,"शुक्रवार 1 मार्च 2019, 00.00 — 06.00",13,Clear.,10.0,10.0,1016,0,0,88,3,2019
1,uk,uk,uk,1551420000000.0,06.00,"शुक्रवार 1 मार्च 2019, 06.00 — 12.00",3,Haze.,22.0,12.0,1018,2,320,58,3,2019
2,uk,uk,uk,1551441600000.0,12.00,"शुक्रवार 1 मार्च 2019, 12.00 — 18.00",1,Sunny.,24.0,24.0,1014,0,0,30,3,2019
3,uk,uk,uk,1551463200000.0,18.00,"शुक्रवार 1 मार्च 2019, 18.00 — 00.00",13,Clear.,16.0,13.0,1016,0,0,76,3,2019
4,True,शनिवार 2 मार्च,2 मार्च,1551484800000.0,00.00,"शनिवार 2 मार्च 2019, 00.00 — 06.00",13,Clear.,12.0,11.0,1015,0,0,86,3,2019
5,uk,uk,uk,1551506400000.0,06.00,"शनिवार 2 मार्च 2019, 06.00 — 12.00",7,Overcast.,20.0,14.0,1017,2,90,64,3,2019
6,uk,uk,uk,1551528000000.0,12.00,"शनिवार 2 मार्च 2019, 12.00 — 18.00",7,Overcast.,21.0,18.0,1014,0,0,64,3,2019
7,uk,uk,uk,1551549600000.0,18.00,"शनिवार 2 मार्च 2019, 18.00 — 00.00",17,Overcast.,16.0,15.0,1015,0,0,84,3,2019
8,True,रविवार 3 मार्च,3 मार्च,1551571200000.0,00.00,"रविवार 3 मार्च 2019, 00.00 — 06.00",14,Haze.,14.0,14.0,1013,0,0,88,3,2019
9,uk,uk,uk,1551592800000.0,06.00,"रविवार 3 मार्च 2019, 06.00 — 12.00",6,Partly sunny.,18.0,13.0,1014,4,50,84,3,2019
10,uk,uk,uk,1551614400000.0,12.00,"रविवार 3 मार्च 2019, 12.00 — 18.00",3,Haze.,23.0,22.0,1010,2,50,54,3,2019
11,uk,uk,uk,1551636000000.0,18.00,"रविवार 3 मार्च 2019, 18.00 — 00.00",13,Clear.,18.0,15.0,1011,0,0,85,3,2019
12,True,सोमवार 4 मार्च,4 मार्च,1551657600000.0,00.00,"सोमवार 4 मार्च 2019, 00.00 — 06.00",14,Fog.,14.0,14.0,1009,0,0,95,3,2019
