,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,रविवार 1 मार्च,1 मार्च,1583020800000.0,00.00,"रविवार 1 मार्च 2020, 00.00 — 06.00",13,Clear.,16,16,1013,2,90,88,3,2020
1,uk,uk,uk,1583042400000.0,06.00,"रविवार 1 मार्च 2020, 06.00 — 12.00",3,Haze.,26,17,1014,6,140,69,3,2020
2,uk,uk,uk,1583064000000.0,12.00,"रविवार 1 मार्च 2020, 12.00 — 18.00",1,Sunny.,29,28,1009,2,140,48,3,2020
3,uk,uk,uk,1583085600000.0,18.00,"रविवार 1 मार्च 2020, 18.00 — 00.00",13,Clear.,23,20,1011,0,0,82,3,2020
4,True,सोमवार 2 मार्च,2 मार्च,1583107200000.0,00.00,"सोमवार 2 मार्च 2020, 00.00 — 06.00",14,Fog.,17,17,1011,0,0,92,3,2020
5,uk,uk,uk,1583128800000.0,06.00,"सोमवार 2 मार्च 2020, 06.00 — 12.00",2,Scattered clouds.,28,19,1013,0,0,72,3,2020
6,uk,uk,uk,1583150400000.0,12.00,"सोमवार 2 मार्च 2020, 12.00 — 18.00",2,Scattered clouds.,30,27,1009,4,0,50,3,2020
7,uk,uk,uk,1583172000000.0,18.00,"सोमवार 2 मार्च 2020, 18.00 — 00.00",13,Clear.,23,22,1011,0,0,76,3,2020
8,True,मंगलवार 3 मार्च,3 मार्च,1583193600000.0,00.00,"मंगलवार 3 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,19,19,1011,0,0,88,3,2020
9,uk,uk,uk,1583215200000.0,06.00,"मंगलवार 3 मार्च 2020, 06.00 — 12.00",3,Haze.,27,20,1012,0,0,68,3,2020
10,uk,uk,uk,1583236800000.0,12.00,"मंगलवार 3 मार्च 2020, 12.00 — 18.00",2,Scattered clouds.,29,28,1007,0,0,50,3,2020
11,uk,uk,uk,1583258400000.0,18.00,"मंगलवार 3 मार्च 2020, 18.00 — 00.00",14,Haze.,22,20,1009,0,0,79,3,2020
12,True,बुधवार 4 मार्च,4 मार्च,1583280000000.0,00.00,"बुधवार 4 मार्च 2020, 00.00 — 06.00",14,Haze.,19,18,1009,0,0,88,3,2020
13,uk,uk,uk,1583301600000.0,06.00,"बुधवार 4 मार्च 2020, 06.00 — 12.00",2,Scattered clouds.,20,18,1012,6,320,78,3,2020
14,uk,uk,uk,1583323200000.0,12.00,"बुधवार 4 मार्च 2020, 12.00 — 18.00",6,Partly sunny.,22,19,1009,0,0,81,3,2020
15,uk,uk,uk,1583344800000.0,18.00,"बुधवार 4 मार्च 2020, 18.00 — 00.00",14,Haze.,19,17,1010,0,0,86,3,2020
16,True,गुरुवार 5 मार्च,5 मार्च,1583366400000.0,00.00,"गुरुवार 5 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,16,15,1010,0,0,94,3,2020
17,uk,uk,uk,1583388000000.0,06.00,"गुरुवार 5 मार्च 2020, 06.00 — 12.00",22,Thunderstorms. Overcast.,23,16,1012,4,50,74,3,2020
18,uk,uk,uk,1583409600000.0,12.00,"गुरुवार 5 मार्च 2020, 12.00 — 18.00",3,Haze.,26,26,1007,5,140,58,3,2020
19,uk,uk,uk,1583431200000.0,18.00,"गुरुवार 5 मार्च 2020, 18.00 — 00.00",22,Thundershowers. Overcast.,22,18,1009,2,50,86,3,2020
20,True,शुक्रवार 6 मार्च,6 मार्च,1583452800000.0,00.00,"शुक्रवार 6 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,16,16,1006,0,0,100,3,2020
21,uk,uk,uk,1583474400000.0,06.00,"शुक्रवार 6 मार्च 2020, 06.00 — 12.00",2,Scattered clouds.,24,18,1009,1,140,86,3,2020
22,uk,uk,uk,1583496000000.0,12.00,"शुक्रवार 6 मार्च 2020, 12.00 — 18.00",6,Partly sunny.,27,25,1005,4,140,55,3,2020
23,uk,uk,uk,1583517600000.0,18.00,"शुक्रवार 6 मार्च 2020, 18.00 — 00.00",14,Passing clouds.,19,18,1010,3,50,89,3,2020
24,True,शनिवार 7 मार्च,7 मार्च,1583539200000.0,00.00,"शनिवार 7 मार्च 2020, 00.00 — 06.00",14,Haze.,17,16,1011,0,0,92,3,2020
25,uk,uk,uk,1583560800000.0,06.00,"शनिवार 7 मार्च 2020, 06.00 — 12.00",7,Overcast.,22,17,1014,0,0,76,3,2020
26,uk,uk,uk,1583582400000.0,12.00,"शनिवार 7 मार्च 2020, 12.00 — 18.00",2,Scattered clouds.,25,24,1012,4,50,48,3,2020
27,uk,uk,uk,1583604000000.0,18.00,"शनिवार 7 मार्च 2020, 18.00 — 00.00",13,Clear.,17,17,1016,0,0,90,3,2020
28,True,रविवार 8 मार्च,8 मार्च,1583625600000.0,00.00,"रविवार 8 मार्च 2020, 00.00 — 06.00",14,Fog.,15,15,1015,0,0,94,3,2020
29,uk,uk,uk,1583647200000.0,06.00,"रविवार 8 मार्च 2020, 06.00 — 12.00",3,Haze.,23,15,1017,2,230,73,3,2020
30,uk,uk,uk,1583668800000.0,12.00,"रविवार 8 मार्च 2020, 12.00 — 18.00",1,Sunny.,26,25,1014,5,20,41,3,2020
31,uk,uk,uk,1583690400000.0,18.00,"रविवार 8 मार्च 2020, 18.00 — 00.00",13,Clear.,18,16,1015,0,0,73,3,2020
32,True,सोमवार 9 मार्च,9 मार्च,1583712000000.0,00.00,"सोमवार 9 मार्च 2020, 00.00 — 06.00",13,Clear.,14,13,1014,0,0,89,3,2020
33,uk,uk,uk,1583733600000.0,06.00,"सोमवार 9 मार्च 2020, 06.00 — 12.00",1,Sunny.,25,17,1015,4,0,50,3,2020
34,uk,uk,uk,1583755200000.0,12.00,"सोमवार 9 मार्च 2020, 12.00 — 18.00",3,Haze.,27,26,1012,6,320,32,3,2020
35,uk,uk,uk,1583776800000.0,18.00,"सोमवार 9 मार्च 2020, 18.00 — 00.00",13,Clear.,19,17,1012,0,0,70,3,2020
36,True,मंगलवार 10 मार्च,10 मार्च,1583798400000.0,00.00,"मंगलवार 10 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,14,14,1013,0,0,82,3,2020
37,uk,uk,uk,1583820000000.0,06.00,"मंगलवार 10 मार्च 2020, 06.00 — 12.00",7,Overcast.,19,17,1014,0,0,66,3,2020
38,uk,uk,uk,1583841600000.0,12.00,"मंगलवार 10 मार्च 2020, 12.00 — 18.00",6,Partly sunny.,23,21,1011,0,0,62,3,2020
39,uk,uk,uk,1583863200000.0,18.00,"मंगलवार 10 मार्च 2020, 18.00 — 00.00",13,Clear.,18,16,1010,0,0,86,3,2020
40,True,बुधवार 11 मार्च,11 मार्च,1583884800000.0,00.00,"बुधवार 11 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,17,16,1009,0,0,86,3,2020
41,uk,uk,uk,1583906400000.0,06.00,"बुधवार 11 मार्च 2020, 06.00 — 12.00",2,Scattered clouds.,25,17,1010,0,0,66,3,2020
42,uk,uk,uk,1583928000000.0,12.00,"बुधवार 11 मार्च 2020, 12.00 — 18.00",2,Scattered clouds.,29,28,1006,6,140,41,3,2020
43,uk,uk,uk,1583949600000.0,18.00,"बुधवार 11 मार्च 2020, 18.00 — 00.00",14,Passing clouds.,23,22,1009,0,0,71,3,2020
44,True,गुरुवार 12 मार्च,12 मार्च,1583971200000.0,00.00,"गुरुवार 12 मार्च 2020, 00.00 — 06.00",13,Clear.,18,18,1010,2,270,79,3,2020
45,uk,uk,uk,1583992800000.0,06.00,"गुरुवार 12 मार्च 2020, 06.00 — 12.00",1,Sunny.,27,19,1013,0,0,56,3,2020
46,uk,uk,uk,1584014400000.0,12.00,"गुरुवार 12 मार्च 2020, 12.00 — 18.00",2,Scattered clouds.,29,29,1010,3,140,34,3,2020
47,uk,uk,uk,1584036000000.0,18.00,"गुरुवार 12 मार्च 2020, 18.00 — 00.00",13,Clear.,22,19,1011,0,0,69,3,2020
48,True,शुक्रवार 13 मार्च,13 मार्च,1584057600000.0,00.00,"शुक्रवार 13 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,18,16,1012,0,0,76,3,2020
49,uk,uk,uk,1584079200000.0,06.00,"शुक्रवार 13 मार्च 2020, 06.00 — 12.00",1,Sunny.,28,20,1013,4,230,33,3,2020
50,uk,uk,uk,1584100800000.0,12.00,"शुक्रवार 13 मार्च 2020, 12.00 — 18.00",1,Sunny.,29,28,1011,4,230,22,3,2020
51,uk,uk,uk,1584122400000.0,18.00,"शुक्रवार 13 मार्च 2020, 18.00 — 00.00",13,Clear.,22,20,1014,0,0,78,3,2020
52,True,शनिवार 14 मार्च,14 मार्च,1584144000000.0,00.00,"शनिवार 14 मार्च 2020, 00.00 — 06.00",14,Passing clouds.,19,19,1013,3,140,87,3,2020
53,uk,uk,uk,1584165600000.0,06.00,"शनिवार 14 मार्च 2020, 06.00 — 12.00",3,Haze.,24,19,1015,3,270,70,3,2020
