,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शनिवार 1 फरवरी,1 फरवरी,1580515200000.0,00.00,"शनिवार 1 फरवरी 2020, 00.00 — 06.00",14,Fog.,10,8,1016,0,0,91,2,2020
1,uk,uk,uk,1580536800000.0,06.00,"शनिवार 1 फरवरी 2020, 06.00 — 12.00",1,Sunny.,19,10,1020,0,0,67,2,2020
2,uk,uk,uk,1580558400000.0,12.00,"शनिवार 1 फरवरी 2020, 12.00 — 18.00",3,Haze.,22,19,1018,3,320,38,2,2020
3,uk,uk,uk,1580580000000.0,18.00,"शनिवार 1 फरवरी 2020, 18.00 — 00.00",13,Clear.,13,11,1021,0,0,85,2,2020
4,True,रविवार 2 फरवरी,2 फरवरी,1580601600000.0,00.00,"रविवार 2 फरवरी 2020, 00.00 — 06.00",13,Clear.,10,8,1020,0,0,90,2,2020
5,uk,uk,uk,1580623200000.0,06.00,"रविवार 2 फरवरी 2020, 06.00 — 12.00",1,Sunny.,19,9,1022,1,50,68,2,2020
6,uk,uk,uk,1580644800000.0,12.00,"रविवार 2 फरवरी 2020, 12.00 — 18.00",1,Sunny.,21,19,1019,2,50,44,2,2020
7,uk,uk,uk,1580666400000.0,18.00,"रविवार 2 फरवरी 2020, 18.00 — 00.00",13,Clear.,12,10,1021,0,0,80,2,2020
8,True,सोमवार 3 फरवरी,3 फरवरी,1580688000000.0,00.00,"सोमवार 3 फरवरी 2020, 00.00 — 06.00",14,Fog.,8,7,1020,0,0,89,2,2020
9,uk,uk,uk,1580709600000.0,06.00,"सोमवार 3 फरवरी 2020, 06.00 — 12.00",1,Sunny.,19,9,1021,0,0,66,2,2020
10,uk,uk,uk,1580731200000.0,12.00,"सोमवार 3 फरवरी 2020, 12.00 — 18.00",1,Sunny.,21,19,1017,2,50,42,2,2020
11,uk,uk,uk,1580752800000.0,18.00,"सोमवार 3 फरवरी 2020, 18.00 — 00.00",13,Clear.,13,10,1018,0,0,78,2,2020
12,True,मंगलवार 4 फरवरी,4 फरवरी,1580774400000.0,00.00,"मंगलवार 4 फरवरी 2020, 00.00 — 06.00",13,Clear.,9,8,1017,0,0,90,2,2020
13,uk,uk,uk,1580796000000.0,06.00,"मंगलवार 4 फरवरी 2020, 06.00 — 12.00",1,Sunny.,20,10,1018,0,0,64,2,2020
14,uk,uk,uk,1580817600000.0,12.00,"मंगलवार 4 फरवरी 2020, 12.00 — 18.00",1,Sunny.,22,20,1014,5,140,44,2,2020
15,uk,uk,uk,1580839200000.0,18.00,"मंगलवार 4 फरवरी 2020, 18.00 — 00.00",13,Clear.,15,13,1018,0,0,82,2,2020
16,True,बुधवार 5 फरवरी,5 फरवरी,1580860800000.0,00.00,"बुधवार 5 फरवरी 2020, 00.00 — 06.00",13,Clear.,11,10,1018,0,0,89,2,2020
17,uk,uk,uk,1580882400000.0,06.00,"बुधवार 5 फरवरी 2020, 06.00 — 12.00",1,Sunny.,20,11,1019,0,0,65,2,2020
18,uk,uk,uk,1580904000000.0,12.00,"बुधवार 5 फरवरी 2020, 12.00 — 18.00",1,Sunny.,23,21,1015,1,320,42,2,2020
19,uk,uk,uk,1580925600000.0,18.00,"बुधवार 5 फरवरी 2020, 18.00 — 00.00",13,Clear.,15,12,1017,0,0,80,2,2020
20,True,गुरुवार 6 फरवरी,6 फरवरी,1580947200000.0,00.00,"गुरुवार 6 फरवरी 2020, 00.00 — 06.00",13,Clear.,10,10,1016,0,0,92,2,2020
21,uk,uk,uk,1580968800000.0,06.00,"गुरुवार 6 फरवरी 2020, 06.00 — 12.00",1,Sunny.,19,19,1019,2,50,40,2,2020
22,uk,uk,uk,1580990400000.0,12.00,"गुरुवार 6 फरवरी 2020, 12.00 — 18.00",1,Sunny.,22,19,1015,4,90,50,2,2020
23,uk,uk,uk,1581012000000.0,18.00,"गुरुवार 6 फरवरी 2020, 18.00 — 00.00",13,Clear.,15,13,1017,0,0,80,2,2020
24,True,शुक्रवार 7 फरवरी,7 फरवरी,1581033600000.0,00.00,"शुक्रवार 7 फरवरी 2020, 00.00 — 06.00",13,Clear.,11,11,1017,0,0,88,2,2020
25,uk,uk,uk,1581055200000.0,06.00,"शुक्रवार 7 फरवरी 2020, 06.00 — 12.00",2,Scattered clouds.,20,12,1020,3,50,67,2,2020
26,uk,uk,uk,1581076800000.0,12.00,"शुक्रवार 7 फरवरी 2020, 12.00 — 18.00",3,Haze.,22,20,1017,2,0,48,2,2020
27,uk,uk,uk,1581098400000.0,18.00,"शुक्रवार 7 फरवरी 2020, 18.00 — 00.00",13,Clear.,15,12,1020,0,0,88,2,2020
28,True,शनिवार 8 फरवरी,8 फरवरी,1581120000000.0,00.00,"शनिवार 8 फरवरी 2020, 00.00 — 06.00",13,Clear.,9,9,1020,0,0,95,2,2020
29,uk,uk,uk,1581141600000.0,06.00,"शनिवार 8 फरवरी 2020, 06.00 — 12.00",1,Sunny.,18,9,1023,2,0,72,2,2020
