,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,सोमवार 2 अगस्त,2 अगस्त,1627884000000.0,06.00,"सोमवार 2 अगस्त 2021, 06.00 — 12.00",18,Light rain. Overcast.,26.0,26.0,996,2,50,98,8,2021
1,uk,uk,uk,1627905600000.0,12.00,"सोमवार 2 अगस्त 2021, 12.00 — 18.00",19,Rain. Overcast.,26.0,26.0,994,4,50,98,8,2021
2,uk,uk,uk,1627927200000.0,18.00,"सोमवार 2 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,26.0,26.0,995,0,0,95,8,2021
3,True,मंगलवार 3 अगस्त,3 अगस्त,1627948800000.0,00.00,"मंगलवार 3 अगस्त 2021, 00.00 — 06.00",17,Overcast.,25.0,25.0,994,0,0,97,8,2021
4,uk,uk,uk,1627970400000.0,06.00,"मंगलवार 3 अगस्त 2021, 06.00 — 12.00",18,Light rain. Overcast.,26.0,25.0,995,3,50,95,8,2021
5,uk,uk,uk,1627992000000.0,12.00,"मंगलवार 3 अगस्त 2021, 12.00 — 18.00",7,Overcast.,27.0,27.0,994,0,0,92,8,2021
6,uk,uk,uk,1628013600000.0,18.00,"मंगलवार 3 अगस्त 2021, 18.00 — 00.00",17,Overcast.,26.0,26.0,997,0,0,96,8,2021
7,True,बुधवार 4 अगस्त,4 अगस्त,1628035200000.0,00.00,"बुधवार 4 अगस्त 2021, 00.00 — 06.00",7,Overcast.,25.0,25.0,996,0,0,96,8,2021
8,uk,uk,uk,1628056800000.0,06.00,"बुधवार 4 अगस्त 2021, 06.00 — 12.00",7,Overcast.,27.0,26.0,998,0,0,94,8,2021
9,uk,uk,uk,1628078400000.0,12.00,"बुधवार 4 अगस्त 2021, 12.00 — 18.00",36,No weather data available,,,0,0,0,0,8,2021
10,uk,uk,uk,1628100000000.0,18.00,"बुधवार 4 अगस्त 2021, 18.00 — 00.00",17,Overcast.,27.0,27.0,998,2,50,92,8,2021
11,True,गुरुवार 5 अगस्त,5 अगस्त,1628121600000.0,00.00,"गुरुवार 5 अगस्त 2021, 00.00 — 06.00",7,Overcast.,26.0,26.0,998,4,50,95,8,2021
12,uk,uk,uk,1628143200000.0,06.00,"गुरुवार 5 अगस्त 2021, 06.00 — 12.00",7,Overcast.,28.0,28.0,999,0,0,91,8,2021
13,uk,uk,uk,1628164800000.0,12.00,"गुरुवार 5 अगस्त 2021, 12.00 — 18.00",18,Light rain. Overcast.,30.0,29.0,996,0,0,82,8,2021
14,uk,uk,uk,1628186400000.0,18.00,"गुरुवार 5 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,29.0,28.0,998,0,0,92,8,2021
15,True,शुक्रवार 6 अगस्त,6 अगस्त,1628208000000.0,00.00,"शुक्रवार 6 अगस्त 2021, 00.00 — 06.00",2,Scattered clouds.,27.0,27.0,997,0,0,92,8,2021
16,uk,uk,uk,1628229600000.0,06.00,"शुक्रवार 6 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,32.0,28.0,999,1,50,83,8,2021
17,uk,uk,uk,1628251200000.0,12.00,"शुक्रवार 6 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,26.0,996,3,50,84,8,2021
18,uk,uk,uk,1628272800000.0,18.00,"शुक्रवार 6 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,27.0,27.0,999,0,0,96,8,2021
19,True,शनिवार 7 अगस्त,7 अगस्त,1628294400000.0,00.00,"शनिवार 7 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,26.0,26.0,999,0,0,95,8,2021
20,uk,uk,uk,1628316000000.0,06.00,"शनिवार 7 अगस्त 2021, 06.00 — 12.00",7,Overcast.,32.0,27.0,1002,0,0,84,8,2021
21,uk,uk,uk,1628337600000.0,12.00,"शनिवार 7 अगस्त 2021, 12.00 — 18.00",22,Thundershowers. Overcast.,30.0,30.0,999,0,0,83,8,2021
22,uk,uk,uk,1628359200000.0,18.00,"शनिवार 7 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,27.0,27.0,1002,0,0,92,8,2021
23,True,रविवार 8 अगस्त,8 अगस्त,1628380800000.0,00.00,"रविवार 8 अगस्त 2021, 00.00 — 06.00",22,Thunderstorms. Overcast.,27.0,27.0,1002,0,0,96,8,2021
24,uk,uk,uk,1628402400000.0,06.00,"रविवार 8 अगस्त 2021, 06.00 — 12.00",7,Overcast.,31.0,28.0,1003,0,0,86,8,2021
25,uk,uk,uk,1628424000000.0,12.00,"रविवार 8 अगस्त 2021, 12.00 — 18.00",7,Overcast.,33.0,33.0,1000,0,0,72,8,2021
26,uk,uk,uk,1628445600000.0,18.00,"रविवार 8 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,28.0,27.0,1003,0,0,94,8,2021
27,True,सोमवार 9 अगस्त,9 अगस्त,1628467200000.0,00.00,"सोमवार 9 अगस्त 2021, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,8,2021
28,uk,uk,uk,1628488800000.0,06.00,"सोमवार 9 अगस्त 2021, 06.00 — 12.00",7,Overcast.,32.0,32.0,1003,7,230,71,8,2021
29,uk,uk,uk,1628510400000.0,12.00,"सोमवार 9 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,31.0,27.0,1002,0,0,84,8,2021
30,uk,uk,uk,1628532000000.0,18.00,"सोमवार 9 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,26.0,26.0,1003,0,0,94,8,2021
31,True,मंगलवार 10 अगस्त,10 अगस्त,1628553600000.0,00.00,"मंगलवार 10 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,26.0,26.0,1003,4,270,90,8,2021
32,uk,uk,uk,1628575200000.0,06.00,"मंगलवार 10 अगस्त 2021, 06.00 — 12.00",7,Overcast.,32.0,27.0,1003,5,250,74,8,2021
33,uk,uk,uk,1628596800000.0,12.00,"मंगलवार 10 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,33.0,33.0,1001,6,0,67,8,2021
34,uk,uk,uk,1628618400000.0,18.00,"मंगलवार 10 अगस्त 2021, 18.00 — 00.00",13,Clear.,31.0,29.0,1002,2,230,47,8,2021
35,True,बुधवार 11 अगस्त,11 अगस्त,1628640000000.0,00.00,"बुधवार 11 अगस्त 2021, 00.00 — 06.00",13,Clear.,28.0,28.0,1001,2,230,84,8,2021
36,uk,uk,uk,1628661600000.0,06.00,"बुधवार 11 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,29.0,29.0,1003,11,230,71,8,2021
37,uk,uk,uk,1628683200000.0,12.00,"बुधवार 11 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,33.0,1001,2,270,65,8,2021
38,uk,uk,uk,1628704800000.0,18.00,"बुधवार 11 अगस्त 2021, 18.00 — 00.00",13,Clear.,30.0,28.0,1003,0,0,79,8,2021
39,True,गुरुवार 12 अगस्त,12 अगस्त,1628726400000.0,00.00,"गुरुवार 12 अगस्त 2021, 00.00 — 06.00",13,Clear.,27.0,27.0,1003,0,0,84,8,2021
40,uk,uk,uk,1628748000000.0,06.00,"गुरुवार 12 अगस्त 2021, 06.00 — 12.00",2,Scattered clouds.,31.0,30.0,1005,5,270,70,8,2021
41,uk,uk,uk,1628769600000.0,12.00,"गुरुवार 12 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,33.0,1002,4,270,59,8,2021
42,uk,uk,uk,1628791200000.0,18.00,"गुरुवार 12 अगस्त 2021, 18.00 — 00.00",14,Haze.,30.0,29.0,1003,0,0,74,8,2021
43,True,शुक्रवार 13 अगस्त,13 अगस्त,1628812800000.0,00.00,"शुक्रवार 13 अगस्त 2021, 00.00 — 06.00",1,Sunny.,27.0,27.0,1002,0,0,83,8,2021
44,uk,uk,uk,1628834400000.0,06.00,"शुक्रवार 13 अगस्त 2021, 06.00 — 12.00",3,Haze.,33.0,29.0,1003,4,270,68,8,2021
45,uk,uk,uk,1628856000000.0,12.00,"शुक्रवार 13 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,35.0,34.0,1000,5,270,54,8,2021
46,uk,uk,uk,1628877600000.0,18.00,"शुक्रवार 13 अगस्त 2021, 18.00 — 00.00",13,Clear.,29.0,29.0,1001,0,0,74,8,2021
47,True,शनिवार 14 अगस्त,14 अगस्त,1628899200000.0,00.00,"शनिवार 14 अगस्त 2021, 00.00 — 06.00",1,Sunny.,28.0,28.0,1000,0,0,81,8,2021
48,uk,uk,uk,1628920800000.0,06.00,"शनिवार 14 अगस्त 2021, 06.00 — 12.00",1,Sunny.,33.0,30.0,1001,3,230,64,8,2021
49,uk,uk,uk,1628942400000.0,12.00,"शनिवार 14 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,33.0,998,6,230,56,8,2021
50,uk,uk,uk,1628964000000.0,18.00,"शनिवार 14 अगस्त 2021, 18.00 — 00.00",13,Clear.,30.0,29.0,1000,0,0,70,8,2021
51,True,रविवार 15 अगस्त,15 अगस्त,1628985600000.0,00.00,"रविवार 15 अगस्त 2021, 00.00 — 06.00",13,Clear.,28.0,27.0,1000,0,0,76,8,2021
52,uk,uk,uk,1629007200000.0,06.00,"रविवार 15 अगस्त 2021, 06.00 — 12.00",2,Scattered clouds.,33.0,29.0,1002,4,230,64,8,2021
53,uk,uk,uk,1629028800000.0,12.00,"रविवार 15 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,34.0,1001,0,0,55,8,2021
54,uk,uk,uk,1629050400000.0,18.00,"रविवार 15 अगस्त 2021, 18.00 — 00.00",13,Clear.,30.0,30.0,1002,0,0,73,8,2021
55,True,सोमवार 16 अगस्त,16 अगस्त,1629072000000.0,00.00,"सोमवार 16 अगस्त 2021, 00.00 — 06.00",36,No weather data available,,,0,0,0,0,8,2021
56,uk,uk,uk,1629093600000.0,06.00,"सोमवार 16 अगस्त 2021, 06.00 — 12.00",1,Sunny.,34.0,31.0,1004,2,0,62,8,2021
57,uk,uk,uk,1629115200000.0,12.00,"सोमवार 16 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,36.0,30.0,1002,6,0,60,8,2021
58,uk,uk,uk,1629136800000.0,18.00,"सोमवार 16 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,30.0,29.0,1004,0,0,75,8,2021
59,True,मंगलवार 17 अगस्त,17 अगस्त,1629158400000.0,00.00,"मंगलवार 17 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,29.0,28.0,1004,0,0,82,8,2021
60,uk,uk,uk,1629180000000.0,06.00,"मंगलवार 17 अगस्त 2021, 06.00 — 12.00",1,Sunny.,36.0,33.0,1004,2,0,56,8,2021
61,uk,uk,uk,1629201600000.0,12.00,"मंगलवार 17 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,37.0,36.0,1000,4,320,46,8,2021
62,uk,uk,uk,1629223200000.0,18.00,"मंगलवार 17 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,31.0,30.0,1002,0,0,68,8,2021
63,True,बुधवार 18 अगस्त,18 अगस्त,1629244800000.0,00.00,"बुधवार 18 अगस्त 2021, 00.00 — 06.00",13,Clear.,29.0,28.0,1001,0,0,81,8,2021
64,uk,uk,uk,1629266400000.0,06.00,"बुधवार 18 अगस्त 2021, 06.00 — 12.00",3,Haze.,36.0,31.0,1002,0,0,63,8,2021
65,uk,uk,uk,1629288000000.0,12.00,"बुधवार 18 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,37.0,37.0,998,0,0,50,8,2021
66,uk,uk,uk,1629309600000.0,18.00,"बुधवार 18 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,32.0,30.0,1000,0,0,72,8,2021
67,True,गुरुवार 19 अगस्त,19 अगस्त,1629331200000.0,00.00,"गुरुवार 19 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,30.0,29.0,999,2,270,74,8,2021
68,uk,uk,uk,1629352800000.0,06.00,"गुरुवार 19 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,35.0,35.0,1001,0,0,62,8,2021
69,uk,uk,uk,1629374400000.0,12.00,"गुरुवार 19 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,37.0,29.0,998,3,50,68,8,2021
70,uk,uk,uk,1629396000000.0,18.00,"गुरुवार 19 अगस्त 2021, 18.00 — 00.00",17,Overcast.,28.0,25.0,1001,0,0,88,8,2021
71,True,शुक्रवार 20 अगस्त,20 अगस्त,1629417600000.0,00.00,"शुक्रवार 20 अगस्त 2021, 00.00 — 06.00",17,Overcast.,26.0,26.0,1001,0,0,92,8,2021
72,uk,uk,uk,1629439200000.0,06.00,"शुक्रवार 20 अगस्त 2021, 06.00 — 12.00",7,Overcast.,30.0,28.0,1003,0,0,86,8,2021
73,uk,uk,uk,1629460800000.0,12.00,"शुक्रवार 20 अगस्त 2021, 12.00 — 18.00",7,Overcast.,31.0,29.0,1001,0,0,80,8,2021
74,uk,uk,uk,1629482400000.0,18.00,"शुक्रवार 20 अगस्त 2021, 18.00 — 00.00",17,Overcast.,27.0,27.0,1003,0,0,90,8,2021
75,True,शनिवार 21 अगस्त,21 अगस्त,1629504000000.0,00.00,"शनिवार 21 अगस्त 2021, 00.00 — 06.00",17,Overcast.,27.0,27.0,1003,0,0,93,8,2021
76,uk,uk,uk,1629525600000.0,06.00,"शनिवार 21 अगस्त 2021, 06.00 — 12.00",19,Rain. Overcast.,28.0,26.0,1004,0,0,97,8,2021
77,uk,uk,uk,1629547200000.0,12.00,"शनिवार 21 अगस्त 2021, 12.00 — 18.00",7,Overcast.,28.0,28.0,1003,0,0,90,8,2021
78,uk,uk,uk,1629568800000.0,18.00,"शनिवार 21 अगस्त 2021, 18.00 — 00.00",17,Overcast.,27.0,26.0,1005,0,0,94,8,2021
79,True,रविवार 22 अगस्त,22 अगस्त,1629590400000.0,00.00,"रविवार 22 अगस्त 2021, 00.00 — 06.00",2,Scattered clouds.,26.0,26.0,1005,0,0,95,8,2021
80,uk,uk,uk,1629612000000.0,06.00,"रविवार 22 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,33.0,28.0,1005,0,0,80,8,2021
81,uk,uk,uk,1629633600000.0,12.00,"रविवार 22 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,34.0,34.0,1002,1,140,62,8,2021
82,uk,uk,uk,1629655200000.0,18.00,"रविवार 22 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,31.0,29.0,1003,0,0,81,8,2021
83,True,सोमवार 23 अगस्त,23 अगस्त,1629676800000.0,00.00,"सोमवार 23 अगस्त 2021, 00.00 — 06.00",6,Partly sunny.,28.0,28.0,1003,0,0,87,8,2021
84,uk,uk,uk,1629698400000.0,06.00,"सोमवार 23 अगस्त 2021, 06.00 — 12.00",7,Overcast.,32.0,29.0,1004,4,180,78,8,2021
85,uk,uk,uk,1629720000000.0,12.00,"सोमवार 23 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,33.0,33.0,1000,4,270,65,8,2021
86,uk,uk,uk,1629741600000.0,18.00,"सोमवार 23 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,30.0,29.0,1002,0,0,80,8,2021
87,True,मंगलवार 24 अगस्त,24 अगस्त,1629763200000.0,00.00,"मंगलवार 24 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,29.0,29.0,1001,4,230,82,8,2021
88,uk,uk,uk,1629784800000.0,06.00,"मंगलवार 24 अगस्त 2021, 06.00 — 12.00",7,Overcast.,33.0,29.0,1003,5,230,76,8,2021
89,uk,uk,uk,1629806400000.0,12.00,"मंगलवार 24 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,35.0,34.0,999,6,270,65,8,2021
90,uk,uk,uk,1629828000000.0,18.00,"मंगलवार 24 अगस्त 2021, 18.00 — 00.00",17,Overcast.,32.0,30.0,1001,5,230,76,8,2021
91,True,बुधवार 25 अगस्त,25 अगस्त,1629849600000.0,00.00,"बुधवार 25 अगस्त 2021, 00.00 — 06.00",7,Overcast.,29.0,29.0,1000,9,270,75,8,2021
92,uk,uk,uk,1629871200000.0,06.00,"बुधवार 25 अगस्त 2021, 06.00 — 12.00",7,Overcast.,33.0,30.0,1001,9,270,69,8,2021
93,uk,uk,uk,1629892800000.0,12.00,"बुधवार 25 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,35.0,33.0,998,5,230,64,8,2021
94,uk,uk,uk,1629914400000.0,18.00,"बुधवार 25 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,31.0,30.0,998,2,230,72,8,2021
95,True,गुरुवार 26 अगस्त,26 अगस्त,1629936000000.0,00.00,"गुरुवार 26 अगस्त 2021, 00.00 — 06.00",2,Scattered clouds.,28.0,28.0,998,0,0,74,8,2021
96,uk,uk,uk,1629957600000.0,06.00,"गुरुवार 26 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,33.0,29.0,1000,6,230,66,8,2021
97,uk,uk,uk,1629979200000.0,12.00,"गुरुवार 26 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,34.0,33.0,998,2,230,58,8,2021
98,uk,uk,uk,1630000800000.0,18.00,"गुरुवार 26 अगस्त 2021, 18.00 — 00.00",13,Clear.,30.0,29.0,1000,3,230,70,8,2021
99,True,शुक्रवार 27 अगस्त,27 अगस्त,1630022400000.0,00.00,"शुक्रवार 27 अगस्त 2021, 00.00 — 06.00",3,Haze.,26.0,26.0,1000,0,0,83,8,2021
100,uk,uk,uk,1630044000000.0,06.00,"शुक्रवार 27 अगस्त 2021, 06.00 — 12.00",2,Scattered clouds.,33.0,28.0,1002,0,0,69,8,2021
101,uk,uk,uk,1630065600000.0,12.00,"शुक्रवार 27 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,35.0,35.0,1000,0,0,52,8,2021
102,uk,uk,uk,1630087200000.0,18.00,"शुक्रवार 27 अगस्त 2021, 18.00 — 00.00",17,Overcast.,30.0,29.0,1001,0,0,76,8,2021
103,True,शनिवार 28 अगस्त,28 अगस्त,1630108800000.0,00.00,"शनिवार 28 अगस्त 2021, 00.00 — 06.00",7,Overcast.,28.0,28.0,1001,0,0,85,8,2021
104,uk,uk,uk,1630130400000.0,06.00,"शनिवार 28 अगस्त 2021, 06.00 — 12.00",3,Haze.,34.0,30.0,1002,0,0,64,8,2021
105,uk,uk,uk,1630152000000.0,12.00,"शनिवार 28 अगस्त 2021, 12.00 — 18.00",2,Scattered clouds.,36.0,34.0,998,0,0,52,8,2021
106,uk,uk,uk,1630173600000.0,18.00,"शनिवार 28 अगस्त 2021, 18.00 — 00.00",22,Thunderstorms. Passing clouds.,30.0,28.0,1001,0,0,72,8,2021
107,True,रविवार 29 अगस्त,29 अगस्त,1630195200000.0,00.00,"रविवार 29 अगस्त 2021, 00.00 — 06.00",14,Passing clouds.,28.0,28.0,1000,0,0,76,8,2021
108,uk,uk,uk,1630216800000.0,06.00,"रविवार 29 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,33.0,29.0,1002,0,0,74,8,2021
109,uk,uk,uk,1630238400000.0,12.00,"रविवार 29 अगस्त 2021, 12.00 — 18.00",22,Thundershowers. Overcast.,25.0,25.0,1002,0,0,97,8,2021
110,uk,uk,uk,1630260000000.0,18.00,"रविवार 29 अगस्त 2021, 18.00 — 00.00",14,Passing clouds.,26.0,25.0,1004,0,0,98,8,2021
111,True,सोमवार 30 अगस्त,30 अगस्त,1630281600000.0,00.00,"सोमवार 30 अगस्त 2021, 00.00 — 06.00",6,Partly sunny.,26.0,26.0,1003,0,0,98,8,2021
112,uk,uk,uk,1630303200000.0,06.00,"सोमवार 30 अगस्त 2021, 06.00 — 12.00",6,Partly sunny.,31.0,27.0,1005,1,50,86,8,2021
113,uk,uk,uk,1630324800000.0,12.00,"सोमवार 30 अगस्त 2021, 12.00 — 18.00",7,Overcast.,32.0,26.0,1003,6,50,84,8,2021
114,uk,uk,uk,1630346400000.0,18.00,"सोमवार 30 अगस्त 2021, 18.00 — 00.00",22,Thundershowers. Overcast.,25.0,25.0,1006,0,0,97,8,2021
115,True,मंगलवार 31 अगस्त,31 अगस्त,1630368000000.0,00.00,"मंगलवार 31 अगस्त 2021, 00.00 — 06.00",17,Overcast.,25.0,25.0,1005,0,0,98,8,2021
116,uk,uk,uk,1630389600000.0,06.00,"मंगलवार 31 अगस्त 2021, 06.00 — 12.00",7,Overcast.,28.0,26.0,1007,3,90,95,8,2021
117,uk,uk,uk,1630411200000.0,12.00,"मंगलवार 31 अगस्त 2021, 12.00 — 18.00",6,Partly sunny.,31.0,30.0,1003,0,0,80,8,2021
118,uk,uk,uk,1630432800000.0,18.00,"मंगलवार 31 अगस्त 2021, 18.00 — 00.00",17,Overcast.,28.0,28.0,1006,0,0,90,8,2021
