,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,रविवार 1 मई,1 मई,1651363200000.0,00.00,"रविवार 1 मई 2022, 00.00 — 06.00",14,Haze.,28.0,28.0,998,0,0,46,5,2022
1,uk,uk,uk,1651384800000.0,06.00,"रविवार 1 मई 2022, 06.00 — 12.00",36,No weather data available,,,0,0,0,0,5,2022
2,uk,uk,uk,1651406400000.0,12.00,"रविवार 1 मई 2022, 12.00 — 18.00",1,Sunny.,42.0,40.0,999,0,0,26,5,2022
3,uk,uk,uk,1651428000000.0,18.00,"रविवार 1 मई 2022, 18.00 — 00.00",17,Overcast.,33.0,32.0,1000,4,50,40,5,2022
4,True,सोमवार 2 मई,2 मई,1651449600000.0,00.00,"सोमवार 2 मई 2022, 00.00 — 06.00",14,Haze.,29.0,27.0,999,0,0,52,5,2022
5,uk,uk,uk,1651471200000.0,06.00,"सोमवार 2 मई 2022, 06.00 — 12.00",1,Sunny.,40.0,32.0,1001,0,0,34,5,2022
6,uk,uk,uk,1651492800000.0,12.00,"सोमवार 2 मई 2022, 12.00 — 18.00",1,Sunny.,43.0,42.0,996,9,320,22,5,2022
7,uk,uk,uk,1651514400000.0,18.00,"सोमवार 2 मई 2022, 18.00 — 00.00",13,Clear.,34.0,32.0,998,0,0,42,5,2022
8,True,मंगलवार 3 मई,3 मई,1651536000000.0,00.00,"मंगलवार 3 मई 2022, 00.00 — 06.00",13,Clear.,29.0,29.0,999,0,0,56,5,2022
9,uk,uk,uk,1651557600000.0,06.00,"मंगलवार 3 मई 2022, 06.00 — 12.00",1,Sunny.,39.0,36.0,1003,6,270,28,5,2022
10,uk,uk,uk,1651579200000.0,12.00,"मंगलवार 3 मई 2022, 12.00 — 18.00",3,Haze.,41.0,40.0,1000,3,320,30,5,2022
11,uk,uk,uk,1651600800000.0,18.00,"मंगलवार 3 मई 2022, 18.00 — 00.00",13,Clear.,34.0,32.0,1002,2,270,51,5,2022
12,True,बुधवार 4 मई,4 मई,1651622400000.0,00.00,"बुधवार 4 मई 2022, 00.00 — 06.00",13,Clear.,30.0,29.0,1004,0,0,69,5,2022
