,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,गुरुवार 1 अक्टूबर,1 अक्टूबर,1601510400000.0,00.00,"गुरुवार 1 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,23,22,1005,0,0,66,10,2020
1,uk,uk,uk,1601532000000.0,06.00,"गुरुवार 1 अक्टूबर 2020, 06.00 — 12.00",3,Haze.,35,27,1005,3,320,54,10,2020
2,uk,uk,uk,1601553600000.0,12.00,"गुरुवार 1 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,37,33,1002,6,320,34,10,2020
3,uk,uk,uk,1601575200000.0,18.00,"गुरुवार 1 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,27,25,1004,0,0,64,10,2020
4,True,शुक्रवार 2 अक्टूबर,2 अक्टूबर,1601596800000.0,00.00,"शुक्रवार 2 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,23,22,1004,0,0,79,10,2020
5,uk,uk,uk,1601618400000.0,06.00,"शुक्रवार 2 अक्टूबर 2020, 06.00 — 12.00",1,Sunny.,34,27,1006,3,320,50,10,2020
6,uk,uk,uk,1601640000000.0,12.00,"शुक्रवार 2 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,37,33,1003,2,340,32,10,2020
7,uk,uk,uk,1601661600000.0,18.00,"शुक्रवार 2 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,26,23,1006,0,0,64,10,2020
8,True,शनिवार 3 अक्टूबर,3 अक्टूबर,1601683200000.0,00.00,"शनिवार 3 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,22,21,1006,0,0,74,10,2020
9,uk,uk,uk,1601704800000.0,06.00,"शनिवार 3 अक्टूबर 2020, 06.00 — 12.00",1,Sunny.,34,26,1007,0,0,46,10,2020
10,uk,uk,uk,1601726400000.0,12.00,"शनिवार 3 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,36,32,1003,4,320,29,10,2020
11,uk,uk,uk,1601748000000.0,18.00,"शनिवार 3 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,25,23,1006,0,0,60,10,2020
12,True,रविवार 4 अक्टूबर,4 अक्टूबर,1601769600000.0,00.00,"रविवार 4 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,22,21,1007,0,0,75,10,2020
13,uk,uk,uk,1601791200000.0,06.00,"रविवार 4 अक्टूबर 2020, 06.00 — 12.00",2,Scattered clouds.,33,25,1008,0,0,52,10,2020
14,uk,uk,uk,1601812800000.0,12.00,"रविवार 4 अक्टूबर 2020, 12.00 — 18.00",2,Scattered clouds.,36,32,1004,2,320,34,10,2020
15,uk,uk,uk,1601834400000.0,18.00,"रविवार 4 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,24,22,1007,0,0,64,10,2020
16,True,सोमवार 5 अक्टूबर,5 अक्टूबर,1601856000000.0,00.00,"सोमवार 5 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,20,19,1007,0,0,80,10,2020
17,uk,uk,uk,1601877600000.0,06.00,"सोमवार 5 अक्टूबर 2020, 06.00 — 12.00",3,Haze.,33,24,1008,0,0,52,10,2020
18,uk,uk,uk,1601899200000.0,12.00,"सोमवार 5 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,35,31,1004,4,320,35,10,2020
19,uk,uk,uk,1601920800000.0,18.00,"सोमवार 5 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,24,22,1006,0,0,68,10,2020
20,True,मंगलवार 6 अक्टूबर,6 अक्टूबर,1601942400000.0,00.00,"मंगलवार 6 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,21,19,1007,0,0,80,10,2020
21,uk,uk,uk,1601964000000.0,06.00,"मंगलवार 6 अक्टूबर 2020, 06.00 — 12.00",1,Sunny.,34,34,1008,0,0,36,10,2020
22,uk,uk,uk,1601985600000.0,12.00,"मंगलवार 6 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,36,32,1005,0,0,28,10,2020
23,uk,uk,uk,1602007200000.0,18.00,"मंगलवार 6 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,25,22,1007,0,0,64,10,2020
24,True,बुधवार 7 अक्टूबर,7 अक्टूबर,1602028800000.0,00.00,"बुधवार 7 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,21,20,1008,0,0,80,10,2020
25,uk,uk,uk,1602050400000.0,06.00,"बुधवार 7 अक्टूबर 2020, 06.00 — 12.00",2,Scattered clouds.,33,24,1010,0,0,58,10,2020
26,uk,uk,uk,1602072000000.0,12.00,"बुधवार 7 अक्टूबर 2020, 12.00 — 18.00",3,Haze.,36,33,1006,6,0,27,10,2020
27,uk,uk,uk,1602093600000.0,18.00,"बुधवार 7 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,25,22,1009,0,0,62,10,2020
28,True,गुरुवार 8 अक्टूबर,8 अक्टूबर,1602115200000.0,00.00,"गुरुवार 8 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,21,20,1009,0,0,76,10,2020
29,uk,uk,uk,1602136800000.0,06.00,"गुरुवार 8 अक्टूबर 2020, 06.00 — 12.00",6,Partly sunny.,33,26,1010,0,0,51,10,2020
30,uk,uk,uk,1602158400000.0,12.00,"गुरुवार 8 अक्टूबर 2020, 12.00 — 18.00",3,Haze.,35,31,1007,1,320,32,10,2020
31,uk,uk,uk,1602180000000.0,18.00,"गुरुवार 8 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,24,22,1009,0,0,67,10,2020
32,True,शुक्रवार 9 अक्टूबर,9 अक्टूबर,1602201600000.0,00.00,"शुक्रवार 9 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,19,19,1010,0,0,81,10,2020
33,uk,uk,uk,1602223200000.0,06.00,"शुक्रवार 9 अक्टूबर 2020, 06.00 — 12.00",3,Haze.,31,25,1011,0,0,44,10,2020
34,uk,uk,uk,1602244800000.0,12.00,"शुक्रवार 9 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,35,31,1007,2,320,34,10,2020
35,uk,uk,uk,1602266400000.0,18.00,"शुक्रवार 9 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,25,23,1008,0,0,66,10,2020
36,True,शनिवार 10 अक्टूबर,10 अक्टूबर,1602288000000.0,00.00,"शनिवार 10 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,21,20,1008,0,0,80,10,2020
37,uk,uk,uk,1602309600000.0,06.00,"शनिवार 10 अक्टूबर 2020, 06.00 — 12.00",1,Sunny.,34,34,1009,0,0,34,10,2020
38,uk,uk,uk,1602331200000.0,12.00,"शनिवार 10 अक्टूबर 2020, 12.00 — 18.00",1,Sunny.,35,31,1005,0,0,35,10,2020
39,uk,uk,uk,1602352800000.0,18.00,"शनिवार 10 अक्टूबर 2020, 18.00 — 00.00",13,Clear.,24,22,1007,0,0,66,10,2020
40,True,रविवार 11 अक्टूबर,11 अक्टूबर,1602374400000.0,00.00,"रविवार 11 अक्टूबर 2020, 00.00 — 06.00",13,Clear.,21,20,1007,0,0,82,10,2020
41,uk,uk,uk,1602396000000.0,06.00,"रविवार 11 अक्टूबर 2020, 06.00 — 12.00",3,Haze.,33,24,1007,0,0,56,10,2020
42,uk,uk,uk,1602417600000.0,12.00,"रविवार 11 अक्टूबर 2020, 12.00 — 18.00",3,Haze.,35,31,1003,0,0,46,10,2020
43,uk,uk,uk,1602439200000.0,18.00,"रविवार 11 अक्टूबर 2020, 18.00 — 00.00",14,Haze.,25,23,1005,0,0,70,10,2020
